date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,-85346,,,-201,5300,-118130,,1.56,1.56,,40741,,16434,2013年01月01日至2013年03月31日,214158,96028,210388,92653,260756,-5857,2539147,2930760,391613,391613,130857,12766,,,1.56,1.56,101657,214158,254899,,32784.0,,10956,3770,3375
2013-08-12,2,2013,,-105008,,,-164,4221,-79788,,1.78,1.78,,40881,,20966,2013年04月01日至2013年06月30日,245746,165958,239653,160189,293415,-6788,3299182,3736970,437788,437788,144373,13582,,,1.77,1.77,109825,245746,286627,,-25220.0,,10845,6093,5769
2013-11-14,3,2013,,253607,,,-335,107556,235466,,2.35,2.35,,40538,,20494,2013年07月01日至2013年09月30日,322932,558398,317125,551610,267480,95990,3136069,3568435,432366,432366,164886,11202,,,2.35,2.35,133190,322932,363470,,18141.0,,11231,5807,6788
2014-03-17,4,2013,,96040,,,40163,147208,80468,,8.26,8.26,,186392,,81539,2013年01月01日至2013年12月31日,1144088,1224556,1114566,1202172,1187292,143188,12723255,14495978,1772723,1772723,585431,48662,,1300.0,8.25,8.25,455230,1144088,1330480,,16872.0,,44183,29522,22384
2014-05-14,1,2014,,-126263,0.0,0.0,-731,12892,-155049,-12.0,1.51,1.51,,35561,,15268,2014年第1季,224217,69168,203373,49746,258469,1309,2659456,3066667,407211,407211,148742,13397,,,1.51,1.51,120077,224217,259778,,28774.0,,10852,20844,19422
2014-08-12,2,2014,,145263,0.0,0.0,-699,13799,138535,-158.0,1.69,1.69,,38883,,15618,2014年第2季,271210,409745,227642,364155,306588,3505,3242774,3694425,451651,451651,145063,9278,,,1.69,1.69,120167,271210,310093,,6570.0,,9595,43568,45590
2014-11-13,3,2014,,-353629,0.0,0.0,309,211201,-302251,285.0,3.07,3.07,,50917,,17237,2014年第3季,479920,177669,414171,118096,327496,203341,3264059,3755713,491654,491654,164158,13554,,0.0,3.07,3.07,133367,479920,530837,,-51093.0,,8169,65749,59573
2015-03-24,4,2014,,-363425,0.0,0.0,25512,268220,-325432,557.0,8.38,8.38,,136040,-119.0,69740,2014年度,1318994,993562,1130786,811896,1197622,257412,12343517,14205725,1862208,1862208,664586,45877,,4292.0,8.37,8.37,548969,1318994,1455034,,-33144.0,,36201,188208,181666
2015-05-13,1,2015,,51120,,,-9520,6778,6322,-2098.0,1.01,1.01,6322.0,36320,-4223.0,17223,2015年01月01日至2015年03月31日,168229,174551,135776,140926,218670,-14121,2528488,2912540,384052,384052,165382,16281,,,1.0,1.0,131878,168229,204549,,,42700.0,7156,32453,33625
2015-08-12,2,2015,0.0,76770,,,-7384,6545,80270,-2919.0,0.71,0.71,80270.0,31978,-151.0,15967,2015年第2季,148660,228930,96452,175354,189201,-8563,2130003,2479575,349572,349572,160371,9720,0.0,,0.71,0.71,134684,148660,180638,,,-6419.0,7573,52208,53576
2015-11-11,3,2015,0.0,-488983,,,29885,235737,-430144,7713.0,2.08,2.08,-430144.0,9580,1201.0,19011,2015年第3季,304314,-125830,280460,-140717,52209,261685,1626393,1836897,210504,210504,158295,10530,0.0,,2.08,2.08,128754,304314,313894,,,-51126.0,5138,23854,14887
2016-03-24,4,2015,-2745.0,-220074,,,-29516,343797,-162127,-1826.0,5.14,5.14,-159382.0,109253,-3428.0,69476,2015年度,800825,638698,693851,537182,624244,285834,8479383,9760831,1281448,1281448,657204,51582,-8816.0,,5.13,5.13,536146,800825,910078,-6071.0,,-62518.0,25019,106974,101516
2016-05-12,1,2016,0.0,-301847,,,-8741,11235,-297226,-3094.0,0.5,0.5,-297226.0,10658,-66.0,17653,2016年01月01日至2016年03月31日,80955,-216271,66861,-224781,93900,-2287,1623147,1879846,256699,256699,162799,15486,0.0,,0.49,0.49,129660,80955,91613,,,-7715.0,4715,14094,8510
2016-08-11,2,2016,,-175529,,,-1809,7881,-164068,-3913.0,0.45,0.45,-164068.0,23287,124.0,16000,2016年第2季,96871,-67197,60482,-100528,118319,1839,1793517,2066582,273065,273065,154746,12803,,,0.45,0.45,125943,96871,120158,,,-15374.0,4357,36389,33331
2016-11-11,3,2016,,72820,,,-342,64836,69869,-5808.0,1.72,1.72,69869.0,38726,63.0,17440,2016年第3季,262133,332002,232250,300790,240883,59976,1800493,2202006,401513,401513,160630,14390,,,1.72,1.72,128800,262133,300859,,,-2857.0,4581,29883,31212
