date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他減損損失,其他綜合損益,其他綜合損益（淨額）,國外營運機構淨投資避險,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,天然氣銷貨成本（天然氣業）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,重估價之利益（損失）,金融資產重分類淨損益,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,0.0,,,19967,1280,1.0,0.0,0.0,0.0,0.0,0.41,19936.0,0.0,0.0,,6174,0.0,,12115,2013年01月01日至2013年03月31日,32850,32850,0.0,32850,32850,1.0,18276,20748,147277,189975,42698,42698,24422,5977,,0.0,0.41,6330,32850,,39024,,0.0,,0.0,499,32.0,0.0,,147277.0,147277.0,189975.0,189975.0,189975.0,,0.0,0.0
2013-08-12,2,2013,,,,,,4031,5040,,,,,,0.39,,,,,3760,,,12700,2013年04月01日至2013年06月30日,31296,31296,,31296,31296,,26017,9039,225966,277864,51898,51898,25881,4814,,,0.39,8367,31296,0.39,35056,,,,,32,,,,225966.0,225966.0,277864.0,277864.0,277864.0,,,
2013-11-13,3,2013,,,,,,-12088,1666,,,,,,0.16,,,,,2157,,,10118,2013年07月01日至2013年09月30日,12907,12907,,12903,12903,,25792,-10728,152082,198559,46477,46477,20685,4421,,,0.16,6146,12907,,15064,,,,,306,,,,152082.0,152082.0,198559.0,198559.0,198559.0,,4.0,4.0
2014-03-26,4,2013,,,,,,11696,20275,,,1044.0,,,1.48,,,,,19463,,,49837,2013年01月01日至2013年12月31日,117516,118560,,117513,118557,,106766,30213,733694,938979,205285,205285,98519,19705,,1258.0,1.48,28977,117516,,136979,,214.0,,,1758,,,,733694.0,733694.0,938979.0,938979.0,938979.0,,3.0,3.0
2014-05-14,1,2014,,,,,,11920,1119,,,,,,0.64,,,0.0,,8656,,,15527,2014年01月01日至2014年03月31日,50399,50399,,50399,50399,,46062,12993,181369,255221,73852,73852,27790,5050,,,0.63,7213,50399,,59055,,,,,46,,,,181369.0,181369.0,255221.0,255221.0,255221.0,,0.0,0.0
2014-08-12,2,2014,,,,,,-6076,2205,,,,,,0.4,,,,,4031,,,20330,2014年第2季,32030,32030,,32030,32030,,39953,-3892,176527,249721,73194,73194,33241,5271,,,0.4,7640,32030,0.4,36061,,,,,21,,,,176527.0,176527.0,249721.0,249721.0,249721.0,,,
2014-11-12,3,2014,,,,,,11751,2530,,,,,,0.42,,,,,5836,,,27687,2014年第3季,33066,33066,,33061,33061,,24638,14264,222852,287309,64457,64457,39819,5137,,,0.42,6995,33066,,38902,,,,,17,,,,222852.0,222852.0,287309.0,287309.0,287309.0,,5.0,5.0
2015-03-27,4,2014,,,,,,50498,21405,,,4300.0,,,2.5,,,,,33569,,,86879,2014年度,198555,202855,,198550,202850,,160373,71751,830273,1129632,299359,299359,138986,21355,,5181.0,2.49,30752,198555,,232124,,881.0,,,152,,,,830273.0,830273.0,1129632.0,1129632.0,1129632.0,,5.0,5.0
2015-05-08,1,2015,,,,,,-12959,1724,,,,,,0.54,,,0.0,,6008,,,13131,2015年01月01日至2015年03月31日,42986,42986,,42986,42986,,60336,-11342,191205,277192,85987,85987,25651,5157,,,0.54,7363,42986,,48994,,,,,107,,,,191205.0,191205.0,277192.0,277192.0,277192.0,,0.0,0.0
2015-08-12,2,2015,,,,,,-16636,8658,,,,,,0.1,,,,,6408,,,10032,2015年第2季,7752,7752,,7752,7752,,22949,-8789,186558,231664,45106,45106,22157,4761,,,0.1,7364,7752,0.1,14160,,,,,811,,,,186558.0,186558.0,231664.0,231664.0,231664.0,,,
