date,season,year,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他綜合損益,其他綜合損益（淨額）,國外營運機構淨投資避險,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,研究發展費用合計,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與待出售非流動資產直接相關之權益,財務成本淨額,重估價之利益（損失）,非控制權益（綜合損益）
2013-08-06,2,2013,0,0,0,22833,0,22850,0,22850,7.60,0,3103,0,,55831,2013年04月01日至2013年06月30日,0,352656,375506,0,352656,375506,332926,22833,593517,1117443,523926,523926,191000,0,102668,0,6.87,32501,352656,355759,0,0,0,0
2013-11-08,3,2013,0,0,0,5582,0,-56813,0,-56813,6.20,0,18672,0,,58496,2013年07月01日至2013年09月30日,0,287829,231016,0,287829,231016,300919,5582,808985,1358172,549187,549187,248268,0,131532,0,5.62,58240,287829,306501,0,0,0,0
2014-03-06,4,2013,0,0,0,52395,0,103950,0,103950,30.20,0,56245,0,,186118,2013年01月01日至2013年12月31日,0,1267355,1371305,0,1267355,1371305,1274479,49121,2708123,4853231,2145108,2145108,870629,0,447980,0,24.27,236531,1267355,1323600,0,3274,0,0
2014-05-12,1,2014,0,0,0,20184,0,140037,0,140037,5.45,0,13937,0,-2560,50152,2014年01月01日至2014年03月31日,0,301267,441304,0,301267,441304,297580,17624,696131,1195094,498963,498963,201383,0,113547,0,5.14,37684,301267,315204,0,0,0,0
2014-08-01,2,2014,0,0,0,20997,0,-138898,0,-138898,5.53,0,17742,0,-11413,52058,2014年第2季,0,309779,170881,0,309779,170881,317937,9584,745542,1292621,547079,547079,229142,0,125173,0,5.28,51911,309779,327521,0,0,0,0
