date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,-5709,147312,276288,74430,-3198.0,363827,242909,0.27,,,68460,0.0,412811,2013年01月01日至2013年03月31日,629931,993758,282604,490384,404706,299394,11537149,12701403,1164254,1164254,756350,73409,,,0.27,,270130,635640,704100,,26394.0,,51324,11537149.0,12701403.0,347327,503374
2013-08-08,2,2013,,-2588,-125696,121978,189520,-3906.0,-13860,126482,0.17,,,125621,0.0,495201,2013年04月01日至2013年06月30日,403590,389730,177532,118006,273074,258725,14284473,15406388,1121915,1121915,844935,90673,,,0.17,,259061,406178,531799,,14646.0,,52773,,,226058,271724
2013-11-11,3,2013,,-5723,-173672,-73838,180188,-2963.0,-274252,-113252,0.19,,,61435,0.0,473997,2013年07月01日至2013年09月30日,349866,75614,194186,87708,359087,57937,14309473,15498790,1189317,1189317,827267,85759,,,0.19,,267511,355589,417024,,-12672.0,,48413,,,155680,-12094
2014-03-14,4,2013,,-17515,62472,379817,568430,-12814.0,319496,376660,0.79,,,396737,0.0,1961012,2013年01月01日至2013年12月31日,1690754,2010250,817164,1066935,1359569,745437,53963133,58678881,4715748,4715748,3343365,350067,,-69342.0,0.79,,1032286,1708269,2105006,,50294.0,,202810,53963133.0,58678881.0,873590,943315
2014-05-09,1,2014,,-7838,-22150,-43184,66072,-2725.0,137441,175973,0.14,,,64013,,430758,2014年01月01日至2014年03月31日,181448,318889,140727,202660,287705,-34406,12639505,13711750,1072245,1072245,781815,85940,,,0.14,,265117,189286,253299,,16382.0,,57294,12639505.0,13711750.0,40721,116229
2014-08-08,2,2014,,-6351,206880,-126116,167247,-2820.0,34006,-191924,0.17,0.17,,77343,,521099,2014年第2季,212834,246840,178020,271113,321322,-24794,15171604,16403254,1231650,1231650,907508,94020,,,0.17,0.17,292389,219185,296528,,-19050.0,,65925,,,34814,-24273
2014-11-07,3,2014,,-7000,-142637,227692,172995,,-3764,156233,0.24,,,59853,,477949,2014年第3季,312531,308767,247033,118214,41714,337670,15613979,16573248,959269,959269,917555,120023,,,0.24,,319583,319531,379384,,17360.0,,63017,,,65498,190553
2015-03-12,4,2014,,-26566,52464,217765,559724,,442852,513958,0.62,,,222110,-325.0,1930503,2014年度,628676,1071528,640838,923137,347551,529801,55799072,59704563,3905491,3905491,3557940,441113,,-45180.0,0.62,,1186324,655242,877352,,78390.0,,247363,55799072.0,59704563.0,-12162,148391
2015-05-11,1,2015,,-6614,-3755,10292,89154,,-167263,-181639,0.18,,-167263.0,63523,999.0,497967,2015年01月01日至2015年03月31日,391412,224149,187745,46289,420725,40824,11712905,13066416,1353511,1353511,932786,129245,,,0.18,,305574,398026,461549,,,-18131.0,59621,11712905.0,13066416.0,203667,177860
2015-08-10,2,2015,,-7013,-161576,-24878,134854,,-273317,-123814,0.31,0.31,-273317.0,210951,-1737.0,477402,2015年第2季,695080,421763,315609,76595,860140,52904,12302247,14074878,1772631,1772631,912491,121299,,,0.31,0.31,313790,702093,913044,,,-12073.0,55335,,,379471,345168
2015-11-11,3,2015,,-19244,-572646,-35451,212144,,-340641,256557,0.13,0.14,-340641.0,44398,-2973.0,440322,2015年第3季,60171,-280470,138033,-128321,4833,118980,11523304,12405533,882229,882229,877396,114381,,,0.13,0.14,322693,79415,123813,,,24552.0,54740,,,-77862,-152149
2016-03-18,4,2015,-79034.0,-31923,-741784,-195958,560437,,-947207,-149927,0.85,0.86,-868173.0,418609,-7060.0,1921804,2015年度,1537106,589899,879631,151781,1850176,137462,46859348,52373585,5514237,5514237,3664061,474347,-84671.0,,0.85,0.86,1267910,1569029,1987638,-5637.0,,-23538.0,219957,46859348.0,52373585.0,657475,438118
