date,season,year,不重分類至損益之項目總額,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益,其他收益及費損淨額,其他營業成本,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,廉價購買利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,金融資產重分類淨損益,銷貨成本合計,銷貨收入合計,銷貨收入淨額,銷貨退回,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,43,,98421,,2981,22691,12585,11063,11063,12472,13568,,286978,10106,9718.0,191339,-0.08,-0.08,32519.0,0.0,,,-620,,-2782.0,2513,,301461,2013年01月01日至2013年03月31日,-102099,184879,-105862,112311,-121186,18467,4624138,4859832,235694,235694,367943,,,4227,,,,,62255,-102099,-102719,,,,,1541.0,,9718,,31036.0,,4611666,4955769,4846264,109505,,3763,72568
2013-08-08,2,2013,,9101,0.0,-5718,,-5626,32089,20239,23215,23215,13538,14853,,131872,11850,9699.0,133184,-0.1,-0.1,6982.0,,,,0,,4406.0,4511,,295154,2013年04月01日至2013年06月30日,-109570,22302,-121694,-39443,-130845,21275,4713795,4930891,217096,217096,371156,,,4227,,,,,71775,-109570,-109570,,,,,,,9699,-3507.0,,,4700257,5027711,4916038,111673,,12124,61745
2013-11-13,3,2013,,1289,,22930,,-3698,42795,11800,3243,3243,12207,14118,,-58412,12973,9026.0,-80824,-0.22,-0.22,-10526.0,,,,316,,-518.0,6638,,312326,2013年07月01日至2013年09月30日,-273257,-331669,-271875,-306973,-309650,36709,4950563,5010182,59619,59619,372512,,,4227,,,,,55959,-273257,-272941,18022.0,,,,,,9026,8117.0,,0.0,4938356,5107758,4996064,111694,0.0,-1382,-24696
2014-03-26,4,2013,,10498,,185900,,19004,122538,56855,14321,14321,57614,65644,,510724,47661,37129.0,356578,-0.55,-0.55,41679.0,,0.0,,1633,,18095.0,37848,,1250738,2013年01月01日至2013年12月31日,-682811,-172087,-694096,-318411,-823439,142261,19509728,20191763,682035,682035,1519795,,,16908,,-49849.0,,,252149,-682811,-681178,18022.0,,,,12958.0,,37129,-25135.0,,,19452114,20567094,20126119,440975,,11285,146324
2014-05-14,1,2014,,2,,612472,0.0,47997,18441,7802,32022,32022,14024,15704,,883475,10639,13158.0,116443,-0.03,-0.03,11895.0,,,,371,,154930.0,-14100,,313106,2014年01月01日至2014年03月31日,-37017,846458,-39597,811322,-75826,39180,4890457,5161187,270730,270730,378578,-370.0,,4646,,,,,60826,-37017,-36646,,,46137.0,,0.0,,13158,,10033.0,,4876433,5241088,5145483,95605,,2580,35136
2014-08-13,2,2014,,280,,-111396,,-8960,17384,8228,1584,1584,13809,18547,,-278835,9156,16220.0,-156986,-0.09,-0.09,-19067.0,,,,239,,-9726.0,18369,,328755,2014年第2季,-119439,-398274,-105629,-334486,-129773,10573,4997305,5263974,266669,266669,398026,-727.0,,5298,,,,,63973,-119439,-119200,,,0.0,,,,16220,,-10387.0,,4983496,5322494,5245427,77067,,-13810,-63788
2014-11-13,3,2014,,-249,,-60413,,5812,46221,14185,-969,-969,17155,16764,,48154,12765,17529.0,143334,-0.04,-0.04,18377.0,,,,293,,-32666.0,8147,,324496,2014年第3季,-54565,-6411,-44874,-42239,-96923,42651,4785844,5080147,294303,294303,390257,-2101.0,,5505,,,,,60256,-54565,-54272,19271.0,,-273.0,,,,17529,,12541.0,,4768689,5147148,5063383,83765,,-9691,35828
2015-03-24,4,2014,,829,,370294,,67907,99395,40564,33001,33001,55162,72181,18736.0,851116,39560,63568.0,455849,0.02,0.02,51685.0,,,,1525,,119548.0,31448,,1299805,2014年度,11677,862793,27496,735504,-121980,135182,19752161,21144930,1392769,1392769,1547750,-3097.0,,24547,,-110214.0,,,223398,11677,13202,19271.0,,45811.0,,310.0,,63568,,29070.0,,19696999,21398384,21072749,325635,,-15819,127289
2015-05-13,1,2015,6.0,16,,-59865,,-2860,12324,4400,186,186,10804,18325,,-206056,7924,16882.0,-115297,0.13,0.13,-13607.0,,,-206062.0,232,6.0,,-18162,-33997.0,292911,2015年01月01日至2015年03月31日,160712,-45344,158946,-8558,186524,-25580,4421705,4968410,546705,546705,360367,,3097.0,5799,,,,,61657,160712,160944,,,-257.0,,,91.0,16882,,-11111.0,,4410901,5026281,4950085,76196,0.0,1766,-36786
2015-08-13,2,2015,0.0,1330,,-62989,,5825,16364,11308,-663,-663,12234,23184,,-179383,5056,16260.0,-84660,0.13,0.13,,362.0,,-179383.0,238,0.0,,4038,-31734.0,288594,2015年第2季,185934,6551,159987,5047,176205,9967,4601967,5139319,537352,537352,360484,,0.0,4788,,,,,67102,185934,186172,,,0.0,,,-242.0,16260,7275.0,,,4589733,5176141,5116135,60006,,25947,1504
2015-11-13,3,2015,0.0,1279,,-132914,,25032,63246,14037,-44,-44,11114,18395,,107060,8830,,229203,0.23,0.23,59592.0,,,107060.0,14869,0.0,,15083,10771.0,298484,2015年第3季,290847,397907,269344,333847,219031,86685,4841969,5435279,593310,593310,374235,,0.0,4788,,,0.23,0.23,70963,290847,305716,40379.0,,,-48.0,208.0,,16676,,33537.0,,4830855,5472096,5416884,55212,,21503,64060
2016-03-17,4,2015,25287.0,2644,,-250287,,14396,111951,40724,-740,-740,43802,76068,,-379152,30848,,-116404,0.66,0.66,25773.0,,,-404439.0,14677,-411.0,,19763,-43883.0,1182766,2015年度,845778,466626,779717,478369,779508,80947,18718924,20990843,2271919,2271919,1491671,,6135.0,20218,30962.0,,0.66,0.66,288687,845778,860455,40379.0,5264.0,,70.0,439.0,,65163,,9102.0,,18675122,21170876,20914775,256101,,66061,-11743
2016-05-13,1,2016,0.0,1,,-33225,,-35979,18453,9329,-7058,-7058,7598,14187,,-186359,9124,,-129408,0.07,0.07,-38205.0,,,-186359.0,245,0.0,,855,-25532.0,279348,2016年01月01日至2016年03月31日,79319,-107040,78024,-70501,115579,-36015,4787141,5266308,479167,479167,356530,,1806.0,6168,,,0.07,0.07,71014,79319,79564,,,,0.0,71.0,,19344,2156.0,,,4779543,5316591,5252121,64470,,1295,-36539
2016-08-12,2,2016,0.0,8,,-20126,,-16557,23214,12237,140,140,10366,13712,,-169918,10977,,-139511,0.1,0.1,-18445.0,,,-169918.0,6655,0.0,,23084,-6940.0,295085,2016年第2季,79935,-89983,106771,-5397,75689,10901,5135686,5578708,443022,443022,367473,,-3341.0,6167,,,0.1,0.1,66221,79935,86590,,,,0.0,0.0,,18840,1896.0,,,5125320,5639754,5564996,74758,,-26836,-84586
2016-11-11,3,2016,0.0,11400,,23799,,-48578,51705,10981,-2170,-2170,11825,16084,,-257608,10331,,-266483,0.05,0.05,-38998.0,,,-257608.0,9,0.0,,8118,-10920.0,286447,2016年第3季,39337,-218271,51551,-119364,46534,-7188,4936911,5348744,411833,411833,363129,,-4004.0,6384,,,0.05,0.05,70298,39337,39346,30393.0,,,1604.0,12.0,,18433,3412.0,,,4925086,5430562,5332660,97902,,-12214,-98907
