date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,處分不動產、廠房及設備損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）損失,金融資產重分類淨損益,銀行存款利息,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-10-14,3,2013,,,1612.0,,,-4358,3093,855,-47806,2238,-47806.0,2.47,2.47,,-186.0,54818,0.0,27789,2013年07月01日至2013年09月30日,296704,248898,296704,248898,367487,-15965,891740,1341663,449923,449923,82436,7290,2.47,2.47,47357,296704,351522,2932.0,14700,0.0,0.0,2238.0,0.0,,
2014-03-01,4,2013,,,6809.0,,,6457,19948,11188,157488,8760,157488.0,10.22,10.22,19894.0,,212859,,102874,2013年01月01日至2013年12月31日,1131852,1289340,1131852,1289340,1414314,-69603,3454305,5170768,1716463,1716463,302149,27030,9.75,9.75,172245,1131852,1344711,2932.0,96008,3696.0,,,,,
2014-05-12,1,2014,,,973.0,,,40001,3224,629,58263,2595,58263.0,2.65,2.65,41326.0,,108623,,30982,2014年01月01日至2014年03月31日,351341,409604,351341,409604,437818,22146,1009268,1528951,519683,519683,81865,7387,2.65,2.65,43496,351341,459964,352.0,21079,0.0,,,,0.0,0.0
2014-08-12,2,2014,,,2416.0,,,1098,2862,1039,-158770,1823,-158770.0,2.24,2.24,3573.0,,111901,,31307,2014年第2季,332695,173925,332695,173925,459699,-15103,1019109,1562037,542928,542928,83229,8186,2.24,2.24,43736,332695,444596,59.0,19063,0.0,,,,0.0,0.0
2014-11-11,3,2014,,,1792.0,,,-4448,4099,1882,148896,2217,148896.0,2.26,2.26,-2744.0,,116085,,30775,2014年第3季,335984,484880,335984,484880,470809,-18740,1034427,1591579,557152,557152,86343,9730,2.26,2.26,45838,335984,452069,-88.0,18391,0.0,,,,0.0,0.0
2015-03-11,4,2014,,,7376.0,0.0,0.0,32242,18069,5055,445742,13014,445742.0,10.4,10.4,40550.0,,272315,,126232,2014年度,1538077,1983819,1538077,1983819,1835417,-25025,4079162,6255929,2176767,2176767,341350,38194,10.4,10.4,176924,1538077,1810392,932.0,75336,0.0,,,,,
2015-05-13,1,2015,-137822.0,-137822.0,0.0,,,-440,11743,926,-137822,10817,,2.35,2.35,-440.0,,63002,,33807,2015年01月01日至2015年03月31日,349545,211723,349545,211723,418201,-5654,888588,1406797,518209,518209,100008,13122,,,53079,349545,412547,0.0,16957,,,,,,
2015-08-12,2,2015,-87549.0,-87549.0,0.0,,,-349,11495,1899,-87549,9596,,2.68,2.68,-349.0,,70735,,33016,2015年第2季,397994,310445,397994,310445,469485,-756,1011502,1576241,564739,564739,95254,10597,,,51641,397994,468729,0.0,11902,,,,,,
2015-11-11,3,2015,224582.0,224582.0,0.0,,,-3631,10174,829,224582,9345,,2.73,,-709.0,,72200,,38629,2015年第3季,405140,629722,405140,629722,479458,-2118,1038428,1631894,593466,593466,114008,12358,,,63021,405140,477340,2922.0,8661,,,,,,
2016-03-25,4,2015,-220147.0,-220147.0,6.0,,,-5681,42354,4828,-220147,37526,,10.51,10.51,0.0,2741.0,276352,,145390,2015年度,1560212,1340065,1560212,1340065,1844418,-7854,3953090,6220279,2267189,2267189,422771,48530,,,228851,1560212,1836564,2934.0,44527,,,,,,
2016-05-11,1,2016,-154558.0,-154558.0,,,,75,6508,127,-154558,6381,,2.65,2.65,75.0,,70452,,38199,2016年01月01日至2016年03月31日,393511,238953,393511,238953,460461,3502,941334,1504891,563557,563557,103096,9090,,,55807,393511,463963,,3081,,,,,,
2016-08-12,2,2016,-237198.0,-237198.0,4.0,,,-11904,7284,1253,-237198,6031,,3.06,3.06,,11900.0,87442,,42587,2016年第2季,454189,216991,454189,216991,547546,-5915,1084611,1740581,655970,655970,108424,11687,,,54150,454189,541631,,1295,,,,,,
2016-11-14,3,2016,-351630.0,-351630.0,246.0,,,-27185,6983,734,-351630,6249,,2.98,2.98,,26939.0,84295,,44812,2016年第3季,442933,91303,442933,91303,548671,-21443,1083001,1751327,668326,668326,119655,12673,,,62170,442933,527228,0.0,1241,,,,,,
