date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,金融資產重分類淨損益,銀行存款利息,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-03,1,2013,,,58898,67404,49437,,686294,,627396,0.27,0.27,,,,105293,18935,,372815,2013年01月01日至2013年03月31日,266331,952625,263440,942432,314484,57140,6714199,8020796,1306597,1306597,992113,285364,,,0.27,0.27,333934,266331,371624,,,,,78636,,,,,2891,10193
2013-08-07,2,2013,,3286.0,-17558,73478,100244,,56348,,73906,0.51,0.51,76764.0,0.0,,167820,27862,,483138,2013年04月01日至2013年06月30日,495628,551976,503823,567563,537917,125531,8099976,9812222,1712246,1712246,1174329,317421,,,0.51,0.51,373770,495628,663448,,,,,76053,,,,,-8195,-15587
2013-11-11,3,2013,,,-30925,10009,59584,,-24709,,6216,0.6,0.6,10009.0,0.0,,238041,25051,,455091,2013年07月01日至2013年09月30日,597850,573141,590569,564095,821750,14141,8298371,10230398,1932027,1932027,1110277,295053,,,0.59,0.59,360133,597850,835891,,,,,80503,,,,,7281,9046
2014-03-11,4,2013,,69527.0,45513,183004,330411,,1087440,,1030811,1.94,1.94,230893.0,0.0,,675167,76190,,1814168,2013年01月01日至2013年12月31日,1937230,3024670,1929799,3013271,2336790,275607,31344833,38189390,6844557,6844557,4507767,1226904,,13393.0,1.94,1.94,1466695,1937230,2612397,,2277.0,,,313998,21638.0,0.0,,0.0,7431,11399
2014-05-08,1,2014,,2734.0,-19144,-19171,79484,41544.0,-54015,37940.0,-34871,0.35,0.35,0.0,16437.0,,125667,22716,,430148,2014年01月01日至2014年03月31日,355366,301351,351914,298228,479735,1298,7192617,8777830,1585213,1585213,1105478,314424,,,0.35,0.35,360906,355366,481033,,,,,81731,0.0,,37940.0,0.0,3452,3123
2014-08-08,2,2014,,,6381,-43269,60287,,-403437,,-409818,0.63,0.63,0.0,43269.0,,175764,17439,,509597,2014年第2季,628683,225246,627293,229113,852055,-47608,8417527,10492911,2075384,2075384,1223329,340267,,,0.63,0.63,373465,628683,804447,,,,,82065,,,,,1390,-3867
2014-11-10,3,2014,,17880.0,-11168,26598,118035,73893.0,543602,44142.0,554770,0.69,0.69,41788.0,0.0,,232996,23604,,506590,2014年第3季,708539,1252141,700572,1234939,851977,89558,8710777,10788117,2077340,2077340,1225363,331645,,,0.68,0.68,387128,708539,941535,,,,,78679,2690.0,,44142.0,,7967,17202
2015-03-20,4,2014,,86815.0,-33503,18892,377697,209962.0,759015,167735.0,832305,2.25,2.25,95643.0,,,694541,108702,,2041150,2014年度,2313021,3072036,2303471,3047457,2825495,182067,32563766,40343325,7779559,7779559,4954064,1344123,,-47936.0,2.25,2.25,1568791,2313021,3007562,,-8149.0,,,323224,10064.0,,167735.0,,9550,24579
2015-05-08,1,2015,,27712.0,-11168,-58020,78401,43706.0,-219966,34695.0,-208798,0.53,0.53,,33271.0,-219966.0,121504,24764,,477078,2015年第1季,535694,315728,537418,321061,688234,-31036,7169956,9119151,1949195,1949195,1260961,316706,,,0.53,0.53,467177,535694,657198,,,,,76181,2963.0,,34695.0,,-1724,-5333
2015-08-07,2,2015,,18164.0,-20739,-31822,64632,33351.0,-393199,31281.0,-372460,0.64,0.64,,15310.0,-393199.0,162244,42949,,530821,2015年第2季,654097,260898,655936,269576,811712,4629,7806878,9939069,2132191,2132191,1320479,358079,,,0.64,0.64,431579,654097,816341,,,,,71130,1652.0,,31281.0,,-1839,-8678
2015-11-06,3,2015,,18748.0,-98914,-37561,97635,65466.0,936124,32169.0,1035038,0.77,0.77,0.0,19464.0,936124.0,182448,39854,,541952,2015年第3季,783352,1719476,784954,1710271,945558,20242,7605594,9876913,2271319,2271319,1325761,350603,,,0.77,0.77,433206,783352,965800,,,,,79686,651.0,,32169.0,,-1602,9205
2016-03-25,4,2015,-86302.0,95139.0,-105295,-207602,456711,328339.0,-654615,128372.0,-463018,2.81,2.81,0.0,118264.0,-568313.0,618344,154975,,2129676,2015年度,2872776,2218161,2871636,2229465,3397427,93693,29740054,38486943,8746889,8746889,5349462,1419503,-103978.0,,2.8,2.8,1800283,2872776,3491120,-17676.0,,,,310391,5801.0,,128372.0,,1140,-11304
2016-05-05,1,2016,,30821.0,32385,-55034,60644,29297.0,-68255,31347.0,-100640,0.55,0.55,,24213.0,-68255.0,109789,7858,,533011,2016年01月01日至2016年03月31日,553926,485671,558128,490125,738010,-74295,6482351,8564463,2082112,2082112,1344102,311479,,,0.55,0.55,499612,553926,663715,,,,,87763,0.0,,31347.0,,-4202,-4454
2016-08-08,2,2016,,21856.0,-83788,-40414,91323,55906.0,-763914,35417.0,-657159,0.79,,,13837.0,-763914.0,235242,86494,-22967.0,561840,2016年第2季,876172,112258,876198,128292,1063452,47962,7534893,9931313,2396420,2396420,1332968,340858,,,0.79,,430270,876172,1111414,,,,4721.0,89441,0.0,,35417.0,,-26,-16034
2016-11-11,3,2016,,34475.0,32692,-70396,116197,77544.0,-837821,38653.0,-856591,0.67,0.67,,50729.0,-837821.0,181810,60469,-13922.0,566992,2016年第3季,730650,-107171,736428,-84466,900996,11464,7579784,9797454,2217670,2217670,1316674,355964,,,0.67,0.67,393718,730650,912460,,,14808.0,0.0,94806,0.0,,38653.0,,-5778,-22705
