date,會計項目,營業收入合計,營業成本合計,營業毛利（毛損）,營業毛利（毛損）淨額,推銷費用合計,管理費用合計,研究發展費用合計,營業費用合計,營業利益（損失）,其他收入合計,其他利益及損失淨額,財務成本淨額,採用權益法認列之關聯企業及合資損益之份額淨額,營業外收入及支出合計,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）合計,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,國外營運機構財務報表換算之兌換差額,備供出售金融資產未實現評價損益,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,其他綜合損益（淨額）,本期綜合損益總額,母公司業主（淨利／損）,非控制權益（淨利／損）,母公司業主（綜合損益）,非控制權益（綜合損益）,基本繼續營業單位淨利（淨損）,基本每股盈餘合計,稀釋繼續營業單位淨利（淨損）,稀釋每股盈餘合計,year,season
2013-05-13,2013年01月01日至2013年03月31日,8277372,7157520,1119852,1119852,456974,335118,658829,1450921,-331069,51015,9751,6157,155679,210288,-120781,29242,-150023,-150023,365560,79262,71200,516022,365999,-149727,-296,366295,-296,-0.1,-0.1,-0.1,-0.1,2013,1
2013-08-12,2013年04月01日至2013年06月30日,9927781,8520775,1407006,1407006,478758,341947,655952,1476657,-69651,97415,-30521,5428,259524,320990,251339,58555,192784,192784,122542,-91117,21471,52896,245680,193249,-465,246145,-465,0.13,0.13,0.13,0.13,2013,2
