date,season,year,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,-2286,980,1832,1832,-0.2,-0.2,,1070,,46523,2013年01月01日至2013年03月31日,-120207,-118375,-120207,-118375,-100046,-19091,19549,26091,6542,6542,106588,,,60065,-120207,-119137,17785,0,0
2013-08-02,2,2013,-2632,3413,1018,1018,0.43,0.43,,13671,,51075,2013年04月01日至2013年06月30日,262458,263476,262458,263476,295132,-19003,-11843,412417,424260,424260,129128,0.43,0.43,78053,262458,276129,19784,0,0
2013-11-01,3,2013,-2535,3117,-671,-671,0.47,0.47,,-4146,,80034,2013年07月01日至2013年09月30日,294800,294129,294800,294129,307838,-17184,909983,1351861,441878,441878,134040,0.47,0.47,54006,294800,290654,17766,0,0
2014-03-11,4,2013,-34458,15718,3172,3172,1.37,1.37,,5877,,281261,2013年01月01日至2013年12月31日,843152,846324,843152,846324,886163,-37134,1080643,2536417,1455774,1455774,569611,1.37,1.37,288350,843152,849029,18394,0,0
2014-05-07,1,2014,-3413,1212,-209,-209,0.02,0.02,,-1538,,40268,2014年第1季,9730,9521,9730,9521,23021,-14829,16024,169879,153855,153855,130834,0.02,0.02,90566,9730,8192,12628,0,0
2014-08-12,2,2014,-3139,17668,-993,-993,-0.1,-0.1,,10983,-1073.0,38435,2014年第2季,-62630,-63623,-62630,-63623,-71357,19710,20753,83994,63241,63241,134598,-0.1,-0.1,96163,-62630,-51647,-6254,0,0
2014-11-05,3,2014,-28903,342,1338,1338,-0.22,-0.22,,-10291,-1368.0,81860,2014年第3季,-143645,-142307,-143617,-142279,-118273,-35663,10500,70719,60219,60219,178492,-0.22,-0.22,96632,-143645,-153936,5734,-28,-28
2015-03-03,4,2014,4498881,23537,1753,1753,8.13,8.13,,148541,-3279.0,311182,2014年度,5312015,5313768,5312165,5313918,957109,4503447,61061,1791486,1730425,1730425,773316,8.12,8.12,462134,5312015,5460556,15692,-150,-150
2015-05-06,1,2015,3,1230,-483,-483,-0.23,-0.23,-483.0,1038,-1046.0,70330,2015年01月01日至2015年03月31日,-147664,-148147,-147579,-148062,-134404,-12222,27138,84533,57395,57395,191799,,,121469,-147664,-146626,12409,-85,-85
2015-08-05,2,2015,308022,6024,-696,-696,0.3,0.3,-696.0,41431,-869.0,73289,2015年第2季,190582,189886,190663,189967,-58665,290678,28946,148317,119371,119371,178036,0.3,0.3,104747,190582,232013,22499,-81,-81
2015-11-06,3,2015,369148,1583,1868,1868,0.28,0.28,1868.0,57939,571.0,73779,2015年第3季,197019,198887,197198,199066,-95130,350088,33121,151776,118655,118655,213785,0.28,0.28,140006,197019,254958,21214,-179,-179
2016-02-18,4,2015,2641111,12532,-1004,-1004,2.92,2.92,-1004.0,159541,-8230.0,322320,2015年度,2039605,2038601,2040076,2039072,-376842,2575988,130416,592069,461653,461653,838495,2.88,2.88,516175,2039605,2199146,69425,-471,-471
2016-05-04,1,2016,235666,2534,-200,-200,0.04,0.04,-200.0,25401,0.0,59668,2016年01月01日至2016年03月31日,30215,30015,30215,30015,-150534,206150,29158,67635,38477,38477,189011,0.04,0.04,129343,30215,55616,32050,0,0
2016-08-03,2,2016,569256,2829,-1143,-1143,0.4,0.4,-1143.0,102215,0.0,52962,2016年第2季,285852,284709,286111,284968,-135495,523562,39089,71001,31912,31912,167407,0.39,0.39,114445,285852,388067,48523,-259,-259
2016-11-14,3,2016,267,1394,4048,4048,-0.19,-0.19,4048.0,564,0.0,42259,2016年第3季,-144120,-140072,-142842,-138794,-111514,-32042,32615,71658,39043,39043,150557,-0.18,-0.18,108298,-144120,-143556,33703,-1278,-1278
