date,season,year,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本合計,銷貨收入淨額
2013-04-26,1,2013,358,1966,2990,5086,4728,0.34,0.34,,6852,28084,2013年01月01日至2013年03月31日,36855,41941,36855,41941,38879,4828,370688,586858,216170,216170,177291,120524,,0.34,0.34,28683,36855,43707,128,370688,586858
2013-08-08,2,2013,-152,2516,3219,1947,2099,1.3,1.3,,21092,55853,2013年04月01日至2013年06月30日,141958,143905,141958,143905,157415,5635,662281,1068830,406549,406549,249134,147230,,1.29,1.29,46051,141958,163050,100,662281,1068830
2013-11-01,3,2013,-272,-5227,2170,-5591,-5319,1.0,1.0,,17697,60351,2013年07月01日至2013年09月30日,108293,102702,108293,102702,129174,-3184,593170,960736,367566,367566,238392,140197,,0.97,0.97,37844,108293,125990,127,593170,960736
2014-02-25,4,2013,40,2087,12432,10464,9850,2.81,2.81,,50035,169372,2013年01月01日至2013年12月31日,305431,315895,305431,315895,341430,14036,1978356,3175203,1196847,1196847,855417,543378,574.0,2.75,2.75,142667,305431,355466,483,1978356,3175203
2014-04-29,1,2014,177,1539,4039,-1586,-1763,0.22,0.22,,3670,26797,2014年01月01日至2014年03月31日,23514,21928,23514,21928,21712,5472,292230,473046,180816,180816,159104,103179,,0.21,0.21,29128,23514,27184,106,292230,473046
2014-08-05,2,2014,240,-4824,4345,-8474,-8714,1.17,1.17,,20219,37206,2014年第2季,127667,119193,127667,119193,148635,-749,572665,931384,358719,358719,210084,134125,,1.14,1.14,38753,127667,147886,270,572665,931384
2014-10-28,3,2014,-437,9173,3880,11657,12094,0.89,0.89,,15663,35558,2014年第3季,97262,108919,97262,108919,100536,12389,529761,832021,302260,302260,201724,126976,,0.88,0.88,39190,97262,112925,664,529761,832021
2015-02-10,4,2014,-64,19354,16496,17234,17298,2.86,2.86,,50175,122092,2014年度,311560,328794,311560,328794,327085,34650,1789038,2847345,1058307,1058307,731222,468401,0.0,2.78,2.78,140729,311560,361735,1200,1789038,2847345
2015-04-21,1,2015,-176,-4138,4205,-4814,-4638,0.42,0.42,-4814.0,7437,21142,2015年01月01日至2015年03月31日,45684,40870,45684,40870,53168,-47,355452,562318,206866,206866,153698,99785,,0.41,0.41,32771,45684,53121,114,355452,562318
2015-08-04,2,2015,239,-5772,4415,-6758,-6997,1.2,1.2,-6758.0,21738,29096,2015年第2季,130832,124074,130832,124074,154262,-1692,594294,945451,351157,351157,196895,126462,,1.17,1.17,41337,130832,152570,335,594294,945451
2015-10-27,3,2015,-34,19587,4199,20255,20289,1.24,1.24,20255.0,22514,33089,2015年第3季,135241,155496,135241,155496,134567,23188,547283,884576,337293,337293,202726,127956,,1.22,1.22,41681,135241,157755,598,547283,884576
2016-02-26,4,2015,88,3724,23781,-9179,-9267,3.57,3.57,-9179.0,64830,107938,2015年度,388158,378979,388158,378979,426853,26135,1923466,3081376,1157910,1157910,731057,466033,,3.47,3.47,157086,388158,452988,1370,1923466,3081376
2016-04-26,1,2016,148,-3445,3222,-2197,-2345,0.7,0.7,-2197.0,12855,24057,2016年01月01日至2016年03月31日,75802,73605,75802,73605,89005,-348,423784,684290,260506,260506,171501,111735,,0.69,0.69,35709,75802,88657,125,423784,684290
2016-08-02,2,2016,229,3195,2794,-12485,-12714,1.56,1.56,-12485.0,28878,31236,2016年第2季,169626,157141,169626,157141,192843,5661,658396,1073113,414717,414717,221874,146140,,1.55,1.55,44498,169626,198504,328,658396,1073113
2016-11-02,3,2016,-347,-1378,2832,-15727,-15380,0.93,0.93,-15727.0,16735,24460,2016年第3季,101065,85338,101065,85338,116934,866,536299,836930,300631,300631,183697,123891,,0.93,0.93,35346,101065,117800,588,536299,836930
