date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息收入合計,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之權益工具投資利益(損失),推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,0,2492,,43176,3,2492,3,,,,0.53,,27224,,,,,188079,2013年01月01日至2013年03月31日,196540,199032,,196540,199032,190197,33567,5046741,5458897,412156,412156,221959,,,,0.53,33880,196540,223764,,,,,,9612,,,5458897,0,0
2013-08-09,2,2013,,,0,1957,,26313,191,1957,191,,,,0.43,,14657,,,,,202211,2013年04月01日至2013年06月30日,160893,162850,,160893,162850,158911,16639,5862437,6252336,389899,389899,230988,,,,0.43,28777,160893,175550,,,,,,9865,,,6252336,0,0
2013-11-08,3,2013,,,0,-7475,,-6909,5589,-7475,3,,,,0.36,,25997,,,,,229945,2013年07月01日至2013年09月30日,134867,127392,,134867,127392,171436,-10572,5617214,6047211,429997,429997,258561,,,,0.36,28616,134867,160864,5586.0,,,,,9252,,,6047211,0,0
2014-03-21,4,2013,,,0,-1068,,112012,6028,-22875,442,,,,1.76,,90697,,,,,836244,2013年01月01日至2013年12月31日,652907,630032,,652907,630032,662632,80972,22204373,23846654,1642281,1642281,979649,,,-26273.0,1.76,143405,652907,743604,5586.0,,-4466.0,,,37068,,23846654.0,23846654,0,0
2014-05-02,1,2014,,,0,1779,,43414,3,1779,3,,,,0.8,,45160,,,,,231328,2014年01月01日至2014年03月31日,296884,298663,,296884,298663,308949,33095,5527338,6098832,571494,571494,262545,,,,0.8,31217,296884,342044,,,,,,10322,,,6098832,0,0
2014-08-01,2,2014,,,0,0,,-29416,927,0,177,,,,0.58,,38250,,,,,273708,2014年第2季,214617,214617,,214617,214617,294461,-41594,6455193,7061423,606230,606230,311769,,,,0.58,38061,214617,252867,750.0,,,,,13105,,,7061423,0,0
2014-11-07,3,2014,,,0,-2491,,39355,3825,-2491,3,,,,0.89,,44100,,,,,228846,2014年第3季,327773,325282,,327773,325282,344673,27200,6179451,6787454,608003,608003,263330,,,,0.88,34484,327773,371873,3822.0,,,,,15980,,,6787454,0,0
2015-03-20,4,2014,,,0,-1424,,100499,4996,25487,424,,,,2.66,,148840,,,,,940282,2014年度,982813,1008300,,982813,1008300,1075317,56336,23243380,25424368,2180988,2180988,1105671,,,32423.0,2.64,165389,982813,1131653,4572.0,,5512.0,,,49159,,25424368.0,25424368,0,0
2015-05-06,1,2015,,,0,-1424,,-3728,3,-1424,3,,,,0.41,-1424.0,15982,,,,,187319,2015年01月01日至2015年03月31日,150732,149308,,150732,149308,176962,-10248,4590815,4988731,397916,397916,220954,,,,0.4,33635,150732,166714,,,,,,6523,,,4988731,0,0
2015-08-07,2,2015,0.0,0.0,0,-9575,0.0,-12646,337,-9575,337,,,,0.21,-9575.0,32169,0.0,0.0,,0.0,167721,2015年第2季,78039,68464,0.0,78039,68464,129170,-18962,4761692,5093456,331764,331764,202594,,0.0,,0.21,34873,78039,110208,0.0,0.0,,,0.0,6653,0.0,,5093456,0,0
2015-11-06,3,2015,0.0,0.0,0,392,,104071,1754,392,2,,,,0.56,392.0,32736,0.0,0.0,,0.0,137583,2015年第3季,207341,207733,0.0,207341,207733,141342,98735,4086267,4404255,317988,317988,176646,,0.0,,0.56,39063,207341,240077,1752.0,0.0,,,0.0,7090,0.0,,4404255,0,0
2016-03-18,4,2015,0.0,-3708.0,0,-16445,,88852,2356,-20153,604,0.0,0.0,0.0,1.44,-16445.0,95672,0.0,0.0,0.0,0.0,618764,2015年度,531162,511009,0.0,531162,511009,560788,66046,17028938,18374720,1345782,1345782,784994,0.0,-4467.0,,1.43,166230,531162,626834,1752.0,-759.0,,0.0,,25162,0.0,18374720.0,18374720,0,0
2016-05-06,1,2016,,,0,3524,,-34541,3,3524,3,,,,0.39,3524.0,21804,,,,,123839,2016年01月01日至2016年03月31日,142805,146329,,142805,146329,204688,-40079,3545049,3911339,366290,366290,161602,,,,0.38,37763,142805,164609,,,,,,5541,,,3911339,0,0
2016-08-05,2,2016,0.0,0.0,0,1602,0.0,6160,246,1602,246,,,,0.5,1602.0,39154,0.0,0.0,,0.0,160597,2016年第2季,205249,206851,0.0,205249,206851,243096,1307,3929463,4370360,440897,440897,197801,,0.0,,0.5,37204,205249,244403,0.0,0.0,,,0.0,5099,0.0,,4370360,0,0
2016-11-04,3,2016,0.0,0.0,0,3152,,-32982,253,3152,3,,,,0.46,3152.0,34351,0.0,0.0,,0.0,163715,2016年第3季,188794,191946,0.0,188794,191946,261442,-38297,4156264,4619923,463659,463659,202217,,0.0,,0.46,38502,188794,223145,250.0,0.0,,,0.0,5568,0.0,,4619923,0,0
