date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,財務成本淨額,銷貨成本,銷貨成本合計,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-30,1,2013,,3006,45378,756,14175,14175.0,49500,8516,0.5,,,,13787,90401,2013年01月01日至2013年03月31日,59295,108795,56124,102218,-1452.0,58151,14931,4451333,4748732,297399,297399,239248,,,0.5,148847,59295,73082,,,4394.0,,2310,,4451333.0,4451333,3171,6577
2013-08-08,2,2014,,4358,-52853,-994,18612,18612.0,-51824,-5751,0.46,249.0,,,30638,96796,2014年第2季,53858,2034,51376,1859,,66878,17618,4921650,5225166,303516,303516,236638,,,0.46,139842,53858,84496,,,-6780.0,,3115,,4921650.0,4921650,2482,175
2013-08-13,2,2013,,4062,8735,3335,10041,10041.0,12769,5826,0.47,902.0,,,25731,88431,2013年04月01日至2013年06月30日,54301,67070,52390,63217,,66656,13376,4454255,4752389,298134,298134,231478,,,0.47,143047,54301,80032,,,1792.0,,6495,,4454255.0,4454255,1911,3853
2013-11-12,3,2013,,2535,8030,-8175,41961,12039.0,3703,-3372,0.74,,5305.0,,19944,89859,2013年07月01日至2013年09月30日,85541,89244,83044,88096,,71699,33786,4795226,5099600,304374,304374,232675,,,0.74,142816,85541,105485,29922.0,,955.0,,-335,,4795226.0,4795226,2497,1148
2014-03-27,4,2013,,10971,110514,-8451,83724,53802.0,108237,16842,2.23,,2541.0,,70870,354687,2013年01月01日至2013年12月31日,259369,367606,248980,350574,,256948,73291,18623319,19815500,1192181,1192181,935233,,-4914.0,2.22,580546,259369,330239,29922.0,,14205.0,,5061,1982.0,18623319.0,18623319,10389,17032
2014-05-12,1,2014,,3426,-19786,-1716,21742,21742.0,-18580,-1200,0.33,,,,9395,94004,2014年01月01日至2014年03月31日,39391,20811,36743,18585,-1096.0,28760,20026,4597454,4876549,279095,279095,250335,,,0.33,156331,39391,48786,,,-2406.0,,614,,4597454.0,4597454,2648,2226
2014-11-10,3,2014,,4536,3647,-1780,54994,25824.0,11142,8501,0.73,,-453.0,,13883,97578,2014年第3季,84380,95522,81544,89337,,45049,53214,5051255,5349147,297892,297892,252843,,,0.73,155265,84380,98263,29170.0,,1006.0,,2303,,5051255.0,5051255,2836,6185
2015-03-30,4,2014,,10033,-28764,-214,85520,56320.0,-37879,13398,2.02,,-4180.0,,68198,392399,2014年度,236816,198937,225876,182626,,228701,76313,19074509,20289815,1215306,1215306,986605,,-28584.0,1.96,594206,236816,305014,29200.0,,-6071.0,,5639,8993.0,19074509.0,19074509,10940,16311
2015-05-06,1,2016,,1579,12648,-2038,11996,,11308,-1879,0.55,,,11308.0,14345,104657,2016年01月01日至2016年03月31日,62205,73513,61657,73718,,68867,7683,2966953,3312212,345259,345259,276392,,,0.48,171735,62205,76550,,,,-539.0,-459,2275.0,,2966953,548,-205
2015-05-12,1,2015,,2732,-34957,-1363,13399,,-33682,-3438,0.38,,119.0,-33682.0,11455,99434,2015年01月01日至2015年03月31日,45575,11893,42427,10003,0.0,49690,7340,3544299,3851224,306925,306925,257235,,,0.34,157801,45575,57030,,,,-4713.0,1488,4696.0,,3544299,3148,1890
2015-08-12,2,2015,,7374,-14538,-4259,14261,14261.0,-17300,-5460,0.5,-203.0,,-17300.0,12239,99783,2015年第2季,58250,40950,56108,40998,,60487,10002,3868798,4190030,321232,321232,260745,,,0.44,160962,58250,70489,,,,-2698.0,3318,,3868798.0,3868798,2142,-48
2015-11-12,3,2015,,6971,-37243,-3986,35601,15629.0,-18989,16045,0.55,,,-18989.0,10503,100547,2015年第3季,63127,44138,60871,35445,,42015,31615,3654727,3955943,301216,301216,259201,,,0.48,158654,63127,73630,19972.0,,,-2209.0,2985,,3654727.0,3654727,2256,8693
2016-03-29,4,2015,-22912.0,21340,-123153,-13147,76819,56847.0,-139441,-7314,1.9,,,-116529.0,51912,408628,2015年度,222544,83103,212344,75716,,229418,45038,14580379,15825156,1244777,1244777,1015359,-27605.0,,1.64,606731,222544,274456,19972.0,-4693.0,,-13938.0,8193,18634.0,14580379.0,14580379,10200,7387
2016-08-10,2,2016,,1558,-13641,-311,15448,15448.0,-21430,-10380,0.88,,,-21430.0,25393,106418,2016年第2季,100044,78614,98685,81419,,114520,10917,3605440,3989579,384139,384139,269619,,,0.75,163201,100044,125437,,,,-2591.0,1247,4220.0,3605440.0,3605440,1359,-2805
2016-11-10,3,2016,,2116,-21582,434,48964,13428.0,-30464,-12584,0.93,,,-30464.0,14847,106763,2016年第3季,108237,77773,105556,80112,,77166,45918,3640900,3995183,354283,354283,277117,,,0.79,170354,108237,123084,35536.0,,,-3702.0,2550,3480.0,3640900.0,3640900,2681,-2339
