date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃收入合計,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,-47275,,,23757,12249,26714,75352,-2.08,,0,,,,,,,12289,2013年01月01日至2013年03月31日,-671731,-645017,-669651,-657834,-650678,-21053,3190253,2678673,-511580,-511580,139098,42043,,,,,84766,-671731,-671731,,1363.0,,57059,9299,2687972,2678673,-2080,12817
2013-08-12,2,2013,,59586,,,82800,15452,109968,58385,-1.91,,-25144,,,-14799.0,,,,12919,2013年04月01日至2013年06月30日,-591949,-481981,-621922,-523263,-623062,5969,3597299,3088334,-508965,-508965,114097,9449,,,,,91729,-591949,-617093,,8003.0,,77484,3967,3092301,3088334,29973,41282
2013-11-12,3,2013,,-6621,0.0,0.0,66649,12660,-30476,-27623,-1.36,,19637,,0.0,5859.0,,,,17810,2013年07月01日至2013年09月30日,-444732,-475208,-449073,-474088,-438650,13555,3697236,3401768,-295468,-295468,143182,21310,,,,,104062,-444732,-425095,,-3768.0,,71613,19139,3420907,3401768,4341,-1120
2014-03-27,4,2013,,34064,-3427.0,-3427.0,-72083,93947,167960,147934,-7.26,,25199,,,-13371.0,,,,65970,2013年01月01日至2013年12月31日,-2387122,-2219162,-2428169,-2290004,-2094925,-266998,14795497,13257889,-1537608,-1537608,557317,99706,,-3456.0,,,391641,-2387122,-2361923,,10582.0,,275491,64956,13322845,13257889,44474,74269
2014-05-12,1,2014,,-11350,0.0,0.0,-98449,6940,21175,37662,-0.39,,14400,,,,,,,34742,2014年01月01日至2014年03月31日,-130784,-109609,-143277,-129547,29867,-146251,3589671,3783101,193430,193430,163563,22367,,,0.0,,106454,-130784,-116384,,5137.0,,54742,2590,3785691,3783101,12493,19938
2014-08-12,2,2014,,-2837,0.0,0.0,86642,13085,-56455,-62214,-0.67,,-1410,,,-1804.0,,,,12728,2014年第2季,-238254,-294709,-252518,-297325,-280407,40743,3572819,3445498,-127321,-127321,153086,25466,,,,,114892,-238254,-239664,,-8596.0,,57180,1012,3446510,3445498,14264,2616
2014-11-12,3,2014,,-16078,0.0,0.0,-56108,8956,49167,57566,-1.69,,-18683,,18844.0,-5469.0,,,,22412,2014年第3季,-637545,-588378,-635915,-597477,-529525,-126703,4147267,3805116,-342151,-342151,187374,33731,,,,,131231,-637545,-656228,,11165.0,,74082,582,3805698,3805116,-1630,9099
2015-03-26,4,2014,,-58640,0.0,0.0,-636592,37963,101640,168918,-5.54,,-17579,,19385.0,-6992.0,,,,90828,2014年度,-2068167,-1966527,-2091190,-2022944,-1203019,-882727,15842592,15284822,-557770,-557770,645249,106683,,-2035.0,,,447738,-2068167,-2085746,,25988.0,,277106,110313,15395135,15284822,23023,56417
2015-05-12,1,2015,0.0,8513,,,64843,30729,-30915,-45655,-1.01,-30915.0,1760,0.0,,-3211.0,,,,22402,2015年01月01日至2015年03月31日,-414951,-445866,-382619,-404508,-429330,16139,4294876,4028881,-265995,-265995,163335,27042,,,,,113891,-414951,-413191,,,-6227.0,76222,2222,4031103,4028881,-32332,-41358
2015-08-11,2,2015,,-26483,,,74592,10552,-51465,-28926,-1.34,-51465.0,5297,,,6602.0,,,,22023,2015年第2季,-552237,-603702,-525946,-571692,-575410,28470,3819216,3403519,-415697,-415697,159713,29557,,,,,108133,-552237,-546940,,,-3944.0,63276,45254,3448773,3403519,-26291,-32010
2015-11-11,3,2015,,-28375,0.0,0.0,-264703,19338,44406,72017,-1.37,44406.0,6173,,,-9595.0,12753.0,,,34954,2015年第3季,-567110,-522704,-567010,-536842,-239761,-321176,3854834,3797471,-57363,-57363,182398,25562,,,,,121882,-567110,-560937,,,11989.0,66216,39170,3836641,3797471,-100,14138
2016-03-25,4,2015,8057.0,-61477,,,-109050,88946,-120239,-70126,-3.71,-128296.0,12582,,,-9051.0,-6257.0,-700.0,-5557.0,279394,2015年度,-1575617,-1695856,-1498888,-1605263,-1260744,-302291,15919868,15505727,-414141,-414141,846603,113028,9707.0,,,,454181,-1575617,-1563035,1650.0,,-9564.0,273136,100763,15606490,15505727,-76729,-90593
2016-05-06,1,2016,,-1892,,,46887,41932,-34518,-44214,0.94,-34518.0,4159,,,0.0,5557.0,,5557.0,34956,2016年01月01日至2016年03月31日,371626,337108,388121,362344,356053,19732,4725423,5269484,544061,544061,188008,36131,,,,,116921,371626,375785,,,-6031.0,69087,2686,5272170,5269484,-16495,-25236
2016-08-10,2,2016,,7567,,,14362,16508,-51827,-68773,0.39,-51827.0,3587,,,0.0,0.0,,0.0,36708,2016年第2季,162759,110932,160656,122426,197924,-31578,4401402,4781164,379762,379762,181838,33828,,,,0.39,111302,162759,166346,,,-9379.0,62448,56146,4837310,4781164,2103,-11494
2016-11-07,3,2016,,86068,,,100781,9678,7987,-90416,-2.18,7987.0,-33116,,,0.0,0.0,0.0,0.0,81327,2016年第3季,-947207,-939220,-901859,-876013,-1034776,54453,3386768,2568375,-818393,-818393,216383,30778,,,,,104278,-947207,-980323,,,-12335.0,56006,814,2569189,2568375,-45348,-63207
