date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益,其他收益及費損淨額,其他綜合損益（淨額）,其他費損,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,,341,1547,,,0,1247,,,1247,0.2,0.2,,,,13926,,,14198,2013年01月01日至2013年03月31日,29700,30947,,29700,30947,42006,1620,281339,386771,105432,105432,63426,5904,,,0.2,0.2,43324,29700,43626,,,,,,268,,,,0.0,0.0
2013-08-08,2,2013,,,0.0,-340,1869,1.0,,-41,502,,1789.0,502,0.54,0.54,0.0,90.0,,13895,,,14365,2013年04月01日至2013年06月30日,81086,81588,,81086,81588,93709,1272,257239,414728,157489,157489,63739,5330,,,0.54,0.54,44044,81086,94981,79.0,,,,,257,0.0,250.0,,,
2013-11-07,3,2013,,,2.0,366,3641,858.0,,-2808,-294,,1767.0,-294,0.39,0.39,,104.0,,11957,,,15211,2013年07月01日至2013年09月30日,58308,58014,,58308,58014,66502,3763,173750,309984,136234,136234,66924,5587,,,0.39,0.39,46126,58308,70265,1016.0,,,,,244,472.0,,,,
2014-02-20,4,2013,,,2.0,988,9500,1172.0,,-10526,5826,,7233.0,2038,1.29,1.29,256.0,0.0,,44887,,,65804,2013年01月01日至2013年12月31日,193652,199478,,193652,199478,229051,9488,1015715,1549513,533798,533798,294221,27603,,3788.0,1.29,1.29,200814,193652,238539,1095.0,,,,,1000,734.0,,,,
2014-05-08,1,2014,,,,37,2454,0.0,,-2520,-327,,2454.0,-140,0.26,0.26,116.0,,,8143,,,14749,2014年01月01日至2014年03月31日,39565,39238,,39565,39238,45427,2281,172459,286569,114110,114110,66163,6286,,,0.26,0.26,45128,39565,47708,,,187.0,,,210,0.0,79.0,,,
2014-08-07,2,2014,,,,2,3490,,,-1560,-505,,,-609,0.52,,,,,13984,,,16251,2014年第2季,78724,78219,,78724,78219,89408,3300,164912,320352,155440,155440,64472,5831,,,,,42390,78724,92708,,,-104.0,,,192,,,,,
2014-11-05,3,2014,,,0.0,340,3875,0.0,,0,727,,2721.0,876,0.36,0.36,523.0,0.0,,10133,,,15772,2014年第3季,53704,54431,,53704,54431,59800,4037,161630,291310,129680,129680,69880,6099,,,0.36,0.36,48009,53704,63837,1154.0,,149.0,,,178,0.0,183.0,,,
2015-02-02,4,2014,,,11.0,1635,12912,811.0,,-6991,-1930,,10859.0,1415,1.31,,1197.0,,,34931,,,73601,2014年度,196641,194711,,196641,194711,217767,13805,818609,1347289,528680,528680,303922,27071,,-5283.0,1.31,,203250,196641,231572,1242.0,,-1938.0,,,742,449.0,,,,
2015-05-07,1,2015,0.0,0.0,,-849,2878,334.0,2280.0,2280,-328,,2544.0,-395,0.37,0.37,0.0,919.0,-328.0,11137,0.0,0.0,16519,2015年01月01日至2015年03月31日,56130,55802,0.0,56130,55802,65385,1882,173896,297827,123931,123931,60826,5097,0.0,,0.37,0.37,39210,56130,67267,,0.0,,-67.0,0.0,147,70.0,0.0,0.0,,
2015-08-06,2,2015,,,0.0,-443,3022,11.0,,-24,-502,,2914.0,-605,0.45,0.45,,428.0,-502.0,13206,,,15428,2015年第2季,68192,67690,,68192,67690,78950,2448,164236,308282,144046,144046,65072,5191,,,0.45,0.45,44453,68192,81398,97.0,,,-103.0,,131,0.0,15.0,,,
