date,season,year,不動產、廠房及設備減損損失,不動產、廠房及設備減損迴轉利益,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,財務成本淨額,遞延所得稅費用（利益）,銀行存款利息,銷貨成本合計,銷貨收入淨額
2015-09-16,4,2014,,1527,,,3917,8668,58705,54256,6672,101154,66574,3705,10248,67984,5.15,5.15,12422,0,,46832,14179,15095,2014年度,,457824,524398,457824,524398,,1527,433352,71304,1966863,2704052,737189,737189,303837,26256,,-1410,744,5.15,5.15,262486,457824,504656,0,1364,10248,,3705,1960191,2602898
2016-03-14,4,2015,,0,96822,95000,14118,48705,46428,43670,652,95869,-1637,1706,924,-96637,5.82,,71926,,-96637,141699,4382,11399,2015年度,141300,544081,542444,544081,542444,,0,587189,98591,1868542,2731579,863037,863037,275848,18976,-1822,,1052,5.71,,245473,544081,685780,,9103,924,399,1706,1867890,2635710
2016-05-03,1,2016,,,-47152,-47152,703,-18140,7355,6052,166,18685,-19965,1117,80,27187,1.43,,0,17538,27187,35254,1479,2965,2016年01月01日至2016年03月31日,,135036,115071,135036,115071,,,179676,-9386,474981,717793,242812,242812,63136,4713,,,186,1.43,,55458,135036,170290,101,0,80,,1117,474815,699108
2016-08-10,2,2016,39000,,-16872,-16872,326,7068,6073,3738,7,17755,-55324,2149,0,-38452,1.29,1.29,46394,,-38452,34293,-152,4389,2016年第2季,,136812,81488,136812,81488,39000,,158116,12989,543576,744555,200979,200979,42863,7738,,,186,1.29,1.29,30736,136812,171105,0,0,0,,2149,543569,726800
2016-11-07,3,2016,,,-76108,-76108,,12894,9735,,41,16895,-56667,,,19441,1.07,,,,19441,32981,5317,3896,2016年第3季,,114410,57743,114410,57743,,,119445,27946,530564,724874,194310,194310,74865,5804,,,,1.06,,65165,114410,147391,,,0,,,530523,707979
