date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,20196,2447,,0.08,0.08,,6907,4300,2013年01月01日至2013年03月31日,10424,10424,10420,10420,-4178,21509,85416,94656,9240,9240,13418,,,9118,10424,17331,,,1134,4.0,4.0
2013-08-08,2,2013,,,-2487,41,,-0.02,-0.02,,-227,5763,2013年04月01日至2013年06月30日,-1909,-1909,-1907,-1907,1513,-3649,141386,155974,14588,14588,13075,,,7312,-1909,-2136,,,1203,-2.0,-2.0
2013-11-12,3,2013,,,-4085,1348,,0.01,0.01,,-4278,5779,2013年07月01日至2013年09月30日,1524,1524,1524,1524,755,-3509,142761,158440,15679,15679,14924,,,9145,1524,-2754,,,772,0.0,0.0
2014-03-27,4,2013,,,15890,5814,2161.0,0.06,0.06,,2652,19952,2013年01月01日至2013年12月31日,7536,9697,7535,9696,-7354,17542,472937,515311,42374,42374,49728,,2604.0,29776,7536,10188,,443.0,4162,1.0,1.0
2014-05-08,1,2014,,,1326,1626,,-0.03,-0.03,,-487,3562,2014年01月01日至2014年03月31日,-4106,-4106,-4106,-4106,-6974,2381,104435,108522,4087,4087,11061,,,7499,-4106,-4593,,,571,0.0,0.0
2014-08-12,2,2014,,155906.0,-2492,1508,155906.0,0.06,0.06,,-165,5593,2014年第2季,7610,163516,7610,163516,8908,-1463,120579,141890,21311,21311,12403,,,6810,7610,7445,,,479,0.0,0.0
2014-11-11,3,2014,,37205.0,1772,1539,37205.0,0.03,0.03,,1159,6275,2014年第3季,3859,41064,3859,41064,2288,2730,124744,142837,18093,18093,15805,,,9530,3859,5018,,,581,0.0,0.0
2015-03-24,4,2014,,201727.0,4287,6722,198960.0,0.0,0.0,,-338,21241,2014年度,-67,198893,-67,198893,-9260,8855,430000,474885,44885,44885,54145,,-3334.0,32904,-67,-405,,-567.0,2154,0.0,0.0
2015-05-12,1,2015,,67617.0,-2134,1875,67617.0,-0.08,-0.08,67617.0,-1127,3637,2015年01月01日至2015年03月31日,-10285,57332,-10285,57332,-10587,-825,73032,75795,2763,2763,13350,,,9713,-10285,-11412,,,566,,
2015-08-11,2,2015,,49763.0,-3861,1613,49763.0,0.15,0.15,49763.0,2899,5473,2015年第2季,18336,68099,18336,68099,24141,-2906,110080,147371,37291,37291,13150,,,7677,18336,21235,,,658,0.0,0.0
2015-11-10,3,2015,,-105040.0,1647,1643,-105040.0,-0.02,-0.02,-105040.0,165,5867,2015年第3季,-2974,-108014,-2974,-108014,-5279,2470,109254,118498,9244,9244,14523,,,8656,-2974,-2809,,,820,0.0,0.0
2016-03-29,4,2015,-2072.0,67019.0,-6665,8457,64947.0,-0.05,-0.05,67019.0,621,19427,2015年度,-5808,59139,-5808,59139,-3981,-1206,367041,415582,48541,48541,52522,-2496.0,,33095,-5808,-5187,-424.0,,2998,0.0,0.0
2016-05-10,1,2016,,-54318.0,-6295,1825,-54318.0,-0.05,-0.05,-54318.0,-572,4315,2016年01月01日至2016年03月31日,-6190,-60508,-6190,-60508,-1182,-5580,88209,98745,10536,10536,11718,,,7403,-6190,-6762,,,1110,0.0,
2016-08-09,2,2016,,89963.0,-3206,1853,89963.0,-0.07,-0.07,89963.0,160,4618,2016年第2季,-8201,81762,-8201,81762,-5501,-2540,81470,88345,6875,6875,12376,,,7758,-8201,-8041,,,1187,0.0,0.0
2016-11-08,3,2016,,49957.0,-11857,2166,49957.0,-0.16,-0.16,49957.0,-1380,4353,2016年第3季,-19832,30125,-19831,30126,-10092,-11120,82232,84241,2009,2009,12101,,,7748,-19832,-21212,,,1429,-1.0,-1.0
