date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他減損損失,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,遞延所得稅費用（利益）,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回
2013-04-30,1,2013,,,3624.0,5569,12109,6398.0,,114683,5711.0,3809.0,138172,0.48,9743.0,0.0,,19702,22443,2013年01月01日至2013年03月31日,,39209,153892,39209,153892,,,45042,13869,1010601,1172138,161537,161537,116495,,23079,0.48,70973,39209,58911,23489.0,,0.0,550.0,3809,,,,,,1187486,1172138,15348
2013-08-12,2,2013,,,,296,15973,1363.0,,59071,14610.0,4388.0,71170,0.46,,,,27244,16871,2013年04月01日至2013年06月30日,,36835,95906,36835,95906,,,52198,11881,924774,1065258,140484,140484,88286,,18443,0.45,52972,36835,64079,12099.0,,,,4388,,,,,,1084408,1065258,19150
2013-11-07,3,2013,,,244.0,-15937,18358,4152.0,15693.0,-47191,14206.0,4917.0,-56856,1.44,,,,19715,23747,2013年07月01日至2013年09月30日,,115858,68667,115858,68667,15693.0,0.0,138069,-2496,1102451,1361258,258807,258807,120738,,19827,1.44,77164,115858,135573,-9665.0,,,,4917,,,,,,1379030,1361258,17772
2014-03-10,4,2013,,,636.0,-12853,63642,12864.0,,190911,50778.0,,230013,3.5,,11461.0,,93171,84286,2013年01月01日至2013年12月31日,,281448,472359,281448,472359,,,341807,32812,4123733,4899886,776153,776153,434346,63146.0,77957,3.48,272103,281448,374619,39102.0,,0.0,756.0,17977,,30025.0,,,4971805.0,4971805,4899886,71919
2014-05-13,1,2014,,,,29504,7083,,,5196,,,6260,0.72,,,,27292,19702,2014年01月01日至2014年03月31日,,57429,62625,57429,62625,,,52583,32138,680647,828841,148194,148194,95611,,16775,0.72,59134,57429,84721,1064.0,,,,4449,,,680647.0,680647.0,838799.0,838799,828841,9958
2014-08-04,2,2014,,,,-13970,18796,,,-76961,,,-92724,0.73,,,,20158,17610,2014年第2季,,57903,-19058,57903,-19058,,,77369,692,764799,933726,168927,168927,91558,,18256,0.73,55692,57903,78061,-15763.0,,,,4134,,,,,,944973,933726,11247
2014-11-10,3,2014,,,,886,13943,13943.0,,100986,,,121670,1.08,,,,43335,21130,2014年第3季,,85504,186490,85504,186490,,,117927,10912,942468,1159290,216822,216822,98895,43335.0,18799,1.08,58966,85504,128839,20684.0,,,,3917,,,,942468.0,,1169788,1159290,10498
2015-03-17,4,2014,,,9144.0,35566,72943,7732.0,,177723,65211.0,,214124,3.67,29525.0,0.0,,152546,78155,2014年度,,291220,468943,291220,468943,,,351950,91816,3329365,4078160,748795,748795,396845,69852.0,74301,3.64,244389,291220,443766,36401.0,,15185.0,0.0,16693,,82694.0,,,4122162.0,4122162,4078160,44002
2015-04-28,1,2015,,,,-8207,17916,,,-46096,,,-55537,0.08,,,-46096.0,-10995,17226,2015年01月01日至2015年03月31日,,6334,-39762,6334,-39762,,,-10110,5449,727805,805871,78066,78066,88176,,23223,0.08,47727,6334,-4661,,-9441.0,,,4260,,,727805.0,727805.0,815746.0,815746,805871,9875
2015-08-06,2,2015,,,,2102,21787,,,-64785,,,-78055,0.61,,,-64785.0,-1904,18730,2015年第2季,,48425,-16360,48425,-16360,,,26729,19792,941408,1070795,129387,129387,102658,,24976,0.61,58952,48425,46521,,-13270.0,,,4097,,,,,,1085091,1070795,14296
2015-11-09,3,2015,,,,40216,18381,,,195081,,,235038,1.75,,,195081.0,107587,23106,2015年第3季,,138592,333673,138592,333673,,,191847,54332,1008186,1316148,307962,307962,116115,,22385,1.74,70624,138592,246179,,39957.0,,,4265,,,,,,1347875,1316148,31727
