date,season,year,不動產、廠房及設備減損損失,不重分類至損益之項目總額,什項支出,停業單位損益合計,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,金融資產減損損失,金融資產重分類淨損益,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,409.0,,-3732,41840,19066.0,-30314.0,148005,21069.0,5323.0,178319,0.57,0.57,567.0,0.0,0.0,,38097,,,0.0,515.0,-515,,68467,2013年01月01日至2013年03月31日,1.0,103790,251795,104370,250217,,109617,32270,1446571,1834660,388089,388088,278471,88285,,,0.56,0.56,121719,103790,141887,1705.0,,,,,5323,,3890.0,,0.0,0.0,-580,1578
2013-08-09,2,2013,,,0.0,,2027,42998,18480.0,-15437.0,75378,24518.0,5910.0,90802,0.63,0.63,2301.0,,0.0,,43495,,13.0,688.0,,688,,85336,2013年04月01日至2013年06月30日,-1.0,116831,192209,118034,192094,,120523,39803,1582924,2002266,419342,419343,298820,93720,,,0.63,0.63,119764,116831,160326,0.0,,,,,5910,0.0,274.0,,,,-1203,115
2013-11-11,3,2013,,,3316.0,,822,37831,14248.0,11185.0,-54592,23583.0,6855.0,-65794,0.23,0.23,0.0,3130.0,0.0,,12918,,17.0,2123.0,0.0,2123,,72491,2013年07月01日至2013年09月30日,0.0,42358,-12234,42989,-10927,,21355,33921,1429379,1724415,295036,295036,273681,98874,,,0.23,0.23,102316,42358,55276,0.0,,,751.0,0.0,6855,6520.0,3.0,,,,-631,-1307
2014-03-26,4,2013,,,5113.0,0.0,9160,174730,81092.0,-43224.0,215292,92032.0,25392.0,263810,1.43,1.43,13144.0,,0.0,,95284,,-526.0,3743.0,0.0,3743,,276996,2013年01月01日至2013年12月31日,,264567,479859,267738,479303,,197610,162241,5565502,6865096,1299594,1299594,1101984,373758,,-4768.0,1.42,1.42,451230,264567,359851,1606.0,,,1687.0,,25392,285.0,843.0,,,,-3171,556
2014-05-12,1,2014,,,,,-9496,61850,61850.0,-3606.0,17608,,,21214,-0.25,-0.25,,,,,-16293,,,23.0,0.0,23,,47181,2014年01月01日至2014年03月31日,0.0,-48913,-31305,-46049,-28485,,-109512,44306,1049287,1130475,81188,81188,190700,64516,,,-0.25,-0.25,79003,-48913,-65206,,,,,,8071,,,,,,-2864,-2820
2014-08-11,2,2014,,,,,-12062,25095,25095.0,17135.0,-83669,,,-100795,-0.4,-0.4,,,0.0,,-14262,,-9.0,591.0,0.0,591,,60878,2014年第2季,,-77827,-161496,-76207,-158544,,-99575,7486,1098727,1192487,93760,93760,193335,56928,,,-0.4,-0.4,75529,-77827,-92089,,,,,,6138,,,,,,-1620,-2952
2014-11-10,3,2014,972172.0,,-8821.0,,-963351,42386,42386.0,-19177.0,93681,,,112806,-6.66,-6.66,,,,,-49854,,52.0,1446.0,,1446,,125096,2014年第3季,,-1265172,-1171491,-1261410,-1169417,972172.0,-389343,-925683,1177304,1107032,-70272,-70272,319071,71352,,,-6.66,-6.66,122623,-1265172,-1315026,,,,,,6164,,,,,,-3762,-2074
2015-03-24,4,2014,864486.0,,-50728.0,,-862920,142701,142701.0,-21891.0,108677,,,130568,-7.31,-7.31,,,,,-40711,,-164.0,3502.0,,3502,,337002,2014年度,,-1399456,-1290779,-1382639,-1275942,913648.0,-697040,-743127,4264793,4502520,237727,237727,934767,245194,,164.0,-7.31,-7.31,352571,-1399456,-1440167,,,,,,26410,,,49162.0,,,-16817,-14837
2015-05-12,1,2015,,,,,-22266,33715,,,-45668,,,-54934,0.16,0.16,,,,-45668.0,20130,,,,,782,-1.0,20790,2015年第1季,,25469,-20199,30389,-14859,,39307,6292,701775,868214,166439,166439,127132,44168,,,0.16,0.16,62174,25469,45599,,,-9267.0,,,5939,,,,,,-4920,-5340
2015-07-30,2,2015,,,,,19385,45827,45827.0,,-34868,,,-41932,0.31,0.31,,,,-34868.0,26427,,,720.0,,720,21.0,33347,2015年第2季,,49711,14843,58565,24204,,16187,59951,685807,843584,157777,157777,141590,46538,,,0.31,0.31,61705,49711,76138,,,-7043.0,,,5981,,,,,,-8854,-9361
