date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-25,1,2013,,2257.0,31754,9544,37101,42443,0.81,0.0,,39457,-1392,82564,2013年01月01日至2013年03月31日,117,169231,206332,163661,200762,179248,29440,1644237,2025091,380854,380737,201489,31153,,,0.8,87772,169231,208688,,7599.0,,10466,,,,5570,5570
2013-07-24,2,2013,,-2785.0,48201,9362,23982,31679,1.2,0.0,,68090,-1628,111805,2013年04月01日至2013年06月30日,0,245256,269238,243880,267862,267135,46211,1921766,2449610,527844,527844,260709,39385,,,1.19,109519,245256,313346,,4912.0,,9724,,,,1376,1376
2013-10-24,3,2013,,3944.0,3723,15892,-10453,-16538,1.58,0.0,,63060,-1581,117552,2013年07月01日至2013年09月30日,0,321792,311339,320061,309608,377510,7342,2237851,2886731,648880,648880,271370,36805,,,1.57,117013,321792,384852,,-2141.0,,10692,,,,1731,1731
2014-02-20,4,2013,,3528.0,100425,108527,64957,84105,4.96,117.0,,253231,275,465855,2013年01月01日至2013年12月31日,234,1025446,1090403,1005346,1070303,1112458,166219,7968677,10138227,2169550,2169433,1056975,158711,,-9371.0,4.89,432409,1025446,1278677,,13305.0,,43008,7968677.0,7968677.0,10138227.0,20100,20100
2014-04-24,1,2014,,0.0,-5499,8651,3946,4754,0.86,0.0,,58187,-1955,104102,2014年01月01日至2014年03月31日,117,174877,178823,175769,179715,255878,-22814,1710048,2198670,488622,488505,232627,43916,,,0.86,84609,174877,233064,,808.0,,24011,,,,-892,-892
2014-07-29,2,2014,,0.0,-43388,10828,-25552,-30785,1.14,0.0,,52992,-2603,153429,2014年第2季,13,234031,208479,233211,207659,338295,-51272,2038998,2669115,630117,630104,291809,46246,,,1.14,92134,234031,287023,,-5233.0,,16109,,,,820,820
2014-10-23,3,2014,,0.0,69841,15128,35803,43083,1.42,0.0,,67412,-2550,177555,2014年第3季,0,289641,325444,289928,325475,288718,68335,2137020,2772107,635087,635087,346369,47330,,,1.42,121484,289641,357053,,7280.0,,14084,,,,-287,-31
2015-02-26,4,2014,,0.0,124501,48523,61445,76122,4.32,234.0,,222204,-8507,657652,2014年度,347,884979,946424,882421,943310,1009918,97265,7871171,10127720,2256549,2256436,1246518,189228,,-2093.0,4.28,399638,884979,1107183,,12584.0,,67252,7871171.0,7871171.0,10127720.0,2558,3114
2015-04-28,1,2015,,,-61571,12293,-15126,-18223,0.67,,-15126.0,28643,-1894,80096,2015年01月01日至2015年03月31日,113,128868,113742,136069,121068,222254,-64743,1460478,1904788,444310,444197,221943,48787,,,0.67,93060,128868,157511,,,-3097.0,13571,,,,-7201,-7326
2015-07-28,2,2015,,,-34859,12331,-22128,-26661,0.81,,-22128.0,33462,-2555,147725,2015年第2季,0,153948,131820,162618,140668,224202,-36792,1937803,2446450,508647,508647,284445,49853,,,0.8,86867,153948,187410,,,-4533.0,11709,,,,-8670,-8848
2015-10-27,3,2015,,,62037,12568,67022,80749,1.49,,67022.0,62708,-1206,131229,2015年第3季,0,302205,369227,301233,365816,309032,55881,2381345,3007500,626155,626155,317123,57289,,,1.49,128605,302205,364913,,,13727.0,17518,,,,972,3411
2016-02-24,4,2015,-19086.0,,-152161,44983,-38381,-23246,3.61,347.0,-19295.0,159962,-5673,497436,2015年度,442,707308,668927,729856,691601,1049120,-181850,8103053,10267868,2164815,2164720,1115600,218559,-22995.0,,3.58,399605,707308,867270,-3909.0,,-3951.0,68999,8103053.0,8103053.0,10267868.0,-22548,-22674
2016-04-28,1,2016,,,-40857,7406,-14644,-17643,0.6,,-14644.0,40589,0,83194,2016年01月01日至2016年03月31日,95,111177,96533,121399,106829,216727,-64961,1850105,2283325,433220,433125,216398,48116,,,0.6,85088,111177,151766,,,-2999.0,31510,,,,-10222,-10296
2016-07-28,2,2016,,,-59600,256,-48070,-57915,0.65,0.0,-48070.0,34766,0,113805,2016年第2季,0,125488,77418,131039,83169,241850,-81596,2132112,2622377,490265,490265,248415,53468,,,0.65,81142,125488,160254,,,-9845.0,22252,,,,-5551,-5751
2016-10-27,3,2016,,,-76919,7459,-50270,-60567,0.67,0.0,-50270.0,22216,0,61852,2016年第3季,0,128802,78532,137422,87532,238956,-87938,2000328,2440013,439685,439685,200729,57441,,,0.67,81436,128802,151018,,,-10297.0,18478,,,,-8620,-9000
