date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,2825692,813429,346321,346321.0,34503,,5907807,2903753,1.53,,,3540.0,,6212371,,135123.0,,654153,,1029799,2013年01月01日至2013年03月31日,,39535543,45443350,39576876,45455386,44428009,1319905,71988726,132754996,60766270,60769810,16376304,0.0,10650985,,,1.53,,4695520,39535543,45747914,,-43239.0,,493998,,,-41333,-12036
2013-08-13,2,2013,,4669793,954369,1009064,1009064.0,-970,0.0,5649911,1172141,2.0,2.0,,3386.0,,8255176,,-191994.0,,1059504,,1164693,2013年04月01日至2013年06月30日,0.0,51761503,57411414,51807725,57487048,57629082,2387597,79467520,155886320,76418800,76422186,18792134,0.0,11941871,,,2.0,2.0,5685570,51761503,60016679,,29.0,,635340,,,-46222,-75634
2013-11-12,3,2013,,7685269,-1082482,433395,433395.0,-12525,,5993031,-1740459,2.0,2.0,,-49759.0,,7415132,,37947.0,,1113243,,1164881,2013年07月01日至2013年09月30日,,51934752,57927783,51951943,57951263,59618054,-268170,83636464,162577034,78940570,78890811,19260232,0.0,13357075,,,2.0,2.0,4738276,51934752,59349884,,-10274.0,,732326,83636464.0,,-17191,-23480
2014-02-18,4,2013,,13290385,2390381,2342123,2342123.0,47090,,16352248,3668509,7.26,,,,,27468185,,-59740.0,,3972031,,4516525,2013年01月01日至2013年12月31日,20870.0,188018937,204371185,188146790,204505782,209429363,6057759,316057820,597024197,280966377,280945507,71563234,0.0,48118165,,-662074.0,7.26,,18928544,188018937,215487122,,-115168.0,,2646776,,,-127853,-134597
2014-05-13,1,2014,,-415445,6983,613699,,-2741,,2414145,2831381,1.85,1.85,,21017.0,,5456064,,-4747.0,955380.0,955380,,1152702,2014年01月01日至2014年03月31日,,47845778,50259923,47870745,50283666,52522360,779482,77836093,148215172,70379079,70400096,17874995,,12066622,,,1.85,1.85,4655671,47845778,53301842,,-2956.0,,796580,,,-24967,-23743
2014-08-12,2,2014,,-31156,1821442,1316583,1316583.0,-227251,,-3098651,-3052142,2.3,2.3,,-4369.0,,14438263,,-1274.0,,1047626,,1234821,2014年第2季,,59659857,56561206,59702284,56604654,70713919,3384201,91823190,183020484,91197294,91192925,20251755,,13609070,,,2.3,2.3,5407864,59659857,74098120,,14079.0,,801450,,,-42427,-43448
2014-11-11,3,2014,,8120,40410,688325,688325.0,-5300,,3380357,3410878,2.94,,40410.0,-3206.0,,9076586,,-36019.0,,1036527,,1323181,2014年第3季,,76304606,79684963,76335237,79715131,84431984,949208,103468164,209049734,105581570,105578364,21141080,,15206014,,,2.94,,4611885,76304606,85381192,,2622.0,,816054,,,-30631,-30168
2015-02-10,4,2014,,-36559,2113517,3380407,3380407.0,-1001138,,11834164,11771129,10.18,,,28556.0,,38316677,,-149907.0,,3949674,,5087112,2014年度,,263780869,275615033,263898794,275717141,295890293,6207253,385100646,762806465,377705819,377734375,80842944,,56823732,,290416.0,10.18,,18932100,263780869,302097546,,40915.0,,3236345,,,-117925,-102108
2015-04-24,1,2015,,-204815,410368,881782,881782.0,-264629,,-1645583,-2279138,3.05,,,-19547.0,-1645583.0,9275072,,,,1134649,843163.0,1390996,2015年第1季,,78983908,77338325,78989911,77351478,86626123,1632857,112585333,222034144,109448811,109429264,22538512,,16781463,,,3.05,,4366053,78983908,88258980,,,4793.0,793942,,,-6003,-13153
2015-08-11,2,2015,,-16627929,19485527,1544750,1544750.0,-80686,,-20259381,-3368788,3.06,3.06,,1011.0,-20259381.0,18718779,,,,815749,-249353.0,1479419,2015年第2季,,79412904,59153523,79417514,59161055,77069058,21062625,105735807,205439752,99703945,99704956,22555212,,16612213,,,3.06,3.06,4463580,79412904,98131683,,,13311.0,783401,,205439752.0,-4610,-7532
