date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,停業單位損益合計,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,勞務收入合計,勞務收入淨額,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-26,1,2013,,,,,,16958,5707,2151.0,103162,3556.0,2857.0,12583.0,12583.0,103162,0.42,,,,,10540,8203,55448,2013年01月01日至2013年03月31日,,58326,161488,58326,161488,40855,28011,746486,953863,207377,207377,166522,39875,,,,,71199,58326,68866,,,,,,2857,,,,,947161.0,941280.0,5881.0,,
2013-07-31,2,2013,,,0.0,0.0,,1879,5838,2134.0,57448,3704.0,2491.0,11963.0,11963.0,57448,0.22,,,248.0,,725,-28,59829,2013年04月01日至2013年06月30日,,30058,87506,30058,87506,25585,5198,836168,1032398,196230,196230,170645,43908,,,,,66908,30058,30783,,,2115.0,,,2491,12.0,,,,1038126.0,1020435.0,17691.0,0.0,
2013-11-08,3,2013,,,25.0,,0.0,-15379,6649,3534.0,-35810,3115.0,2011.0,12263.0,12263.0,-35810,0.53,,0.0,13478.0,,8820,9468,71615,2013年07月01日至2013年09月30日,0.0,73064,37254,73064,37254,83157,-1273,976075,1248025,271950,271950,188793,42618,,,0.52,,74560,73064,81884,,,,3228.0,1346.0,2011,6.0,,,,1252734.0,1235762.0,16972.0,,0.0
2014-03-18,4,2013,,,,,,5068,25600,25600.0,173852,,9407.0,48478.0,48478.0,174891,1.57,,,,,30687,19789,254712,2013年01月01日至2013年12月31日,,217069,390921,217069,390921,206706,41050,3532198,4446752,914554,914554,707848,177723,,-1252.0,1.56,,275413,217069,247756,,-213.0,,,,9407,,,,,4464166.0,4398274.0,65892.0,,
2014-04-30,1,2014,,,,,0.0,9584,7887,,47761,,,,,47761,1.08,1.08,,,,-2726,3771,64883,2014年01月01日至2014年03月31日,,139951,187712,139951,187712,117721,19504,1005499,1306443,300944,300944,183223,44062,,,1.08,1.08,74278,139951,137225,,,,,,1738,,1005499.0,1005499.0,,,1306443.0,,0.0,0.0
2014-07-31,2,2014,,,0.0,0.0,,-8680,7759,3572.0,-66597,4187.0,2129.0,7025.0,7025.0,-66597,0.81,,,8705.0,,16841,2400,65995,2014年第2季,,104874,38277,104874,38277,122365,-650,1156705,1463566,306861,306861,184496,45920,,,0.81,,72581,104874,121715,,,25.0,,,2129,0.0,,,,1471239.0,1456541.0,14698.0,0.0,
2014-10-28,3,2014,,,-1.0,,,7251,5392,1798.0,62440,3594.0,1610.0,,,62440,1.39,,7232.0,0.0,,29144,7264,59130,2014年第3季,,179121,241561,179121,241561,189968,18297,1307516,1677237,369721,369721,179753,44439,,,1.37,,76184,179121,208265,,,18.0,0.0,0.0,1610,0.0,,,,,,,,
2015-03-18,4,2014,,,,,,30889,27275,12383.0,200476,14892.0,7145.0,,,201890,4.52,,,,,75864,15655,262414,2014年度,,582437,782913,582437,782913,591627,66674,4907707,6241573,1333866,1333866,742239,177980,,-1704.0,4.47,,301845,582437,658301,,-290.0,,,,7145,,,,,,,,,
2015-04-28,1,2015,,,,,,-2827,5629,,-48842,,,,,-48842,1.11,,,,-48842.0,28438,2745,55009,2015年01月01日至2015年03月31日,,143445,94603,143445,94603,167787,4096,1214878,1553467,338589,338589,170802,41353,,,1.1,,74440,143445,171883,,,,,,1451,,,,,,,,,
2015-08-05,2,2015,,,0.0,,,-8831,6854,1377.0,-37298,5477.0,1845.0,6432.0,6432.0,-37298,1.2,,,8830.0,-37298.0,59650,877,58295,2015年第2季,,155866,118568,155866,118568,218461,-2945,1348478,1743488,395010,395010,176549,41657,,,1.19,,76597,155866,215516,,,0.0,1.0,,1845,,,,,1766370.0,1737056.0,29314.0,,
