date,season,year,不動產、廠房及設備減損損失,不動產、廠房及設備減損迴轉利益,不動產、廠房及設備重估價利益,不動產、廠房及設備重估價損失,不重分類至損益之項目總額,什項支出,保證合約損失,停工損失,停業單位損益合計,備供出售金融資產未實現評價損益,公允價值調整利益－投資性不動產,公允價值調整損失－投資性不動產,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利息收入,其他利益及損失淨額,其他手續費收入,其他收入合計,其他收入－其他,其他收益及費損淨額,其他減損損失,其他減損迴轉利益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構淨投資避險無效而認列於損益之利益,國外營運機構淨投資避險無效而認列於損益之損失,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,壞帳轉回利益,外幣兌換利益,外幣兌換損失,廉價購買利益,待出售非流動資產減損損失,待出售非流動資產減損迴轉利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,手續費支出合計,手續費收入合計,投資性不動產減損損失,投資性不動產減損迴轉利益,持有至到期日金融資產利息收入,按攤銷後成本衡量之金融負債利益,按攤銷後成本衡量之金融負債損失,按攤銷後成本衡量之金融資產利息收入,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,探勘及評估資產減損損失,探勘及評估資產減損迴轉利益,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權利金收入,歸因於所規避風險之被避險項目之利益－公允價值避險,歸因於所規避風險之被避險項目之損失－公允價值避險,歸墊收入,母公司業主（淨利／損）,母公司業主（綜合損益）,沖銷逾期應付款利益,減損損失合計,減損迴轉利益合計,無形資產減損損失,無形資產減損迴轉利益,無形資產重估價損失,無活絡市場債券投資利息收入,無活絡市場債務工具投資利息收入,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險有效而自權益轉列之利益,現金流量避險有效自權益轉列之損失,現金流量避險無效而認列於損益之利益,現金流量避險無效而認列於損益之損失,生物資產減損損失,生物資產減損迴轉利益,生物資產當期公允價值減出售成本之變動之利益,生物資產當期公允價值減出售成本之變動之損失,由信託及受託活動產生之手續費收益,由信託及受託活動產生之手續費費損,由按攤銷後成本衡量之金融資產產生之手續費收益,由攤銷後成本衡量之金融資產產生之手續費費損,當期原始認列生物資產之利益,當期原始認列生物資產之損失,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資性不動產利益,處分投資性不動產損失,處分投資損失,處分無形資產利益,處分無形資產損失,虧損性合約損失,負債性特別股股息,財務成本淨額,賠償損失,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,違約金收入,避險工具之利益－公允價值避險,避險工具之損失－公允價值避險,金融資產減損損失,金融資產減損迴轉利益,金融資產重分類利益,金融資產重分類損失,金融資產重分類淨損益,銀行存款利息,銷貨收入淨額,除列按攤銷後成本衡量之金融資產之利益,除列按攤銷後成本衡量之金融資產之損失,除列按攤銷後成本衡量金融資產淨損益,非以透過損益按公允價值衡量之金融負債所產生之手續費收益,非以透過損益按公允價值衡量之金融負債所產生之手續費費損,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-30,1,2013,,,,,,,,,0.0,123190,,,,,,46434,,20258,,0.0,,,164326,,,,,40274,0.82,,,,,,,,147362,,,,,,,,,862.0,,,50837,,,,-13998,2013年01月01日至2013年03月31日,760538,924864,,,,,626239,790565,,,,,,,,,831348,76552,7876055,9208682,1332627,1332627,501279,,,,,,,,,,,,,,,315164,,,,0.81,200113,760538,907900,,,,,,,,,,,,40977,,,,,,,,,,,0.0,,9208682,,,0.0,,,134299,134299
2013-08-09,2,2013,,,,,,,,,,169987,,,,,,15321,,28793,,,,,201691,,,,,29778,0.92,,,,,,,,102185,,,,,,,,,1926.0,,,43592,,,,-12714,2013年04月01日至2013年06月30日,906256,1107947,,,,,705377,907068,,,,,,,,,960285,48156,7902366,9453949,1551583,1551583,591298,,,,,,,,,,,,,,,320501,,,,0.92,283511,906256,1008441,,,,,,,,,,,,39550,,,,,,,,,,,,,9453949,,,,,,200879,200879
2013-11-08,3,2013,,,,,,,,,,-219818,,,,,,53551,,20628,,,,,-239425,,,,,-19607,0.51,,,,,,,,72786,,,,,,,,,0.0,,,53131,,,,82674,2013年07月01日至2013年09月30日,604023,364598,,,,,389573,150148,,,,,,,,,597444,79365,8096645,9347146,1250501,1250501,653057,,,,,,,,,,,,,,,315948,,,,0.51,254435,604023,676809,,,,,,,,,,,,47945,,,,,,,,,,,,,9347146,,,,,,214450,214450
2014-03-13,4,2014,,,,,,,,,,14631,,,0.0,0.0,,352127,,197756,87262.0,,,,45588,0.0,,,,47500,4.24,0.0,411523.0,,110494.0,,,,329134,,0.0,,,,,,,-68.0,,,166531,,,,395352,2014年度,4426684,4472272,0.0,,,0.0,3239521,3288469,0.0,,,,,,,,4232071,523747,33381281,40039445,6658164,6658164,2426093,,,,,,,,,,,,,,,1110545,,-16475.0,0.0,4.22,920196,4426684,4755818,0.0,,,,,,,,,,,192667,0.0,,59396.0,0.0,,,,,,,0.0,,40039445,,,0.0,,,1187163,1183803
2014-03-14,4,2013,,,,,,,,,,104185,,,,,,-5792300,,106903,,,,,161356,,,,,81326,-5.24,,,,,,,,419063,,,,,,,,,-6131.0,,,163150,,,,151170,2013年01月01日至2013年12月31日,-3205160,-3043804,,,,,-4005195,-3845686,,,,,,,,,2911762,-5697859,32321052,37604981,5283929,5283929,2372167,,,,,,,,,,,,,,,1205412,,-18024.0,,-5.24,1015585,-3205160,-2786097,,,,,,,,,,,,175612,,,,,,,,,,,,,37604981,,,,,,800035,801882
2014-05-09,1,2014,,,,,,,,,0.0,81173,,,,,,162010,,20660,,0.0,,,73624,,,,,-12182,0.78,,,,,,,,68790,,,,,,,,,4633.0,,,67606,,,,65484,2014年01月01日至2014年03月31日,866990,940614,,,,,597438,671062,,,,,,,,,736074,199706,7926248,9226517,1300269,1300269,564195,,,,,,,,,,,,,,,265048,,,,0.78,233663,866990,935780,,,,,,,,,,,,50570,,,,,,,,,,,0.0,,9226517,,,0.0,,,269552,269552
2014-08-08,2,2014,,,,,,,,,,-1244,,,,,,15497,,28205,,,,,-28179,,,,,-26935,1.18,,,,,,,,85783,,,,,,,,,0.0,,,29922,,,,192082,2014年第2季,1224457,1196278,,,,,898516,870337,,,,,,,,,1286099,24141,8690296,10580372,1890076,1890076,603977,,,,,,,,,,,,,,,240190,,,,1.17,171705,1224457,1310240,,,,,,,,,,,,49483,,,,,,,,,,,,,10580372,,,,,,325941,325941
2014-11-05,3,2014,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,-63540,0.0,0.0,,,0.0,-39313,0.0,229304,118810.0,,22724.0,0.0,-26411,0.0,45433.0,0.0,0.0,41830,1.25,0.0,0.0,0.0,110494.0,0.0,0.0,,100397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4701.0,34366.0,0.0,34366,,0.0,0.0,79203,2014年第3季,1279524,1253113,0.0,0.0,0.0,0.0,958408,931997,0.0,22724.0,0.0,0.0,0.0,0.0,0.0,,1200997,178924,8575832,10458972,1883140,1883140,682143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319895,,,0.0,1.25,283045,1279524,1379921,0.0,0.0,-3626.0,0.0,0.0,0.0,20215.0,0.0,0.0,0.0,0.0,45433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10458972,0.0,0.0,0.0,0.0,0.0,321116,321116
2015-03-08,4,2015,,,,,-59791.0,99284.0,,,,8254,,,0.0,0.0,,147758,,89388,89388.0,,,,25678,0.0,,,,77215,5.2,0.0,866758.0,589262.0,0.0,,,85469.0,767594,,0.0,,,,,,,,,,126015,0.0,,,289212,2015年度,5040004,5065682,0.0,,,0.0,4015813,4055088,0.0,,,,,,,,5643828,163770,34303970,42523512,8219542,8219542,2575714,,,,,,,,,,,,,,,1132211,-59791.0,,0.0,5.16,1154291,5040004,5807598,0.0,,,,,,0.0,,,,,199391,,7182.0,37636.0,0.0,,,,,,,0.0,,42523512,,,0.0,,,1024191,1010594
2015-05-05,1,2015,,,,,,,,,0.0,415,,,,,,-37130,,40231,21598.0,0.0,,,-12214,17121.0,47084.0,,,-12629,1.01,,160857.0,197987.0,,,,-12214.0,117265,,,,,,,,,,,,32866,0.0,,,63574,2015年01月01日至2015年03月31日,1029299,1017085,,,,,771359,759145,,,,,,,,,1157681,-11117,7756793,9430412,1673619,1673619,515938,,,,,,,,,,,,,,,239793,,,1512.0,1.0,212571,1029299,1146564,,,,,,,,,,,,47084,,,,,,,,,,,0.0,,9430412,,,0.0,,,257940,257940
