date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,2656,25527,1732,16406,15322,0.65,0.65,,13298,,608.0,1406,,75626,2013年01月01日至2013年03月31日,109448,125854,108297,124697,111946,10800,645354,876290,230936,230936,118990,22511,,,0.5,0.5,20853,109448,122746,,2180.0,,17865,1151,1157
2013-08-13,2,2013,,3341,8410,7928,4097,-4858,0.45,0.45,,16631,,5041.0,6704,,62635,2013年04月01日至2013年06月30日,74307,78404,72511,76607,85847,5091,648798,849586,200788,200788,114941,25726,,,0.35,0.35,26580,74307,90938,,-573.0,,17951,1796,1797
2013-11-12,3,2013,,15494,14624,2924,42468,6355,0.7,0.7,,18136,,21658.0,7936,,57527,2013年07月01日至2013年09月30日,115753,158221,114695,157137,115834,18055,711925,965742,253817,253817,137983,44260,,,0.68,0.68,36196,115753,133889,,1039.0,,7429,1058,1084
2014-03-28,4,2013,,923,59744,23698,103232,7241,2.3,2.3,,78563,,82363.0,21851,,260867,2013年01月01日至2013年12月31日,435407,538639,430542,534645,462549,51421,2763003,3723553,960550,960550,498001,120173,,20011.0,2.24,2.24,116961,435407,513970,,7306.0,,53872,4865,3994
2014-05-14,1,2014,,21299,23777,4608,19445,-1164,0.68,0.68,,26283,,-1126.0,8466,,74871,2014年01月01日至2014年03月31日,154445,173890,153975,173415,156200,24528,690158,980105,289947,289947,133747,26506,,,0.67,0.67,32370,154445,180728,,-436.0,,12323,470,475
2014-08-13,2,2014,,-14336,-4779,40798,-15650,-3928,0.68,0.68,,39926,,2704.0,4560,,72681,2014年第2季,153106,137456,153261,137608,163963,29069,716228,1009415,293187,293187,129224,27804,,0.0,0.67,0.67,28739,153106,193032,,90.0,,11510,-155,-152
2014-11-10,3,2014,,-5964,13250,12745,8726,7544,0.78,0.78,,43362,,7874.0,5676,,75587,2014年第3季,183104,191830,181665,190388,208312,18154,748399,1092154,343755,343755,135443,30525,,0.0,0.78,0.78,29331,183104,226466,,728.0,,13517,1439,1442
2015-03-26,4,2014,,-34110,100198,25242,-17363,14018,3.06,3.06,,153880,,11140.0,27852,,294543,2014年度,711746,694383,711673,693023,761213,104413,2942651,4236498,1293847,1293847,532634,114108,,-8587.0,3.02,3.02,123983,711746,865626,,-176.0,,48879,73,1360
2015-05-08,1,2015,,14,-33655,4536,1634,-4184,0.87,0.87,1634.0,36442,,,12118,5412.0,78550,2015年01月01日至2015年03月31日,204269,205903,204182,205809,270947,-30236,788220,1204902,416682,416682,145735,28567,,,0.87,0.87,38618,204269,240711,,,-392.0,13235,87,94
2015-08-10,2,2015,,-24454,-22273,6704,2229,-5532,1.01,1.01,2229.0,65470,,,5581,31673.0,77115,2015年第2季,239492,241721,238161,240399,329575,-24613,852795,1326838,474043,474043,144468,28068,,,1.01,1.01,39285,239492,304962,,,-542.0,14625,1331,1322
2015-11-06,3,2015,,-10191,107226,14745,11445,19587,1.49,1.49,11445.0,68724,,,9786,4392.0,100263,2015年第3季,348472,359917,348413,359808,301373,115823,853382,1328433,475051,475051,173678,30095,,,1.48,1.48,43320,348472,417196,,,2343.0,15934,59,109
2016-03-25,4,2015,-16480.0,-46617,41155,32378,-19447,-2083,4.62,4.62,-2967.0,243750,0.0,,20738,46226.0,347159,2015年度,1087652,1068205,1086435,1069307,1285209,46193,3367851,5299071,1931220,1931220,646011,116037,-19682.0,,4.61,4.61,182815,1087652,1331402,-3202.0,,493.0,48078,1217,-1102
2016-05-13,1,2016,,8440,-38281,5727,25756,-879,1.1,1.1,25756.0,61994,,,886,18172.0,105259,2016年01月01日至2016年03月31日,258972,284728,259406,284987,368792,-47826,878438,1428267,549829,549829,181037,27922,,,1.1,1.1,47856,258972,320966,,,-23.0,16158,-434,-259
2016-08-11,2,2016,,-4895,12085,3939,-3435,-6868,1.3,1.3,-3435.0,83764,,,4014,7959.0,98835,2016年第2季,305237,301802,304620,301164,387800,1201,882520,1450544,568024,568024,180224,29778,,,1.3,1.3,51611,305237,389001,,,-369.0,18837,617,638
2016-11-07,3,2016,,1206,-47083,11044,-9653,-13221,0.96,0.96,-9653.0,51007,,,6636,1066.0,93889,2016年第3季,226153,216500,226121,216545,310218,-33058,904132,1394350,490218,490218,180000,29546,,,0.96,0.96,56565,226153,277160,,,-1296.0,3655,32,-45
