date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,,,253,7376,515,-49,-4444.0,21952,26143,0.66,,,21019,,,51716,2013年01月01日至2013年03月31日,65827,87779,,54371,76280,86498,348,592261,777647,185386,185386,98839,12340,,,0.66,,34783,65827,,86846,,,,7543,,592261,777647,11456,11499
2013-05-07,1,2014,,,,643,7770,10874,79,-2461.0,12659,14477,0.68,,,29006,,,49066,2014年01月01日至2014年03月31日,75649,88308,,58604,71036,93042,11613,621891,823477,201586,201586,108623,16218,,,0.67,,43339,75649,,104655,,,,7031,,621891,823477,17045,17272
2013-08-06,2,2013,,,0.0,-857,14767,374,-6,,15362,19541,0.79,,,41889,,,48791,2013年04月01日至2013年06月30日,80258,95620,,64859,80673,113408,8739,598679,809546,210867,210867,97453,15348,,,0.78,,33314,80258,0.79,122147,,3322.0,,6402,,598679,809546,15399,14947
2013-11-07,3,2013,,,,159,5702,364,-152,1649.0,-7889,-9697,0.69,0.69,,33059,,,48456,2013年07月01日至2013年09月30日,75203,67314,,59841,51872,108213,49,637215,849073,211858,211858,103493,14424,,,0.69,0.69,40613,75203,,108262,,,,6017,,637215,849073,15362,15442
2014-03-19,4,2013,,,,-116,40016,2496,-71,-4365.0,21198,53565,2.77,2.77,,139026,,,200772,2013年01月01日至2013年12月31日,302923,324121,,239659,266023,425536,16413,2462449,3289477,827028,827028,401421,58830,,-27886.0,2.75,2.75,141819,302923,,441949,,,,26099,,2462449,3289477,63264,58098
2014-08-07,2,2014,,,0.0,381,-4701,10291,-4,,-18902,-23233,0.65,,,34773,,,49065,2014年第2季,71533,52631,,55989,36945,107167,-861,620998,831651,210653,210653,103482,13898,,,0.64,,40519,71533,0.65,106306,,-3950.0,,6451,,620998,831651,15544,15686
2014-11-05,3,2014,,,,-433,-1574,22091,-7,-3755.0,17896,22084,0.86,0.86,,33310,,,55468,2014年第3季,98991,116887,,78133,96304,117790,14511,653911,894194,240283,240283,122486,23028,,,0.86,0.86,43990,98991,,132301,,,,6006,,653911,894194,20858,20583
2015-02-25,4,2014,,,,1490,-17849,50391,68,-4489.0,23407,70534,3.01,3.01,,132919,,,209658,2014年度,347717,371124,,273626,298483,473970,6666,2581357,3471411,890054,890054,416152,48341,,-44128.0,2.99,2.99,158153,347717,,480636,,,,25876,,2581357,3471411,74091,72641
2015-05-07,1,2015,,,,-91,-12129,9572,0,,-16413,-16322,0.52,,-16413.0,26541,,,43942,2015年第1季,59328,42915,,47353,30961,94387,-8518,568801,754527,185726,185726,91339,10643,,,0.52,,36754,59328,,85869,,,,5961,,568801,754527,11975,11954
2015-08-06,2,2015,0.0,0.0,0.0,-780,-10063,12862,15,,-11727,-10947,0.44,,-11727.0,17872,0.0,0.0,47503,2015年第2季,55414,43687,0.0,40410,28774,75859,-2573,585178,756666,171488,171488,95644,11109,0.0,,0.44,,37032,55414,,73286,0.0,,0.0,5372,0.0,585178,756666,15004,14913
2015-11-05,3,2015,0.0,0.0,,-827,18788,9186,-30,,24669,25496,0.69,,24669.0,26628,,,49996,2015年第3季,85472,110141,,63042,87861,88998,23102,571038,763664,192626,192626,103598,10931,,,0.69,,42671,85472,,112100,,,,4872,,571038,763664,22430,22280
2016-02-24,4,2015,,-27000.0,,-1514,-11920,43684,-224,,-54581,-26067,2.55,2.55,-27581.0,106460,,,194670,2015年度,295992,241411,,231691,179367,392132,10320,2342117,3124337,782220,782220,389864,40394,-27000.0,,2.53,2.53,154800,295992,,402452,,,,21444,,2342117,3124337,64301,62044
2016-05-04,1,2016,,,,-957,-6689,11508,-14,,-17712,-16755,0.68,,-17712.0,29216,,,50055,2016年01月01日至2016年03月31日,74185,56473,,61719,44512,102822,579,529481,732152,202671,202671,99835,10355,,,0.68,,39425,74185,,103401,,,,4240,,529481,732152,12466,11961
2016-08-02,2,2016,,,0.0,646,4363,16924,41,,-25534,-26180,0.77,,-25534.0,35565,,,47971,2016年第2季,86510,60976,,69921,44098,107236,14839,604002,810658,206656,206656,99461,10480,,,0.77,,41010,86510,,122075,,,,6448,,604002,810658,16589,16878
2016-11-03,3,2016,,,,-41,-12508,16894,22,,-39652,-39611,0.95,,-39652.0,23704,,,51870,2016年第3季,102970,63318,,86665,46998,125854,820,583685,805626,221941,221941,96109,10214,,,0.95,,34025,102970,,126674,,,,3566,,583685,805626,16305,16320
