date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,廉價購買利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分不動產、廠房及設備利益,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,2030.0,0.0,22420,52764,30691.0,296369,16583.0,293601,-0.06,11595.0,5490.0,,25836,,2768.0,524,,153725,2013年01月01日至2013年03月31日,-30450,265919,-29289,267029,,-33072,28458,7190065,7688852,498787,498787,531859,33630,,,0.0,344504,-30450,-4614,,,,-1352.0,0.0,47250,14207.0,-1161,-1110
2013-08-12,2,2013,,1457.0,0.0,19056,58015,36447.0,81188,21568.0,80020,-0.09,22314.0,0.0,,28147,,1168.0,1139,,139930,2013年04月01日至2013年06月30日,-52748,28440,-46252,34757,,-56266,31665,7397830,7879227,481397,481397,537663,30239,,,0.0,367494,-52748,-24601,0.0,,,-1099.0,0.0,46545,-702.0,-6496,-6317
2013-11-11,3,2013,,23035.0,0.0,-704,60515,37252.0,-157688,23179.0,-156952,0.06,6818.0,0.0,,42678,,-736.0,437,,166521,2013年07月01日至2013年09月30日,27324,-130364,30299,-127783,,58272,11730,7930540,8521648,591108,591108,532836,33201,,,0.06,333114,27324,70002,84.0,,,1293.0,0.0,48518,14220.0,-2975,-2581
2014-03-13,4,2013,,50480.0,0.0,-211761,231244,127155.0,324411,90226.0,314549,-0.7,70266.0,13779.0,,149602,,4703.0,7640,,609368,2013年01月01日至2013年12月31日,-385472,-61061,-373397,-49955,260469.0,-70411,-165459,31011662,33189361,2177699,2177699,2248110,135483,,6216.0,,1503259,-385472,-235870,84.0,,1057.0,-7116.0,0.0,192582,36038.0,-12075,-11106
2014-05-08,1,2014,,1598.0,,-48033,67037,29055.0,212274,32506.0,212576,-0.03,-85596.0,5476.0,,19956,,-302.0,12621,,144450,2014年01月01日至2014年03月31日,-16918,195356,-17556,194533,,20914,-17876,6831260,7392943,561683,561683,540769,34208,,,,362111,-16918,3038,,,,28440.0,,49501,10721.0,638,823
2014-08-11,2,2014,,-139.0,,1087,68457,21427.0,-218517,47030.0,-217180,0.06,-1867.0,0.0,,32093,,-1337.0,4107,,136900,2014年第2季,35895,-182622,32420,-185535,,49365,18623,7068662,7645257,576595,576595,527230,34653,,,,355677,35895,67988,,,,-510.0,,55028,3325.0,3475,2913
2014-11-11,3,2014,,3230.0,,29910,81559,25155.0,218962,56404.0,212038,0.18,30982.0,0.0,,20747,,6924.0,6105,,164590,2014年第3季,99004,317966,97633,315844,,53170,66581,7263245,7873117,609872,609872,556702,35619,,,,356493,99004,119751,,,,-2513.0,,50993,4671.0,1371,2122
2015-02-16,4,2014,,24886.0,,-61376,299210,103071.0,656465,186019.0,631895,0.25,-90237.0,10120.0,,81025,,23341.0,28519,,580802,2014年度,140536,797001,135107,790153,0.0,166821,54740,27711873,30057535,2345662,2345662,2178841,135405,,1429.0,,1462634,140536,221561,0.0,,200.0,25791.0,,211613,27956.0,5429,6848
2015-04-28,1,2015,,1174.0,,9735,64845,20104.0,-128146,40586.0,-121230,-0.43,2975.0,4155.0,-128146.0,35671,,,-1413,-6916.0,160653,2015年01月01日至2015年03月31日,-226952,-355098,-226075,-353891,,-216596,25315,5425730,5811174,385444,385444,602040,26223,,,,415164,-226952,-191281,,,,-4.0,129.0,47852,7809.0,-877,-1207
2015-07-28,2,2015,,2155.0,,61420,86686,53323.0,-166512,33363.0,-156629,0.14,-2942.0,0.0,-166512.0,30523,,,-3006,-9883.0,144275,2015年第2季,77857,-88655,72516,-93489,,1320,107060,5025856,5474525,448669,448669,447349,25988,,,,277086,77857,108380,,,,63189.0,0.0,38040,3328.0,5341,4834
