date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,-2782,63550,12165,96889,73402,0.6,,22931,,139913,2013年01月01日至2013年03月31日,118222,215111,118222,215111,79977,61176,3531801,4107920,576119,576119,496142,26269.0,,214075,,,0.53,142154,118222,141153,,,,14539,0.0,0.0
2013-08-14,2,2013,,-1576,93286,11198,39770,56014,1.39,,59482,,158137,2013年04月01日至2013年06月30日,276278,316048,276291,316061,245359,90401,4290778,5093177,802399,802399,557040,-14315.0,,243188,,,1.2,155715,276278,335760,,353.0,,14083,-13.0,-13.0
2013-11-11,3,2013,,-164,1391,15350,-51210,-36621,1.15,,50190,,155293,2013年07月01日至2013年09月30日,228202,176992,228215,177005,276115,2277,4242551,5073154,830603,830603,554488,-17380.0,,244820,,,0.98,154375,228202,278392,,-2955.0,,14464,-13.0,-13.0
2014-02-20,4,2013,,-2998,155308,53977,138939,158492,4.19,,178794,-2359.0,621588,2013年01月01日至2013年12月31日,844927,983866,844927,983866,872191,151530,16006588,19076628,3070040,3070040,2197849,-24018.0,,970002,,2049.0,3.67,606259,844927,1023721,,-5414.0,,55396,,
2014-05-07,1,2014,,4626,-12140,13337,-5105,-25300,0.84,,37439,,166595,2014年01月01日至2014年03月31日,183791,178686,183791,178686,233020,-11790,3880357,4670763,790406,790406,557386,18758.0,,247383,,,0.78,143408,183791,221230,,3189.0,,12987,,
2014-08-12,2,2014,,1828,6769,12988,-25127,-56721,1.22,,55940,,192715,2014年第2季,271657,246530,271657,246530,326219,1378,5032296,6020927,988631,988631,662412,35862.0,,289429,,,1.14,180268,271657,327597,,6096.0,,18379,0.0,0.0
2014-11-12,3,2014,,4474,-27495,27261,178285,89596,1.07,,50263,,173016,2014年第3季,239226,417511,239226,417511,314114,-24625,5222406,6147207,924801,924801,610687,101464.0,,271857,,,1.0,165814,239226,289489,,17249.0,,24391,0.0,0.0
2015-03-11,4,2014,,13342,5431,85506,239821,121390,4.21,,239879,0.0,694209,2014年度,949059,1188880,949302,1188877,1180417,8521,19537702,23192689,3654987,3654987,2474570,132356.0,,1126715,,-6562.0,3.93,653646,949059,1188938,,20705.0,,82416,-243.0,3.0
2015-05-14,1,2015,,12862,-2098,27820,197994,-35044,0.73,197994.0,34801,,197189,2015年01月01日至2015年03月31日,166699,364693,167836,365884,186916,14584,5483448,6347384,863936,863936,677020,,266091.0,300313,,,0.7,179518,166699,201500,,,45915.0,11138,-1137.0,-1191.0
2015-08-13,2,2015,,13905,25513,26316,-241667,-55723,1.43,-241667.0,75512,,236363,2015年第2季,328224,86557,329340,87728,368649,35087,7429433,8561902,1132469,1132469,763820,,-240781.0,342750,,,1.36,184707,328224,403736,,,-40932.0,16742,-1116.0,-1171.0
2015-11-13,3,2015,,-19008,-94240,29060,198096,171715,1.89,198096.0,96770,,277606,2015年第3季,439897,637993,441814,639733,624630,-87963,8861972,10415166,1553194,1553194,928564,,90212.0,411000,,,1.81,239958,439897,536667,,,44823.0,22783,-1917.0,-1740.0
2016-03-23,4,2015,-8975.0,4468,-109232,102649,12380,-16843,5.57,21355.0,286315,,979034,2015年度,1297000,1309380,1304508,1316902,1664706,-81391,30027997,35011966,4983969,4983969,3319263,,20482.0,1500365,-10813.0,,5.33,839864,1297000,1583315,-1838.0,,-13248.0,74808,-7508.0,-7522.0
2016-05-04,1,2016,,-2144,8385,20102,-162268,-88582,1.17,-162268.0,63613,,267449,2016年01月01日至2016年03月31日,287269,125001,282186,120047,348490,2392,7572967,8809588,1236621,1236621,888131,,-58816.0,401845,,,1.15,218837,287269,350882,,,12726.0,26095,5083.0,4954.0
2016-08-12,2,2016,,-2411,-14870,24895,17322,-117394,1.43,17322.0,76160,,249833,2016年第2季,344228,361550,346175,363392,427598,-7210,7986052,9267943,1281891,1281891,854293,,141277.0,404658,,,1.4,199802,344228,420388,,,4150.0,17235,-1947.0,-1842.0
2016-11-09,3,2016,,1743,-6867,25380,-214709,-142288,1.72,-214709.0,106738,,254854,2016年第3季,416305,201596,418840,204055,520514,2529,8035173,9485003,1449830,1449830,929316,,-79436.0,465079,,,1.68,209383,416305,523043,,,-5272.0,15984,-2535.0,-2459.0
