date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利息收入,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,勞務成本合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,按攤銷後成本衡量之金融資產利息收入,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列關聯企業及合資之權益工具投資利益(損失),採用權益法認列關聯企業及合資之確定福利計畫再衡量數,採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,採用權益法認列關聯企業及合資之重估增值,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,無活絡市場債券投資利息收入,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,維修成本,維修收入,維修收入淨額,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資性不動產利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,遞延所得稅費用（利益）,重估增值,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,953.0,8944,119.0,47667,15337,9172.0,,,48876,4378.0,11789.0,67278.0,94238.0,47866,0.12,0.12,46876.0,0.0,,,21908,,,,,,,,,,139541,2013年01月01日至2013年03月31日,,38447,87323,,26804,74487,,9140,51215,1132747,1452830,320083,320083,310943,16890.0,46774,,,1787.0,0.12,0.12,124628,67278.0,94238.0,94238.0,38447,60355,,,7934.0,,,0.0,18.0,660.0,,,11789,5107.0,4005.0,5018.0,,4259.0,1065469.0,1065469.0,3817.0,1367128.0,1367128.0,1358592.0,4719.0,11643,12836
2013-08-09,2,2013,,,1704.0,10917,4920.0,22096,13013,6802.0,,,30394,5225.0,11582.0,66143.0,96757.0,23711,0.56,0.56,29660.0,0.0,,,33645,,0.0,,,,,,,,139654,2013年04月01日至2013年06月30日,,145467,175861,,126909,153736,10.0,155585,23527,1584570,2095779,511209,511209,355624,32321.0,50030,,,986.0,0.56,0.56,165940,66143.0,96757.0,96757.0,145467,179112,,,4234.0,,,,432.0,0.0,0.0,1034.0,11582,0.0,4394.0,1324.0,,295.0,1518427.0,1518427.0,13162.0,2014271.0,2014271.0,1999022.0,2087.0,18558,22125
2013-11-06,3,2013,,,2082.0,2833,1998.0,-19634,24714,15874.0,,0.0,-9474,2862.0,11772.0,79238.0,119914.0,-14828,0.33,0.33,0.0,22981.0,,,20806,,12.0,,,,,,,,128489,2013年07月01日至2013年09月30日,,103227,93753,,75621,65770,,130725,-6692,1494757,1991670,496913,496913,366188,31736.0,57595,,,5530.0,0.33,0.33,180104,79238.0,119914.0,119914.0,103227,124033,448.0,,-2521.0,,,,1176.0,0.0,12100.0,281.0,11772,0.0,5214.0,-10930.0,,852.0,1415519.0,1415519.0,7822.0,1885071.0,1885071.0,1871756.0,5493.0,27606,27983
2014-03-25,4,2013,,,,42197,,89315,74934,,,,92747,,,288625.0,430962.0,64841,1.23,1.23,,,,,106402,,,,,,,,,,660648,2013年01月01日至2013年12月31日,,370176,462923,,284428,377110,,361708,114870,5827347,7606700,1779353,1779353,1417645,106402.0,225113,,-3268.0,,1.23,1.23,531884,288625.0,430962.0,430962.0,370176,476578,,,11023.0,,,,,,,,49379,,,,,,5538722.0,5538722.0,30785.0,7228437.0,7228437.0,7175738.0,21914.0,85748,85813
2014-05-05,1,2014,,,2140.0,2035,2332.0,67328,46221,38387.0,,,5369,5990.0,13464.0,57483.0,85299.0,4017,0.61,0.61,38326.0,,,,51491,,,,,,,,,,132124,2014年01月01日至2014年03月31日,,166685,172054,,140744,145842,,118091,100085,1378759,1833423,454664,454664,336573,67661.0,47259,,,1844.0,0.61,0.61,157190,57483.0,85299.0,85299.0,166685,218176,,,683.0,,,31733.0,0.0,103.0,,,13464,3441.0,4135.0,-16170.0,,3658.0,1321276.0,1321276.0,5711.0,1754024.0,1754024.0,1748124.0,189.0,25941,26212
2014-08-07,2,2014,,,707.0,22814,2214.0,-51725,27499,18858.0,,,6134,6563.0,15147.0,79802.0,122677.0,-20096,0.51,0.51,0.0,41236.0,,,40483,,,,,,,,,,180662,2014年第2季,,131784,137918,,117214,123758,,211640,-39373,1843448,2489289,645841,645841,434201,46661.0,55214,,,2078.0,0.51,0.51,198325,79802.0,122677.0,122677.0,131784,172267,,,-3416.0,,,0.0,2285.0,70.0,,0.0,15147,0.0,7567.0,-6178.0,,4349.0,1763646.0,1763646.0,,,,2366612.0,,14570,14160
2014-11-13,3,2014,,,,-14104,,71188,29566,,,,9214,,,,,28093,0.98,0.98,,,,,36934,,,,,,,,,,185083,2014年第3季,,251112,260326,,224543,233071,,196827,91219,1843593,2468311,624718,624718,427891,,76663,,,,0.97,0.97,166145,,,,251112,288046,,,4775.0,,,,,,,,9535,,,,,,,,,,,,,26569,27255
2015-03-17,4,2014,,,,31214,,227544,147420,,,,66536,,,,,52199,2.51,2.51,,,,,169297,,,,-121.0,,,,,,695401,2014年度,,680723,747259,,578540,642768,,532440,317580,6916358,9074478,2158120,2158120,1625680,,265633,,-12108.0,,2.49,2.49,664646,,,,680723,850020,,,4769.0,,,,,,,,57263,,,,,,,,,,,,,102183,104491
2015-05-07,1,2015,,,,5460,,-80095,30391,,,,-10686,,,,,-19339,0.06,0.06,,,,-10686.0,11925,,,,-408.0,,,,,,165029,2015年01月01日至2015年03月31日,,5648,-5038,,15165,5036,,79781,-62208,1389703,1817664,427961,427961,348180,,62009,,,,0.06,0.06,121142,,,,5648,17573,,,,-3193.0,,,,,,,12096,,,,,,,,,,,,,-9517,-10074
2015-08-11,2,2015,,,,-44954,,-50176,11960,,,,-57300,,,,,-14737,0.17,0.17,,,,-57300.0,19530,,,,-365.0,,,,,,168378,2015年第2季,,55083,-2217,,44649,-11979,,129024,-54411,1787905,2334838,546933,546933,417909,,70776,,,,0.17,0.17,178755,,,,55083,74613,,,,-2391.0,,,,,,,15830,,,,,,,,,,,,,10434,9762
