date,season,year,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,,-678,1068,56927,56927,-1.38,-1.38,,7171,403310,2013年01月01日至2013年03月31日,-122603,-65676,-122603,-65676,-109112,-6320,355378,679400,324022,324022,433134,29824,-122603,-115432,6710,,
2013-08-12,2,2013,,,-1648,2525,28745,28745,-2.06,-2.06,,-10488,346255,2013年04月01日至2013年06月30日,-198136,-169391,-198136,-169391,-202907,-5717,187537,365088,177551,177551,380458,34203,-198136,-208624,6594,,
2013-11-11,3,2013,,,-1132,1898,-18027,-18027,-1.89,-1.89,,-1147,289205,2013年07月01日至2013年09月30日,-181852,-199879,-181852,-199879,-177968,-5031,287222,429545,142323,142323,320291,31086,-181852,-182999,5797,0.0,0.0
2014-03-26,4,2013,,,-986,7225,92034,92034,-6.99,-6.99,,19735,1447279,2013年01月01日至2013年12月31日,-660099,-568065,-660099,-568065,-621066,-19298,1138701,2091400,952699,952699,1573765,126486,-660099,-640364,25537,,
2014-05-12,1,2014,,,-4316,987,-1162,-1162,-1.85,-1.85,,2113,369320,2014年01月01日至2014年03月31日,-178232,-179394,-178232,-179394,-167084,-9035,305144,535119,229975,229975,397059,27739,-178232,-176119,5706,,0.0
2014-08-12,2,2014,,,-2135,280,-19191,-19191,-1.87,-1.87,,1054,239848,2014年第2季,-179975,-199166,-179975,-199166,-171444,-7477,192483,287659,95176,95176,266620,26772,-179975,-178921,5622,,
2014-11-11,3,2014,,,-2707,3323,21851,21851,-2.19,-2.19,,1969,235395,2014年第3季,-211151,-189300,-211151,-189300,-202821,-6361,195961,273510,77549,77549,280370,44975,-211151,-209182,6977,,
2015-03-23,4,2014,,,293220,26515,28027,28027,-5.78,-5.78,,4417,1166541,2014年度,-556334,-528307,-556334,-528307,-849838,297921,1120737,1577731,456994,456994,1306832,140291,-556334,-551917,21814,,
2015-05-12,1,2015,,,-3252,22823,-5656,-5656,-0.87,-0.87,-5656.0,633,255558,2015年01月01日至2015年03月31日,-84025,-89681,-84025,-89681,-99312,15920,229743,408930,179187,179187,278499,22941,-84025,-83392,3651,,
2015-08-11,2,2015,,,-6424,25967,-10484,-10484,-1.82,-1.82,-10484.0,-869,190080,2015年第2季,-175453,-185937,-175453,-185937,-194141,17819,196820,220538,23718,23718,217859,27779,-175453,-176322,1724,,
2015-11-10,3,2015,0.0,0.0,-4446,2096,17671,17671,-1.31,-1.31,17671.0,867,136303,2015年第3季,-126392,-108721,-126392,-108721,-122634,-2891,166177,202404,36227,36227,158861,22558,-126392,-125525,541,0.0,0.0
2016-02-19,4,2015,,,-28686,84034,-3378,-3378,-4.83,-4.83,-3378.0,1360,795559,2015年度,-465411,-468789,-465411,-468789,-513166,49115,717437,1101591,384154,384154,897320,101761,-465411,-464051,6233,,
2016-05-05,1,2016,,,-1181,2653,-4383,-4383,-0.19,-0.19,-4383.0,919,132066,2016年01月01日至2016年03月31日,-17991,-22374,-17991,-22374,-17514,442,90712,225145,134433,134433,151947,19881,-17991,-17072,1030,,
2016-08-09,2,2016,0.0,0.0,-3911,1744,-6328,-6328,-1.22,-1.22,-6328.0,-857,110144,2016年第2季,-36611,-42939,-36611,-42939,-33782,-3686,69224,159426,90202,90202,123984,13840,-36611,-37468,1519,0.0,0.0
2016-11-11,3,2016,0.0,0.0,-4507,13807,-6009,-6009,-1.1,-1.1,-6009.0,-1487,108160,2016年第3季,-32865,-38874,-32865,-38874,-42331,7979,80002,165950,85948,85948,128279,20119,-32865,-34352,1321,0.0,0.0
