date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息費用,勞務收入合計,勞務收入淨額,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本合計,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-29,1,2013,,57.0,27202,11458,131463,4954.0,134819,134819,131406,0.85,,25744,72147,2013年01月01日至2013年03月31日,129541,261004,120311,242886,121579,33706,2441267,2714660,273393,273393,151814,16963,,,0.85,62704,129541,155285,4954,2353217,2683797,2579841,103956,9230,18118
2013-08-09,2,2013,,12.0,6789,11234,70464,3786.0,166313,166313,70452,0.47,,72974,68630,2013年04月01日至2013年06月30日,75037,145501,67048,132913,133774,14237,3073516,3357226,283710,283710,149936,18352,,,0.47,62954,75037,148011,3786,2960554,3250253,3190913,59340,7989,12588
2013-11-11,3,2013,,-69.0,-3614,9206,-55942,3737.0,179249,179249,-55873,0.92,,41673,70889,2013年07月01日至2013年09月30日,141057,85115,130589,77714,180875,1855,3628721,3958376,329655,329655,148780,18382,,,0.91,59509,141057,182730,3737,3512264,3868622,3779127,89495,10468,7401
2014-03-17,4,2013,,0.0,45352,46921,228744,17227.0,638536,638536,221548,2.77,,180210,278232,2013年01月01日至2013年12月31日,433232,661976,394074,607434,538396,75046,12333459,13474347,1140888,1140888,602492,72145,,7196.0,2.77,252115,433232,613442,17227,11908422,13142644,12835811,306833,39158,54542
2014-04-28,1,2014,,0.0,26217,15180,4038,4527.0,163006,163006,4038,0.66,,29270,66678,2014年01月01日至2014年03月31日,98881,102919,93182,98408,91281,36870,1883809,2127444,243635,243635,152354,18997,,,0.66,66679,98881,128151,4527,1780209,1981011,1964438,16573,5699,4511
2014-08-01,2,2014,,0.0,8568,17292,-90622,3507.0,187718,187718,-90622,0.9,,54135,68557,2014年第2季,137166,46544,129124,43680,168948,22353,2440283,2757015,316732,316732,147784,20443,,,0.9,58784,137166,191301,3507,2325175,2596740,2569297,27443,8042,2864
2014-11-07,3,2014,,0.0,8818,18448,113986,3975.0,201229,201229,113986,1.08,,44131,84279,2014年第3季,167668,281654,152056,259253,188508,23291,2640946,2997087,356141,356141,167633,19800,,,1.08,63554,167668,211799,3975,2524305,2825495,2795858,29637,15612,22401
2015-03-23,4,2014,,,68326,42039,189733,16802.0,755079,755079,185932,3.48,,175939,293820,2014年度,508843,698576,468712,648870,591219,93563,9383973,10633688,1249715,1249715,658496,77725,,3801.0,3.47,286951,508843,684782,16802,8918223,9975440,9878609,96831,40131,49706
2015-04-28,1,2015,,,18491,11201,-102877,4256.0,154961,154961,-102877,0.68,-102877.0,23635,72487,2015年01月01日至2015年03月31日,84349,-18528,77267,-22791,82548,25436,2136593,2368426,231833,231833,149285,19103,,,0.68,57695,84349,107984,4256,2030509,2231866,2213465,18401,7082,4263
2015-08-03,2,2015,,7.0,19844,12026,-70259,3824.0,180205,180205,-70266,1.0,-70259.0,27576,72376,2015年第2季,121906,51647,112411,46699,121436,28046,2831014,3112370,281356,281356,159920,19731,,,0.99,67813,121906,149482,3824,2712484,2964001,2932165,31836,9495,4948
2015-11-06,3,2015,,-7.0,25946,9182,218189,4667.0,165508,165508,218196,1.01,218189.0,24956,73712,2015年第3季,123444,341633,112327,318961,117939,30461,2586874,2866675,279801,279801,161862,21081,,,1.01,67069,123444,148400,4667,2483591,2777932,2701167,76765,11117,22672
2016-03-21,4,2015,-7227.0,2.0,74454,43378,-127381,17596.0,674861,674861,-120156,3.52,-120154.0,113404,275828,2015年度,427251,299870,391284,270272,440419,100236,10041362,11116018,1074656,1074656,634237,93399,-7227.0,,3.51,265010,427251,540655,17596,9585443,10589808,10441157,148651,35967,29598
2016-04-28,1,2016,,5.0,15395,9091,-33695,,169546,169546,-33700,0.75,-33695.0,18711,69420,2016年01月01日至2016年03月31日,83327,49632,80259,47975,82349,19689,2280722,2514685,233963,233963,151614,27743,,,0.75,54451,83327,102038,4797,2157106,2367944,2345139,22805,3068,1657
2016-07-25,2,2016,,10.0,23626,5498,-118096,,177906,177906,-118106,0.85,-118096.0,24326,73599,2016年第2季,98904,-19192,91378,-18904,99218,24012,3047994,3328586,280592,280592,181374,32913,,,0.85,74862,98904,123230,5112,2934835,3203990,3150680,53310,7526,-288
2016-11-01,3,2016,,5.0,6595,7864,-162247,6935.0,166498,166498,-162252,1.26,-162247.0,42404,80114,2016年第3季,156915,-5332,135215,-17456,191795,7524,3196287,3562600,366313,366313,174518,28209,,,1.26,66195,156915,199319,6935,3085137,3503935,3396102,107833,21700,12124
