date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2014-05-02,1,2014,,2778,1093,3635,2778,-0.82,-0.82,,0,4576,2014年01月01日至2014年03月31日,-152158,-149380,-151927,-149149,-145851,-6307,58396,5181,-53215,-53215,92636,49218,,,38842,-152158,-152158,,,11035,-231,-231
2014-08-08,2,2014,,6743,-3826,6328,6743,0.09,0.09,,-32863,4189,2014年第2季,-30185,-23442,16798,23541,-54077,-8971,199709,260616,60907,60907,114984,49964,,,60831,-30185,-63048,,,11473,-46983,-46983
2015-03-25,4,2014,,16811,-13647,42834,18107,-3.04,-3.04,,-41013,20368,2014年度,-618041,-599934,-614422,-596315,-647604,-11450,685700,480506,-205194,-205194,442410,238831,,1352,183211,-618041,-659054,,56,40637,-3619,-3619
2015-05-11,1,2015,,59324,-244,2263,59324,-0.61,-0.61,59324,-922,5457,2015年01月01日至2015年03月31日,-153303,-93979,-142542,-83218,-150261,-3964,87385,27781,-59604,-59604,90657,48790,,,36410,-153303,-154225,,,5983,-10761,-10761
2015-08-10,2,2015,,40271,-428,15757,40271,-0.39,-0.39,40271,0,5015,2015年第2季,-93866,-53595,-92528,-52257,-102701,8835,30449,27527,-2922,-2922,99779,34889,,,59875,-93866,-93866,,,6494,-1338,-1338
2015-11-11,3,2015,,-72247,270,5258,-72247,-0.81,-0.81,-72247,0,4276,2015年第3季,-196999,-269246,-191402,-263649,-196030,-969,193853,108786,-85067,-85067,110963,58824,,,47863,-196999,-196999,,,6497,-5597,-5597
2016-03-28,4,2015,-1203,34921,-346,32644,33718,-3.24,-3.24,34921,51249,22893,2015年度,-782319,-748601,-761087,-727369,-737525,6455,581143,290737,-290406,-290406,447119,205479,-1450,,218747,-782319,-731070,-247,,25843,-21232,-21232
2016-05-11,1,2016,,-15368,-4952,2095,-15368,-0.63,-0.63,-15368,0,5811,2016年01月01日至2016年03月31日,-151268,-166636,-148158,-163526,-141523,-9745,121821,45070,-76751,-76751,64772,21214,,,37747,-151268,-151268,,,6888,-3110,-3110
2016-08-12,2,2016,,17815,1285,8097,17815,-0.45,-0.45,17815,0,7405,2016年第2季,-126132,-108317,-105140,-87325,-128705,2573,131161,111409,-19752,-19752,108953,49252,,,52296,-126132,-126132,,,6809,-20992,-20992
