date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業成本,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,工程成本,工程收入淨額,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,採用權益法認列關聯企業及合資之現金流量避險中屬有效避險部分之避險工具利益(損失),採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,採用權益法認列關聯企業及合資國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本合計,租賃收入合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,-222047,53084,2837,,8366,7128,,-169507,,,76079,0.53,0.53,25641,29010,,82928,,-25861.0,-25861.0,-13950,,,,,,,268883,2013年01月01日至2013年03月31日,286220,116713,277924,108114,25641,29010,335439,33709,3353473,4269678,916205,916205,580766,,87028,,,62171,126841,0.53,0.53,224855,286220,369148,,-2322.0,,,8262,3257295,4106699,8296,8599
2013-08-07,2,2013,,-64430,27236,15464,,6201,5872,6925.0,13863,,,69851,0.43,0.43,10585,9928,,100266,,1517.0,,10252,,,,,,,268253,2013年04月01日至2013年06月30日,234885,248748,221511,233835,10585,9928,290951,44200,3657388,4575877,918489,918489,627538,,116854,,,63301,127434,0.42,0.42,242431,234885,335151,,,,,8752,3577301,4432643,13374,14913
2013-11-12,3,2013,,-20610,940,39010,39010.0,5900,6498,6907.0,-72478,,,-74165,0.69,0.69,123294,199550,,87193,,15390.0,,30315,,,,,,,276549,2013年07月01日至2013年09月30日,376586,304108,361883,290114,123294,199550,403014,60765,4247068,5371953,1124885,1124885,721871,,114645,,,63440,126474,0.69,0.69,330677,376586,463779,,,,,9500,4054434,5039431,14703,13994
2014-03-28,4,2013,,296260,695148,61412,61412.0,11469,13000,-91116.0,315414,,,145662,2.25,2.25,348798,384042,,318675,,9581.0,,67347,,,,,,,1252744,2013年01月01日至2013年12月31日,1225146,1540560,1172687,1482217,348798,384042,761309,782512,16086427,19641848,3555421,3555421,2794112,,466559,,-44973.0,264387,508633,2.24,2.24,1074809,1225146,1543821,,,,,41395,15461773,18736173,52459,58343
2014-05-09,1,2014,,-62294,49040,4375,,656,3249,,-46040,,,62646,0.66,0.66,17259,20389,,83509,,-47765.0,,48776,,,,,,,281608,2014年01月01日至2014年03月31日,361263,315223,342376,292536,17259,20389,353363,91409,3568590,4536957,968367,968367,615004,,103889,,,64875,128345,0.65,0.65,229507,361263,444772,,-1373.0,,,10782,3485800,4384974,18887,22687
2014-08-07,2,2014,,-9767,198,32984,32984.0,10263,3251,15806.0,-94357,,,-92237,0.53,0.53,35821,38970,,97852,,-8159.0,,49304,,,,,,,309849,2014年第2季,294753,200396,276057,188137,35821,38970,320877,71728,4098889,5128943,1030054,1030054,709177,,114501,,,61802,128581,0.53,0.53,284827,294753,392605,,,,,10758,3991003,4958141,18696,12259
2014-10-31,3,2014,,2766,36064,19164,19164.0,3607,3250,-13111.0,196860,,,87466,0.71,0.71,93507,121984,,73556,,119739.0,,89158,,,,,,,281202,2014年第3季,392402,589262,372398,561802,93507,121984,333140,132818,3823930,4866666,1042736,1042736,709596,,117382,,,61381,127836,0.71,0.71,311012,392402,465958,,,,,11568,3665435,4613596,20004,27460
2015-03-13,4,2014,,-76403,134095,61072,61072.0,6875,13000,-19917.0,153158,,,269176,2.43,2.43,259424,319337,,324503,,33063.0,,241302,,,,,,,1200047,2014年度,1333059,1486217,1267797,1403591,259424,319337,1261894,395668,15771175,19802928,4031753,4031753,2769859,,468593,,-52761.0,252495,513362,2.42,2.42,1101219,1333059,1657562,,,,,40801,15252381,18957229,65262,82626
2015-05-13,1,2015,,-6098,-9278,5596,,604,3250,,-74646,0.0,0.0,-75790,0.71,0.71,112424,137907,-74646.0,89171,,,,52877,-5035.0,-5035.0,0.0,0.0,0.0,0.0,248548,2015年01月01日至2015年03月31日,388126,313480,370336,301594,112424,137907,437975,39322,3704649,4763468,1058819,1058819,620844,0.0,110993,,,59861,126492,0.71,0.71,261303,388126,477297,,,-12277.0,0.0,9873,3531760,4495819,17790,11886
2015-08-06,2,2015,,-39363,16534,21388,21388.0,5538,3250,,-153520,,,-61339,0.48,0.48,86580,110488,-153520.0,114326,,,,70351,,-68856.0,,,,,298697,2015年第2季,267040,113520,252333,103057,86580,110488,283585,97781,3958620,4954694,996074,996074,712489,,118809,,,60228,126528,0.48,0.48,294983,267040,381366,,,-16038.0,,10492,3806274,4714428,14707,10463
