date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息收入合計,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列關聯企業及合資之權益工具投資利益(損失),採用權益法認列關聯企業及合資之確定福利計畫再衡量數,採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,採用權益法認列關聯企業及合資之重估增值,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,,-160303,35759,360583,,,,417550,-0.49,,179817,,,1659,,,,,,,,2013年01月01日至2013年03月31日,,-55388,305195,,-177510,87449,316922,-192493,460096,2063106,1603010,1603010,1286088,,,,-0.49,-55388,124429,,56967.0,,69608,,122122,217746
2013-08-12,2,2013,,,,-146229,33780,111973,,,,131192,-0.48,,131352,,,19115,,,,,,,1213334.0,2013年04月01日至2013年06月30日,,-90459,21514,,-181799,-74789,188347,-147454,462234,1863915,1401681,1401681,1213334,,,,-0.48,-90459,40893,,19219.0,,54120,,91340,96303
2013-11-12,3,2013,,,,419801,36584,-137704,,,,-155009,0.22,,86568,,,21188,,,,,,,1202225.0,2013年07月01日至2013年09月30日,,189377,51673,,82343,-9157,34129,241816,492854,1729208,1236354,1236354,1202225,,,,0.16,189377,275945,,-17305.0,,235757,,107034,60830
2014-03-27,4,2013,,,,19618,145914,661555,,,,744740,-0.79,,569373,,,53701,,,,,,,,2013年01月01日至2013年12月31日,,190014,851569,,-291167,116572,948814,-189427,2082255,8122044,6039789,6039789,5090975,,,272.0,-0.79,190014,759387,,83457.0,,408660,,481181,734997
2014-05-08,1,2014,,,,79092,38755,200000,38755.0,,,230632,0.65,,171545,,,19779,,,,,,,1241594.0,2014年01月01日至2014年03月31日,,419941,619941,,246993,396549,504412,87074,529264,2275270,1746006,1746006,1241594,,,,0.65,419941,591486,,30632.0,,50552,,172948,223392
2014-08-12,2,2014,,,,134600,40281,-309972,,,,-353022,0.39,,151971,,,18606,,,,,,,,2014年第2季,,272258,-37714,,144971,-65216,288221,136008,469400,2009882,1540482,1540482,1252261,,,,0.38,272258,424229,,-43050.0,,57479,,127287,27502
2014-11-13,3,2014,,,,-351945,33711,285686,,,,325468,-0.82,,119317,,,18859,,,,,,,,2014年第3季,,-273724,11962,,-309712,-115478,203018,-357425,507397,1919439,1412042,1412042,1209024,,,,-0.82,-273724,-154407,,39782.0,,58050,,35988,127440
2015-03-26,4,2014,,,,-518717,133531,732523,,,,851306,-0.05,,559651,,,82232,,,,,,,5070200.0,2014年度,,485535,1218058,,-19539,543248,1581911,-536725,2116514,8768625,6652111,6652111,5070200,,,-2916.0,-0.05,485535,1045186,,115867.0,,233771,,505074,674810
2015-05-14,1,2015,0.0,0.0,0.0,-15297,35015,-232252,,0.0,0.0,-260322,0.32,-232252.0,214042,0.0,0.0,22036,0.0,,,,,,1277055.0,2015年01月01日至2015年03月31日,,297609,65357,0.0,120005,-17043,539072,-27421,634240,2450367,1816127,1816127,1277055,0.0,0.0,,0.31,297609,511651,0.0,,-28070.0,69175,0.0,177604,82400
2015-08-12,2,2015,0.0,0.0,0.0,-89020,45416,-188510,,0.0,0.0,-216760,0.15,-188510.0,93648,0.0,0.0,29243,0.0,,,,,,1173248.0,2015年第2季,,157456,-31054,0.0,55355,-82579,335414,-84310,499078,2007740,1508662,1508662,1173248,0.0,0.0,,0.15,157456,251104,0.0,,-28250.0,69949,0.0,102101,51525
