date,season,year,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,租賃成本,租賃成本合計,租賃收入,租賃收入合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,處分不動產、廠房及設備利益,處分投資性不動產利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回
2013-05-09,1,2013,0.0,1300,2155,534,748,1621,0.0,748,-0.14,-0.14,892,0.0,,24,32197,2013年01月01日至2013年03月31日,,-6604,-5856,-6604,-5856,,-10035,3455,101744,140765,39021,39021,49056,24.0,1643,0.0,0.0,0,0,,,15216,-6604,-6580,0.0,,,0.0,408,0.0,1621.0,101744,101744,2713,144230,144230,140765,752
2013-08-02,2,2013,,4400,1861,235,981,1626,8.0,981,-0.45,-0.45,4533,0.0,,14985,29488,2013年04月01日至2013年06月30日,,-20571,-19590,-20571,-19590,,-11839,6253,111318,150114,38796,38796,50635,14985.0,1873,0.0,0.0,0,0,,,19274,-20571,-5586,0.0,,,8.0,0,133.0,1626.0,111318,111318,3653,154385,154385,150114,618
2013-11-08,3,2013,3.0,3408,4133,2670,66,1463,0.0,66,0.01,0.01,3411,0.0,,2424,28641,2013年07月01日至2013年09月30日,,338,404,338,404,,-4779,7541,112606,153794,41188,41188,45967,2424.0,1953,,,0,0,,,15373,338,2762,0.0,,,0.0,0,0.0,1463.0,112606,112606,4297,158710,158710,153794,619
2014-03-18,4,2013,88.0,26289,9238,3585,2737,5653,8.0,2737,-0.37,-0.37,14575,0.0,,21279,105911,2013年01月01日至2013年12月31日,,-18084,-15347,-18084,-15347,0.0,-32324,35519,462411,625078,162667,162667,194991,,7872,,,0,0,,,81208,-18084,3195,0.0,11123.0,0.0,8.0,679,0.0,,462411,462411,14787,642690,642690,625078,2825
2014-05-08,1,2014,,5832,925,75,758,850,,758,0.08,0.08,5241,,,647,31652,2014年01月01日至2014年03月31日,,4206,4964,4206,4964,,-1904,6757,124009,173151,49142,49142,51046,647.0,2238,,,570,570,,,17156,4206,4853,,,,,591,,850.0,124009,124009,3891,178004,178004,172581,1532
2014-08-08,2,2014,,-4774,691,101,-1147,590,0.0,-1147,0.01,0.01,0,4954.0,,620,27645,2014年第2季,,255,-892,255,-892,,4958,-4083,125714,178085,52371,52371,47413,620.0,1842,429.0,429.0,906,906,0.01,0.01,17926,255,875,,,,0.0,180,0.0,590.0,125285,125285,5176,182473,182473,177179,118
2014-11-11,3,2014,0.0,-8632,356,11,-106,345,45.0,-106,-0.3,-0.3,0,8596.0,,596,33208,2014年第3季,,-15944,-16050,-15944,-16050,,-7027,-8321,102961,150809,47848,47848,54875,596.0,1637,387.0,387.0,907,907,,,20030,-15944,-15348,,,,45.0,0,36.0,345.0,102574,102574,1221,152127,152127,149902,1004
2015-03-17,4,2014,0.0,-8508,2510,312,-415,2198,386.0,-415,0.01,0.01,0,9557.0,,829,115433,2014年度,,613,198,613,198,,7826,-6384,480050,684372,204322,204322,196496,,7340,1319.0,1319.0,3289,3289,,,73723,613,1442,,0.0,,386.0,1049,,,478731,478731,14886,700141,700141,681083,4172
2015-05-06,1,2015,,-5775,139,28,-23376,111,277.0,-23376,-0.47,-0.47,-6932,,-23376.0,239,36621,2015年01月01日至2015年03月31日,239.0,-24512,-47888,-24512,-47888,,-18360,-5913,127416,164367,36951,36951,55311,,1746,386.0,386.0,906,906,,,16944,-24512,-24273,,,,277.0,1157,,111.0,127030,127030,2744,166831,166831,163461,626
2015-08-11,2,2015,,2082,68,4,3045,64,337.0,3045,-0.26,-0.26,4504,0.0,3045.0,63,31631,2015年第2季,63.0,-13496,-10451,-13496,-10451,,-15246,1813,119286,155516,36230,36230,51476,,2305,0.0,0.0,907,907,0.0,0.0,17540,-13496,-13433,,,,337.0,0,2422.0,64.0,119286,119286,1602,157309,157309,154609,1098
