date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,手續費支出合計,手續費收入合計,投資損失合計,投資支出（投資公司適用）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列關聯企業及合資之權益工具投資利益(損失),採用權益法認列關聯企業及合資之確定福利計畫再衡量數,採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,採用權益法認列關聯企業及合資之重估增值,推銷費用合計,旅遊服務成本（觀光飯店業適用）合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營建工程成本合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,育樂成本合計,與不重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,運輸成本（海陸運輸業、航空業適用）合計,重估增值,金融資產重分類淨損益,銷貨成本合計,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）,餐旅服務成本合計
2013-05-03,1,2013,,,52396,,0.0,-25648,60900,58731,,25714,2169,,25714,0.5,,-17351,,,27870,,,,,,,,,,,,,,,,,,2013年01月01日至2013年03月31日,248482,274196,,245376,266126,,,,274999,1353,6291935,8868902,2576967,2576967,2301968,,,,,0.5,,,248482,276352,,,,,94,2777,,33899,41416,0,,,,,,3106,8070,
2013-08-06,2,2013,,,29250,0.0,0.0,-29399,76499,73249,0.0,-14738,3250,39808.0,-14738,0.17,0.17,27888,,,-7202,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,0.0,0.0,2013年04月01日至2013年06月30日,86289,71551,,84568,69452,0.0,0.0,0.0,71795,7292,6037036,8602125,2565089,2565089,2493294,0.0,,,0.0,0.17,0.17,2493294.0,86289,79087,0.0,,,,4571,1359,,39808,0,24825,0.0,,0.0,6037036.0,0.0,1721,2099,0.0
2013-11-11,3,2013,,,88608,0.0,0.0,-88157,100733,94300,0.0,-4352,6433,35745.0,-4352,0.27,0.27,0,10700.0,,23582,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,0.0,0.0,2013年07月01日至2013年09月30日,129875,125523,,130193,125702,0.0,0.0,0.0,176626,-23169,6278852,8980296,2701444,2701444,2524818,0.0,,,0.0,0.27,0.27,2524818.0,129875,153457,0.0,,,,1258,882,0.0,35745,11527,0,0.0,,0.0,6278852.0,0.0,-318,-179,0.0
2014-03-25,4,2013,,,160778,0.0,0.0,-123077,231726,211972,,29732,19754,152665.0,27038,1.3,1.3,1553,,,92108,,,,,,,,,0.0,,,,,,,,,2013年01月01日至2013年12月31日,640614,670346,,635139,658927,,,,776738,-44016,24593530,35203864,10610334,10610334,9833596,,,2694.0,,1.3,1.3,,640614,732722,,,,0.0,7838,9950,,152665,34036,0,,,,,,5475,11419,
2014-05-08,1,2014,,,21790,,0,-13904,40568,36946,,8404,3622,38580,8404,0.56,,5160,0,,46001,,,,,,,,,,,,,,,,,,2014年01月01日至2014年03月31日,277395,285799,,271408,279152,,,,335312,-11916,6369070,9052489,2683419,2683419,2348107,,,,,0.56,,,277395,323396,,,,,2141,2460,,38580,2407,0,,,,,,5987,6647,
2014-08-11,2,2014,,,19978,0.0,,-12357,65688,60656,,-13859,5032,45314.0,-13859,0.21,,14600,,,38524,,,,,,,,,,,,,,,,,,2014年第2季,108337,94478,,103147,90387,,,,138844,8017,6356337,8877122,2520785,2520785,2381941,,,,,0.21,,,108337,146861,,,,,80,2200,,45314,0,9099,,,,,,5190,4091,
2014-11-07,3,2014,,,63665,0.0,0.0,-44553,73947,66147,0.0,25929,7800,43101.0,25929,0.3,0.3,0,34409.0,,45422,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,0.0,0.0,2014年第3季,150013,175942,,150390,177519,0.0,0.0,0.0,209142,-13707,6429063,9203372,2774309,2774309,2565167,0.0,,,0.0,0.3,0.3,2565167.0,150013,195435,0.0,,,,1153,2295,0.0,43101,52379,0,0.0,,0.0,6429063.0,0.0,-377,-1577,0.0
2015-03-25,4,2014,,,179914,0.0,0.0,-101411,190746,172754,,37323,17992,188093.0,31036,1.42,1.42,0,248185.0,,167977,,,,,,,,,0.0,,,,,,,,,2014年度,715167,752490,,705731,744221,,,,981902,-98758,25114215,35946241,10832026,10832026,9850124,,,6287.0,,1.42,1.42,,715167,883144,,,,0.0,5038,14472,,188093,317254,0,,,,,,9436,8269,
2015-05-11,1,2015,0.0,0.0,57660,,,-16846,69139,63728,,-62223,5411,41535.0,-62223,0.62,,0,10816.0,-62223.0,79472,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,2015年01月01日至2015年03月31日,309826,247603,0.0,309818,247640,,,,378540,10758,6625965,9655827,3029862,3029862,2651322,,0.0,,,0.62,,,309826,389298,,0.0,0.0,,166,6822,,41535,44974,0,,0.0,,,,8,-37,
2015-08-07,2,2015,0.0,0.0,62989,0.0,,-29323,79707,75096,,3774,4611,45787.0,3774,0.22,,284347,,3774.0,56422,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,2015年第2季,109952,113726,0.0,109944,114495,,,,161777,4597,6255533,8967518,2711985,2711985,2550208,,0.0,,,0.22,,,109952,166374,,0.0,0.0,,812,10322,,45787,0,260191,,0.0,,,,8,-769,
