date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,9879,16850,10833,118127,125662,-0.25,,,-44237,2989,139301,2013年01月01日至2013年03月31日,,-216150,-98023,-92138,425,-202672,-57715,2482920,2719755,236835,236835,439507,0.0,63147,,,-0.25,237059,-216150,-260387,,17414.0,,88387,-124012,-98448
2013-08-13,2,2013,,23457,-5454,35311,101651,93469,-0.21,,,-2202,-2578,153870,2013年04月01日至2013年06月30日,,-172747,-71096,-75447,8653,-107661,-67288,3105224,3491173,385949,385949,493610,0.0,68792,,,,270948,-172747,-174949,,15275.0,,94567,-97300,-79749
2013-11-11,3,2013,,3136,-36379,29869,-8098,-21720,0.04,,,-3457,-3359,158078,2013年07月01日至2013年09月30日,,-63082,-71180,13773,5233,49240,-115779,3255862,3761719,505857,505857,456617,0.0,67234,,,,231305,-63082,-66539,,-10486.0,,105910,-76855,-76413
2014-03-25,4,2013,,71571,-354554,131300,322427,308701,-0.73,0.0,,-18237,-3766,644564,2013年01月01日至2013年12月31日,0.0,-781000,-458573,-268341,-10807,-170058,-629179,11989802,13719574,1729772,1729772,1899830,0.0,261360,,-11870.0,,993906,-781000,-799237,,45975.0,,402159,-512659,-447766
2014-05-14,1,2014,,30506,-8002,25696,10784,-22009,0.2,,,38089,1201,151147,2014年01月01日至2014年03月31日,,9245,20029,72348,90739,149623,-102289,3136049,3787359,651310,651310,501687,,83791,,,0.18,266749,9245,47334,,-2287.0,,121184,-63103,-70710
2014-08-13,2,2014,,-21367,-156989,23681,-100252,-92867,0.04,,,68033,-491,191674,2014年第2季,,44536,-55716,16539,-69113,369069,-256500,3903379,4828860,925481,925481,556412,,110709,,,0.04,254029,44536,112569,,-13982.0,,122701,27997,13397
2014-11-13,3,2014,,-6578,3840,28096,38303,54186,0.25,,,84536,258,200324,2014年第3季,,76181,114484,93933,124508,249971,-89254,3588109,4427178,839069,839069,589098,,113302,,,0.23,275472,76181,160717,,9305.0,,121448,-17752,-10024
2015-03-23,4,2014,,-8793,-340700,133625,13741,24959,0.28,,,270922,-1957,700031,2014年度,,-10002,3739,107118,132180,937090,-676170,14172908,17330551,3157643,3157643,2220553,,438318,,6963.0,0.28,1082204,-10002,260920,,9388.0,,467138,-117120,-128441
2015-05-11,1,2015,,-14643,-19151,10892,-160652,-171469,0.18,,-160652.0,67415,0,165811,2015年01月01日至2015年03月31日,,-5671,-166323,67782,-46607,170177,-108433,3134607,3849392,714785,714785,544608,,133229,,,0.17,245568,-5671,61744,,,-25460.0,100174,-73453,-119716
2015-08-12,2,2015,,-12936,-20401,25875,-95736,-93346,0.2,,-95736.0,58018,0,189313,2015年第2季,,60760,-34976,77451,27964,214112,-95334,3681716,4486905,805189,805189,591077,,150924,,,0.18,250840,60760,118778,,,-10546.0,100808,-16691,-62940
2015-11-10,3,2015,,-58990,-185790,376147,222927,312815,0.49,,222927.0,157329,-244,168034,2015年第3季,,152944,375871,190843,305885,192325,117948,2551905,3221549,669644,669644,477319,,112461,,,0.48,196824,152944,310273,,,30898.0,72165,-37899,69986
2016-03-25,4,2015,-24423.0,131490,-412681,634011,-31200,-160382,1.2,,-6777.0,340177,-3021,766291,2015年度,,370627,339427,459083,329662,783271,-72467,11975722,14985061,3009339,3009339,2226068,,502810,-29540.0,,1.15,956967,370627,710804,-5117.0,,-22115.0,290776,-88456,9765
2016-05-12,1,2016,,3810,-20288,151321,-1681,-15051,0.5,,-1681.0,82853,-2015,168984,2016年01月01日至2016年03月31日,,226062,224381,178118,172092,239576,69339,2445361,3165789,720428,720428,480852,,102854,,,0.48,209014,226062,308915,,,-9560.0,59679,47944,52289
2016-08-11,2,2016,,590839,-12122,118618,450820,-161609,0.37,,450820.0,49883,-1981,161338,2016年第2季,,160861,611681,135277,233486,162290,48454,2755375,3385700,630325,630325,468035,,111848,,,0.37,194849,160861,210744,,,-21590.0,56061,25584,378195
2016-11-11,3,2016,,-352967,-20903,101549,-519481,-199384,0.4,,-519481.0,48205,-3764,143121,2016年第3季,,187185,-332296,143797,-155683,210160,25230,2452921,3082079,629158,629158,418998,,105100,,,0.39,170777,187185,235390,,,-32870.0,51652,43388,-176613
