date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之權益工具投資利益(損失),推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,金融資產減損損失,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,-29,-11396,14106,1460,140164,12646,2646,140193,0.91,0,11849.0,,80036,,,,2047,,50086,2013年01月01日至2013年03月31日,130527,270691,130527,270691,,,208452,2111,1514552,1955547,440995,440995,232543,24485,,,0.87,157972,130527,210563,,,2646,453,,0,0
2013-08-09,2,2013,,,-359,-26156,14465,10021,91502,4444,2667,91861,1.08,0,24593.0,,87292,,,,1463,,62277,2013年04月01日至2013年06月30日,162198,253700,162198,253700,0.0,,262385,-12895,1901049,2415307,514258,514258,251873,25262,,,1.07,164334,162198,249490,,,2667,-1563,,0,0
2013-11-13,3,2013,,4666.0,-499,-23279,22525,0,-50172,22525,1193,-49673,1.41,0,18349.0,,81431,,,,5202,,65312,2013年07月01日至2013年09月30日,209736,159564,209736,159564,0.0,0.0,287912,3255,1971876,2526616,554740,554740,266828,26981,,,1.39,174535,209736,291167,,,1193,-264,,0,0
2014-03-28,4,2013,,0.0,-1267,-69668,59872,16474,258076,43398,6492,258764,4.43,0,68294.0,,331534,,,,12929,,241821,2013年01月01日至2013年12月31日,654915,912991,654915,912991,0.0,0.0,989808,-3359,7071990,9071513,1999523,1999523,1009715,100412,,697.0,4.33,667482,654915,986449,118.0,,6492,-1374,0.0,0,0
2014-05-13,1,2014,,,1189,-2262,14780,4452,75561,10328,2774,74372,0.84,0,2262.0,,64618,,,,1607,,57244,2014年01月01日至2014年03月31日,125972,201533,125972,201533,,,179239,11351,1562168,1980348,418180,418180,238941,21354,,,0.83,160343,125972,190590,,,2774,0,,0,0
2014-08-12,2,2014,,,-346,-3860,25857,6029,-108481,19828,2088,-108135,1.58,5322,0.0,,115689,,,,3141,,61089,2014年第2季,237463,128982,237463,128982,9182.0,,330102,23050,2057428,2659881,602453,602453,272351,25104,,,1.57,186158,237463,353152,,,2088,0,9182.0,0,0
2014-11-07,3,2014,,3909.0,-372,-10200,16968,0,94908,16968,7201,95280,1.6,0,1235.0,,106851,,4202.0,0.0,4202,,62867,2014年第3季,239879,334787,239879,334787,6435.0,0.0,342961,3769,2133821,2764711,630890,630890,287929,28934,,,1.59,196128,239879,346730,,,7201,1379,6435.0,0,0
2015-03-20,4,2014,,0.0,74,-24411,69773,5219,311267,64554,17505,310090,5.71,0,6218.0,,388122,,,,16193,,261942,2014年度,855859,1167126,855859,1167126,18971.0,0.0,1199931,44050,7764518,10062566,2298048,2298048,1098117,106362,,1329.0,5.63,729813,855859,1243981,226.0,,17505,778,18971.0,0,0
2015-05-13,1,2015,,,1113,12712,19183,3734,-83303,15449,3707,-84416,1.06,12280,0.0,-83303.0,86044,,,,1529,,65664,2015年01月01日至2015年03月31日,158984,75681,158984,75681,,,215311,29717,1672665,2161047,488382,488382,273071,28626,,,1.03,178781,158984,245028,,,3707,432,,0,0
2015-08-11,2,2015,,,-358,256,24400,3008,-59113,21392,5529,-58755,1.16,3625,0.0,-59113.0,92640,,,,2033,,73228,2015年第2季,173581,114468,173581,114468,3710.0,,245061,21160,1850098,2351950,501852,501852,256791,27455,,,1.08,156108,173581,266221,,,5529,341,3710.0,0,0
