date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,勞務成本合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,工程成本,工程收入淨額,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銀行存款利息,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,0,16588,6870,,29904,,817.0,24151,36663,29904,0.89,2696533,3038372,,48315,,,8333,8333,,8359,2013年01月01日至2013年03月31日,214370,244274,212725,242629,2696533,3038372,231711,30974,2720684,3075035,354351,354351,122640,14494,,,0.89,99787,214370,262685,,,,817,,1645,1645
2013-08-12,2,2013,,10529,12485,11717,,18654,,,23454,33212,7011,1.36,2682331,3190137,,70655,,1114.0,11889,11889,,13623,2013年04月01日至2013年06月30日,323111,341765,322282,340936,2682331,3190137,358082,35684,2705785,3223349,517564,517564,159482,14584,,,1.35,131275,323111,393766,,,,407,,829,829
2013-11-13,3,2013,,15869,9815,194302,,6908,,,28110,51149,-6703,1.51,2053550,2421369,,73032,,-2258.0,10105,10105,,13694,2013年07月01日至2013年09月30日,360842,367750,358804,365712,2053550,2421369,219988,213886,2081660,2472518,390858,390858,170870,18135,,,1.49,139041,360842,433874,,,,336,,2038,2038
2014-03-26,4,2013,,15083,42974,229168,,23953,,,160698,168870,32542,4.73,9556362,11276145,,268245,,12550.0,46379,46379,,50179,2013年01月01日至2013年12月31日,1134184,1158137,1123228,1147181,9556362,11276145,1091663,310766,9717060,11445015,1727955,1727955,636292,62083,,-35153.0,4.67,524030,1134184,1402429,,1069.0,,7755,,10956,10956
2014-05-14,1,2014,,20295,4888,20359,,23649,,0.0,32503,61325,3451,0.78,1034110,1327941,,36698,,-97.0,14744,14744,,21776,2014年01月01日至2014年03月31日,195821,219470,184950,208599,1034110,1327941,192528,39991,1066613,1389266,322653,322653,130125,13532,,,0.78,94817,195821,232519,,,,0,,10871,10871
2014-08-13,2,2014,,31456,19908,213154,,14464,,,31664,43820,-13786,1.27,815973,1097086,,66170,,-3206.0,15510,15510,,15667,2014年第2季,306972,321436,302033,316497,815973,1097086,124570,248572,847637,1140906,293269,293269,168699,13294,,,1.27,139738,306972,373142,,,,0,,4939,4939
2014-11-12,3,2014,,-10018,24590,2625,,8647,,,43045,60977,13530,0.6,1260457,1529023,,48885,,5135.0,22972,22972,,14328,2014年第3季,145015,153662,141671,150318,1260457,1529023,143713,50187,1303502,1590000,286498,286498,142785,14682,,,0.59,113775,145015,193900,,,,0,,3344,3344
2015-03-30,4,2014,,60639,126964,235385,,53542,,,154354,218203,25210,3.14,5542308,6731304,,313415,,5193.0,75647,75647,,62571,2014年度,771617,825159,744688,798230,5542308,6731304,651723,433309,5696662,6949507,1252845,1252845,601122,56090,,-38480.0,3.11,482461,771617,1085032,,-980.0,,4687,,26929,26929
2015-05-13,1,2015,,21986,3608,3602,,8376,,,37687,48459,-11148,0.81,2098728,2478986,8376.0,60646,,,20148,20148,-2462.0,5139,2015年01月01日至2015年03月31日,214201,222577,192531,201128,2098728,2478986,249076,25771,2136415,2527445,391030,391030,141954,12946,,,0.81,123869,214201,274847,,,,1587,,21670,21449
2015-08-13,2,2015,,-33531,-14392,313027,,-45486,,,47971,58437,-9175,1.84,2855634,3193160,-45486.0,104238,,,21201,21201,-2780.0,8176,2015年第2季,441308,395822,436459,391361,2855634,3193160,227228,318318,2903605,3251597,347992,347992,120764,12606,,,1.83,99982,441308,545546,,,,1518,,4849,4461
2015-11-13,3,2015,,-15676,151583,5267,,146261,,,42493,58980,153245,1.81,2671832,3133634,146261.0,82103,,,11987,11987,8692.0,15410,2015年第3季,434318,580579,429469,576669,2671832,3133634,349171,167250,2714325,3192614,478289,478289,129118,11218,,,1.79,102490,434318,516421,,,,1587,,4849,3910
2016-03-23,4,2015,4385.0,-7255,45492,414114,344044.0,-10203,70070.0,,173597,238976,-8336,5.24,10502192,12179581,-14588.0,339102,137.0,,67690,67690,-499.0,38562,2015年度,1280670,1270467,1244647,1234444,10502192,12179581,1098757,521015,10675789,12418557,1742768,1742768,644011,49861,5118.0,,5.13,555588,1280670,1619772,870.0,,-1502.0,6281,70070.0,36023,36023
2016-05-10,1,2016,,-3581,-51813,18172,4228.0,-9695,13944.0,,36546,60021,-2891,1.37,3372560,3985247,-9695.0,91326,,,3650,3650,-3223.0,11590,2016年01月01日至2016年03月31日,333660,323965,325112,315417,3372560,3985247,456564,-31578,3409106,4045268,636162,636162,179598,10769,,,1.36,157239,333660,424986,,,,1587,,8548,8548
2016-08-12,2,2016,,-6593,-13135,23874,7743.0,-26562,16131.0,,33007,58017,-15605,1.65,3616823,4169162,-26562.0,74023,,,23974,23974,-4364.0,9957,2016年第2季,397013,370451,393589,367027,3616823,4169162,437841,33195,3649830,4227179,577349,577349,139508,11664,,,1.64,117887,397013,471036,,,,1518,,3424,3424
2016-11-11,3,2016,,-5969,-133135,262709,248689.0,-39169,14020.0,,45455,65288,-26584,1.77,2631601,3137117,-39169.0,81047,,,7659,7659,-6616.0,4105,2016年第3季,422238,383069,420878,381709,2631601,3137117,367639,135646,2677056,3202405,525349,525349,157710,10968,,,1.76,142637,422238,503285,,,,1587,,1360,1360
