date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-15,1,2013,,25189,128151,89659,182603,157414,0.97,0.97,,69765,165,1015612,2013年01月01日至2013年03月31日,607606,790209,607036,789639,460646,216725,10124792,12393598,2268806,2268806,1808160,434247,,,0.95,0.95,358301,607606,677371,,,1250,570,570
2013-08-14,2,2013,,-6815,119915,121823,81690,88505,0.73,0.73,,139492,-580,934859,2013年04月01日至2013年06月30日,455224,536914,454142,535832,357622,237094,9397142,11551305,2154163,2154163,1796541,474263,,,0.72,0.72,387419,455224,594716,,,4064,1082,1082
2013-11-14,3,2013,,-8459,89687,170451,-65032,-56573,1.43,1.43,,77763,5511,1104155,2013年07月01日至2013年09月30日,896241,831209,895775,830743,717070,256934,11226597,14095169,2868572,2868572,2151502,597478,,,1.41,1.41,449869,896241,974004,,,8715,466,466
2014-03-18,4,2013,,114905,499123,468874,426835,300038,3.76,3.76,,372877,-13701,3775899,2013年01月01日至2013年12月31日,2359480,2786315,2355536,2782371,1804169,928188,41969788,51118994,9149206,9149206,7345037,1963294,,14328.0,3.69,3.69,1605844,2359480,2732357,,2436.0,26108,3944,3944
2014-05-15,1,2014,,-17150,11429,193161,-46800,-29650,1.16,1.16,,147749,-7605,1376220,2014年01月01日至2014年03月31日,725268,678468,724838,678038,684633,188384,12258482,15293131,3034649,3034649,2350016,551023,,,1.13,1.13,422773,725268,873017,,,8601,430,430
2014-08-14,2,2014,,22704,40395,209348,-77183,-99887,0.79,0.79,,149644,-1526,857614,2014年第2季,493566,416383,493146,415963,403379,239831,10278843,12468181,2189338,2189338,1785959,490879,,,0.79,0.79,437466,493566,643210,,,8386,420,420
2014-11-14,3,2014,,-44536,87950,207307,95299,139835,1.09,1.09,,114748,10218,853008,2014年第3季,684211,779510,683907,779206,494220,304739,11452152,13725410,2273258,2273258,1779038,470898,,,1.07,1.07,455132,684211,798959,,,736,304,304
2015-03-16,4,2014,,-38070,355324,793316,177076,206937,3.82,3.82,,544541,8648,4184633,2014年度,2399805,2576881,2397101,2574177,1805536,1138810,45073304,54541687,9468383,9468383,7662847,1815605,,9889.0,3.74,3.74,1662609,2399805,2944346,,1680.0,18478,2704,2704
2015-05-15,1,2015,,-15570,-25351,243875,-88157,-72587,0.67,0.67,-88157.0,135409,-8354,1227762,2015年01月01日至2015年03月31日,424271,336114,423868,335711,349892,209788,10416470,12906752,2490282,2490282,2140390,387444,,,0.66,0.66,525184,424271,559680,,,382,403,403
2015-08-14,2,2015,,-41591,-64140,396219,-107880,-66289,0.57,0.57,-107880.0,140216,-15634,1059615,2015年第2季,355589,247709,355562,247682,179641,316164,9820096,11696777,1876681,1876681,1697040,382569,,,0.56,0.56,254856,355589,495805,,,281,27,27
2015-11-13,3,2015,,-36123,117850,231885,212696,248819,1.3,1.3,212696.0,166265,-8182,1141896,2015年第3季,817615,1030311,817678,1030374,642677,341203,11323811,14003491,2679680,2679680,2037003,435278,,,1.28,1.28,459829,817615,983880,,,350,-63,-63
2016-03-15,4,2015,-65256.0,-92895,107964,1377670,-254090,-95939,3.05,3.05,-188834.0,748959,-64275,4234988,2015年度,1922700,1668610,1920065,1665975,1251738,1419921,42067380,50828792,8761412,8761412,7509674,1646777,-78621.0,,3.0,3.0,1627909,1922700,2671659,-13365.0,,1438,2635,2635
2016-05-13,1,2016,,9564,61244,285177,-36312,-45876,0.86,0.86,-36312.0,260561,-7597,1101661,2016年01月01日至2016年03月31日,542265,505953,542108,505796,564315,238511,10641426,13091169,2449743,2449743,1885428,426673,,,0.84,0.84,357094,542265,802826,,,100313,157,157
2016-08-12,2,2016,,25202,8382,134118,-82774,-107976,0.68,0.68,-82774.0,59749,-19278,1034853,2016年第2季,427076,344302,425823,343049,362631,124194,9918073,12021125,2103052,2103052,1740421,381708,,,0.67,0.67,323860,427076,486825,,,-972,1253,1253
2016-11-14,3,2016,,40289,-16991,478755,-179815,-220104,1.29,1.29,-179815.0,240999,-25467,1173172,2016年第3季,812598,632783,813108,633293,615956,437641,12219983,14880194,2660211,2660211,2044255,424179,,,1.27,1.27,446904,812598,1053597,,,-1344,-510,-510
