date,season,year,不重分類至損益之項目總額,什項支出,停業單位損益合計,停業單位淨利（淨損）,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,壞帳轉回利益,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分無形資產利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,金融資產重分類淨損益,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,577.0,0.0,,,,26138,13851,8425,0.0,0.0,,8860,3030,4856,8860,-0.04,,2396.0,26933.0,0.0,,3819,,,2013年01月01日至2013年03月31日,-4189,4671,-4189,4671,-35503,35133,434252,474340,40088,40088,75591,15755,,,-0.04,,59836,-4189,-370,,,,218.0,,4856,0.0,,,434252.0,20,474885,474340,525,,0.0,0.0
2013-08-12,2,2013,,564.0,0.0,,,,11347,3571,878,,,,1941,2693,4612,1941,-0.27,,0.0,12148.0,0.0,,-16826,,,2013年04月01日至2013年06月30日,-26734,-24793,-26734,-24793,-53866,10306,365972,370471,4499,4499,58365,13289,,,-0.27,,45076,-26734,-43560,,,,237.0,,4612,0.0,,,,29,370658,370471,158,,,
2013-11-12,3,2013,,27.0,,,,,-9812,4727,2259,,,,-6085,2468,4423,-6085,-0.48,,0.0,-9876.0,,,1198,,,2013年07月01日至2013年09月30日,-47872,-53957,-47872,-53957,-37166,-9508,596741,621223,24482,24482,61648,12892,,,-0.48,,48756,-47872,-46674,,,91.0,,,4423,0.0,,,,231,622780,621223,1326,,,
2014-03-27,4,2013,,583.0,,,,,42944,25757,12186,,,,7096,11796,18628,6815,-1.2,-1.2,1775.0,43956.0,0.0,,-6863,,,2013年01月01日至2013年12月31日,-119559,-112463,-119559,-112463,-176495,50073,1888006,1963541,75535,75535,252030,56428,,281.0,-1.2,-1.2,195602,-119559,-126422,,,0.0,429.0,,18628,0.0,,,1888006.0,45245,2011070,1963541,2284,,,
2014-05-15,1,2014,,0.0,,0.0,,,-15161,6625,774,,,-2251.0,10989,5214,4956,13240,-0.57,-0.57,637.0,-14985.0,,,-9342,,,2014年01月01日至2014年03月31日,-57383,-46394,-57383,-46394,-53233,-13492,309973,314653,4680,4680,57913,12415,,,-0.57,-0.57,45498,-57383,-66725,,,-176.0,,,4956,,,,309973.0,805,317824,314653,2366,,,
2014-08-13,2,2014,,12.0,,,,,-23781,5781,783,,,1428.0,-6973,4998,4874,-8401,-0.55,,0.0,-20270.0,,,13460,,,2014年第2季,-54320,-61293,-54320,-61293,-17986,-22874,510933,555751,44818,44818,62804,11364,,,-0.55,,51440,-54320,-40860,,,-3499.0,,,4874,,,,510933.0,2607,559177,555751,819,,,
2014-11-14,3,2014,,0.0,,,0.0,0.0,29523,11898,6328,,,-1004.0,4902,5570,4356,5906,0.31,,0.0,29324.0,,,4160,,0.0,2014年第3季,31357,36259,31357,36259,-1548,37065,473249,522254,49005,49005,50553,9321,,,0.31,,41232,31357,35517,,,199.0,,,4356,,,0.0,,1113,533353,522254,9986,0.0,0.0,0.0
2015-03-27,4,2014,,312.0,,,0.0,0.0,6427,44413,22211,,,,24991,21382,18820,30698,-0.33,,820.0,10282.0,,,16650,,,2014年度,-33383,-8392,-33383,-8392,-48753,32020,1733903,1904671,170768,170768,219521,43907,,-489.0,-0.33,,175614,-33383,-16733,5218.0,,-3543.0,,,18820,,,,,5049,1924474,1904671,14754,,0.0,0.0
2015-05-11,1,2015,-5270.0,,,,0.0,0.0,-8890,7008,1135,,,,-4374,5873,4685,896,-0.16,,0.0,-8890.0,,896.0,-3650,-5270.0,,2015年01月01日至2015年03月31日,-15792,-20166,-15792,-20166,-12875,-6567,309055,350061,41006,41006,53881,12387,,,-0.16,,41494,-15792,-19442,,,0.0,,,4685,,,,,1685,353237,350061,1491,,0.0,0.0
2015-08-13,2,2015,,0.0,,,0.0,0.0,-12586,13063,6602,,,,-5524,5496,4597,-6655,0.11,,965.0,-12759.0,,-5524.0,-1,,,2015年第2季,11027,5503,11027,5503,15146,-4120,372725,436759,64034,64034,48888,10520,,,0.11,,38368,11027,11026,,-1131.0,-3.0,,,4597,176.0,,,,4359,441335,436759,217,,0.0,0.0
