date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-02,1,2013,,519,10632,6261,,,,9174,8655,2.44,2.44,,64074,154991,2013年01月01日至2013年03月31日,361927,371101,363087,372222,409263,16738,1647589,2688883,1041294,1041294,632031,364004,,,2.4,2.4,113036,361927,426001,,,155,-1160,-1121
2013-08-09,2,2013,,-712,5708,7141,,,,2795,3507,2.36,2.36,,86729,161596,2013年04月01日至2013年06月30日,346767,349562,349630,352416,420809,12687,1702767,2792480,1089713,1089713,668904,384918,,,2.3,2.3,122390,346767,433496,,,162,-2863,-2854
2013-11-11,3,2013,,-793,-1187,8208,,,,-5275,-4482,2.32,2.32,,64980,172214,2013年07月01日至2013年09月30日,341320,336045,344536,339282,399473,6827,1693386,2755055,1061669,1061669,662196,391239,,,2.29,2.29,98743,341320,406300,,,194,-3216,-3237
2014-03-24,4,2013,,104,18592,29012,83997.0,83997.0,391.0,10663,12470,9.25,9.25,,268393,669151,2013年01月01日至2013年12月31日,1364016,1374679,1373687,1384310,1585563,46846,6596242,10728649,4132407,4132407,2630841,1537504,,-2302.0,9.03,9.03,424186,1364016,1632409,,,758,-9671,-9631
2014-04-30,1,2014,,4141,17388,6928,-82.0,-82.0,,13644,9503,2.3,2.3,,64884,154628,2014年01月01日至2014年03月31日,340039,353683,342157,355767,380826,24097,1717872,2758129,1040257,1040257,659349,409749,,,2.27,2.27,94972,340039,404923,,,219,-2118,-2084
2014-08-06,2,2014,,24404,1814,7357,-325.0,-325.0,,14991,-9413,2.37,2.37,,66580,174597,2014年第2季,349205,364196,351284,366306,406749,9036,1857472,2961256,1103784,1103784,696710,438542,,,2.33,2.33,83571,349205,415785,,,135,-2079,-2110
2014-11-07,3,2014,,-14855,39094,6426,,0.0,,-6176,8679,2.77,2.77,,81239,164291,2014年第3季,409729,403553,411662,405457,445586,45382,2010669,3147222,1136553,1136553,690967,449508,,,2.74,2.74,77168,409729,490968,,,138,-1933,-1904
2015-03-18,4,2014,,49108,56644,29677,100813.0,100813.0,-2056.0,88466,29321,10.09,10.09,,307567,658697,2014年度,1490114,1578580,1498907,1587281,1712009,85672,7549068,11930118,4381050,4381050,2769854,1749620,,12093.0,9.89,9.89,361537,1490114,1797681,,,649,-8793,-8701
2015-05-08,1,2015,,533,-2175,7836,-83.0,-83.0,,-9317,-9850,2.55,2.55,-9317.0,92275,160679,2015年01月01日至2015年03月31日,376975,367658,378676,369377,463770,5480,2004676,3169474,1164798,1164798,700945,459920,,,2.5,2.5,80346,376975,469250,,,181,-1701,-1719
2015-08-10,2,2015,,-1539,20712,8305,-38.0,-38.0,,-6300,-4761,2.45,2.45,-6300.0,73911,159913,2015年第2季,361585,355285,363177,355898,406718,28778,1985014,3122404,1137390,1137390,730634,485529,,,2.4,2.4,85192,361585,435496,,,239,-1592,-613
2015-11-09,3,2015,,-1208,35434,9007,21.0,21.0,,30848,32056,2.93,2.93,30848.0,83612,158816,2015年第3季,433061,463909,434585,460163,472426,44247,2063190,3319444,1256254,1256254,783849,538344,,,2.9,2.9,86689,433061,516673,,,194,-1524,3746
2016-03-03,4,2015,-16460.0,114099,34378,58877,,-707.0,,102067,18120,9.92,,118527.0,311222,624675,2015年度,1467905,1569972,1473879,1574874,1686710,92417,7920485,12602156,4681671,4681671,2994254,2009263,-19832.0,,9.75,,360316,1467905,1779127,-3372.0,13692.0,838,-5974,-4902
