date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益,其他收益及費損淨額,其他營業成本,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,壞帳轉回利益,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回
2013-08-08,2,2013,,,329,38,2318,1713,,3,,,,7830,605,1195,9434,1.15,1.15,,367,0,,19212,,,73405,2013年01月01日至2013年06月30日,74438,82268,,74438,82268,92489,1161,548440,776812,228372,228372,135886,3028,,,1.15,1.15,59453,74438,93650,,1604,,,1195,,,15122,800402,776812,8468
2013-11-08,3,2013,,,2223,-2610,410,355,,0,1314,280,,-3820,55,600,-4603,0.57,0.57,,-367,20,,19826,,,45005,2013年07月01日至2013年09月30日,36463,32643,,36463,32643,59089,-2800,298873,442206,143333,143333,84244,1882,,,0.56,0.56,37357,36463,56289,,-783,,,600,,297559,8359,454326,441926,4041
2014-03-27,4,2013,,,2936,-1711,8063,7142,-20,-20,,,-1620,7908,921,2409,10434,2.54,2.54,0,1225,0,,59773,,,175130,2013年01月01日至2013年12月31日,165530,173438,,165530,173438,221360,3943,1201341,1736983,535642,535642,314262,6718,,-906,2.53,2.53,132414,165530,225303,,,,,2409,,,36676,1788338,1736983,14679
2014-05-05,1,2014,,,7,1551,599,427,,,,,,12318,172,420,14841,0.43,0.43,,1558,,,6878,,,44815,2014年01月01日至2014年03月31日,31092,43410,,31092,43410,36240,1730,273457,390448,116991,116991,80751,3275,,,0.43,0.43,32661,31092,37970,,2523,,,420,,,8241,402523,390448,3834
2014-08-05,2,2014,,,1017,-3182,1539,1241,,0,,,,-17612,298,613,-21219,0.56,0.56,,-1558,607,,15538,,,48060,2014年第2季,40424,22812,,40424,22812,58218,-2256,344501,490033,145532,145532,87314,3785,,,0.56,0.56,35469,40424,55962,,-3607,,,613,,,7485,500394,490033,2876
2014-11-04,3,2014,,,701,473,278,218,,0,,,,14514,60,605,17486,0.76,0.76,,567,-607,,16870,,,50309,2014年第3季,54932,69446,,54932,69446,71656,146,351516,505765,154249,154249,82593,4251,,,0.76,0.76,28033,54932,71802,,2972,,,605,,,10622,520729,505765,4342
2015-03-18,4,2014,,,3222,-1405,4635,3836,-23,-23,25679,5463,-6963,32035,799,2104,40956,2.51,2.51,,1817,,,58272,,,202089,2014年度,182105,214140,,182105,214140,239251,1126,1362394,1948053,585659,585659,346385,16965,,-1958,2.50,2.50,127331,182105,240377,,,,,2104,,1336715,37674,1994365,1942590,14101
2015-05-05,1,2015,0,0,312,-1001,726,595,,-133,7010,2416,,-14360,131,422,-17301,0.58,0.58,,0,689,-14360,13706,0,0,54804,2015年01月01日至2015年03月31日,41902,27542,0,41902,27542,56305,-697,337776,483441,145665,145665,89227,3941,0,,0.58,0.58,30482,41902,55608,0,,-2941,0,422,0,330766,9881,494501,481025,3595
2015-08-05,2,2015,,,16,-209,496,138,,-94,6914,2127,,-19326,358,511,-23284,0.65,0.65,,0,193,-19326,23560,,,58996,2015年第2季,46913,27587,,46913,27587,70697,-224,367849,534829,166980,166980,96189,4126,,,0.64,0.64,33067,46913,70473,,,-3958,,511,,360935,9867,545228,532702,2659
2015-11-05,3,2015,,,199,3222,374,231,,317,8223,2344,,26688,143,421,32154,0.97,0.97,,2539,-882,26688,25155,,,49581,2015年第3季,70258,96946,,70258,96946,92238,3175,362255,542509,180254,180254,88333,4595,,,0.97,0.97,34157,70258,95413,,,5466,,421,,354032,9031,551813,540165,2617
