date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,重估增值,金融資產減損損失,銷貨成本,銷貨成本合計,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,0,0.0,-4805,16766,32050,743,913,33975,31307,15397.0,38780,0.14,0.0,18535.0,,8943,,,56744,2013年01月01日至2013年03月31日,38554,72529,,38554,72529,,14078,33419,2264421,2507249,242828,242828,229663,128082,,,0.14,44837,38554,47497,,,0.0,,,143,,,15397,35158,0.0,,,2264421.0,2264421,2507249.0,2507249,0.0,0.0
2013-08-12,2,2013,,,583,0.0,4805,20470,39939,3584,1113,29160,36355,15428.0,24355,0.2,16520.0,0.0,,8756,,,65190,2013年04月01日至2013年06月30日,54233,83393,,54233,83393,,18008,44981,2334164,2597193,263029,263029,246134,133164,,,0.2,47780,54233,62989,,,0.0,,,6244,,,15428,0,1711.0,,,2334164.0,2334164,2597193.0,2597193,0.0,0.0
2013-11-11,3,2013,,,9,,-12700,1411,47415,13816,472,-28869,33599,12281.0,-16169,-0.04,8579.0,0.0,,-2450,,,63899,2013年07月01日至2013年09月30日,-11562,-40431,,-11562,-40431,,-50557,36545,1817129,2006230,189101,189101,240130,127938,,,-0.04,48293,-11562,-14012,,,0.0,,,12,,,12281,0,7171.0,,,1817129.0,1817129,2006230.0,2006230,0.0,0.0
2014-03-21,4,2013,,,601,0.0,-2060,80999,159351,21471,23304,83833,137880,,73940,0.39,32183.0,,,21386,,,242310,2013年01月01日至2013年12月31日,104430,188263,,104430,188263,,-56864,182680,8012269,8859867,847598,847598,927766,509458,,13067.0,0.39,175998,104430,125816,,,1114.0,,,6778,,,57670,42639,0.0,,,,8012269,,8859867,,
2014-05-13,1,2014,,,26,0.0,24715,-53832,84746,40284,4750,18516,44462,18920.0,-6199,-0.31,0.0,54424.0,,-7086,,,52242,2014年01月01日至2014年03月31日,-84274,-65758,,-84274,-65758,,-103354,11994,1371862,1480873,109011,109011,217115,119382,,,-0.31,45491,-84274,-91360,,,0.0,,,30,,,18920,588,0.0,,,1371862.0,1371862,1480873.0,1480873,0.0,0.0
2014-08-08,2,2014,,,441,0.0,-12701,-12007,45347,502,1431,-36547,44845,16776.0,-23846,-0.34,3645.0,0.0,,7086,,,50592,2014年第2季,-91624,-128171,,-91624,-128171,,-101102,16564,1200812,1309613,108801,108801,211334,119510,,,-0.34,41232,-91624,-84538,,,0.0,,,0,,,16776,0,15211.0,,,1200812.0,1200812,1309613.0,1309613,0.0,0.0
2014-11-07,3,2014,,,5,,-8835,30405,57900,7414,1373,27247,50486,21300.0,36082,-0.05,16483.0,0.0,,0,,,47881,2014年第3季,-14652,12595,,-14652,12595,,-81657,67005,1074170,1191818,117648,117648,200678,116654,,,-0.05,36143,-14652,-14652,,,0.0,,,0,187.0,,21300,14114,0.0,,,1074170.0,1074170,1191818.0,1191818,0.0,0.0
2015-03-20,4,2014,,,595,0.0,6330,-9387,234705,50478,7259,55282,184227,,45734,-0.9,0.0,56126.0,,-4573,,,205121,2014年度,-242243,-186961,,-242243,-186961,,-398983,152167,4700717,5134566,433849,433849,840091,472895,,3218.0,-0.9,162075,-242243,-246816,,,0.0,,,13846,,,73151,33488,,,,,4700717,,5134566,,
2015-05-12,1,2015,0.0,0.0,2,0.0,-11904,-7965,42017,5244,3512,-24397,36773,16029.0,-12493,-0.29,1037.0,0.0,-24397.0,0,0.0,0.0,50729,2015年01月01日至2015年03月31日,-78509,-102906,0.0,-78509,-102906,,-96532,18023,952308,1053257,100949,100949,200993,111346,0.0,,-0.29,38918,-78509,-78509,,0.0,,,0.0,0,,1025.0,16029,0,7975.0,0.0,,952308.0,952308,1053257.0,1053257,0.0,0.0
2015-08-11,2,2015,,,17,0.0,-28010,-1454,33044,1791,1918,-46343,31253,10714.0,-18333,-0.11,519.0,0.0,-46343.0,-2799,,,48432,2015年第2季,-30441,-76784,,-30441,-76784,,-54116,20876,1056496,1191991,135495,135495,191529,105839,,,-0.11,37258,-30441,-33240,,,,0.0,,1755,,0.0,10714,0,3711.0,,,1056496.0,1056496,1191991.0,1191991,0.0,0.0
