date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回
2013-05-03,1,2013,,8876,12641,383,15517,383,9011,0.44,0.44,,5759,70950,2013年01月01日至2013年03月31日,35299,50816,35299,50816,32067,8991,1022078,1153518,131440,131440,99373,8139,,,0.44,0.44,20284,35299,41058,,2370.0,,4033,69.0,1154302.0,1154302.0,1153518,715.0
2013-08-09,2,2013,,34864,10508,698,41779,698,5277,0.28,0.28,,16053,65174,2013年04月01日至2013年06月30日,24745,66524,24745,66524,33333,7465,1086527,1227817,141290,141290,107957,8706,,,0.28,0.28,34077,24745,40798,,-1638.0,,3741,811.0,,1234118.0,1227817,5490.0
2013-11-08,3,2013,,-10836,8634,906,-15273,906,-3636,0.48,0.48,,9541,69396,2013年07月01日至2013年09月30日,42695,27422,42695,27422,47063,5173,1065941,1212067,146126,146126,99063,8045,,,0.48,0.48,21622,42695,52236,,801.0,,4367,547.0,,1215720.0,1212067,3106.0
2014-02-21,4,2013,,35895,44939,2848,46456,2848,15467,1.63,1.63,,43781,269555,2013年01月01日至2013年12月31日,140038,186494,140038,186494,152425,31394,4303531,4858179,554648,554648,402223,32722,,-1525.0,1.62,1.62,99946,140038,183819,,3381.0,,16393,1576.0,,4872659.0,4858179,12904.0
2014-05-09,1,2014,,-7323,8842,907,-1618,907,5536,0.26,,,4327,59263,2014年01月01日至2014年03月31日,23060,21442,23060,21442,20811,6576,1000962,1118631,117669,117669,96858,8015,,,0.26,,29580,23060,27387,,-169.0,,3173,365.0,,1124850.0,1118631,5854.0
2014-08-12,2,2014,,2566,-9676,377,-3998,377,-7095,0.3,0.3,,11700,62854,2014年第2季,26096,22098,26096,22098,50433,-12637,1095696,1241914,146218,146218,95785,8703,,,0.3,0.3,24228,26096,37796,,-531.0,,3338,363.0,,1243453.0,1241914,1176.0
2014-11-06,3,2014,,8059,19793,353,12338,353,6808,0.65,0.65,,15243,63118,2014年第3季,57383,69721,57383,69721,56042,16584,1136233,1288096,151863,151863,95821,10060,,,0.65,0.65,22643,57383,72626,,2529.0,,3562,961.0,,1290824.0,1288096,1767.0
2015-03-10,4,2014,,10219,38587,2048,23810,2048,22095,2.03,2.03,,48324,259046,2014年度,178774,202584,178774,202584,200189,26909,4396647,4996442,599795,599795,399606,37272,,-3163.0,2.02,2.02,103288,178774,227098,,5341.0,,13726,1818.0,,5007523.0,4996442,9263.0
2015-05-08,1,2015,,3466,-22031,493,-1623,493,-5424,0.68,,-1623.0,16186,65382,2015年01月01日至2015年03月31日,60184,58561,60184,58561,101379,-25009,897496,1099629,202133,202133,100754,10174,,,0.68,,25198,60184,76370,,,-335.0,3471,362.0,,1100229.0,1099629,238.0
2015-08-07,2,2015,,-4811,-547,764,-7049,764,-3681,0.83,0.83,-7049.0,20823,63087,2015年第2季,73401,66352,73401,66352,97134,-2910,976802,1173383,196581,196581,99447,9684,,,0.83,0.83,26676,73401,94224,,,-1443.0,3127,352.0,,1176911.0,1173383,3176.0
2015-11-06,3,2015,,-25655,46447,192,-6286,192,18081,1.31,1.31,-6286.0,27274,70242,2015年第3季,115796,109510,115796,109510,99626,43444,903791,1108883,205092,205092,105466,10545,,,1.31,1.31,24679,115796,143070,,,-1288.0,3195,206.0,,1110421.0,1108883,1332.0
2016-03-08,4,2015,-3018.0,-7583,18700,1910,-7486,1910,2201,3.94,3.94,-4468.0,85120,268307,2015年度,347604,340118,347604,340118,424671,8053,3662265,4505223,842958,842958,418287,40321,-3669.0,,3.93,3.93,109659,347604,432724,-651.0,,-914.0,12557,1104.0,,4512890.0,4505223,6563.0
2016-05-06,1,2016,,13985,-8074,399,5449,399,-7420,1.04,1.04,5449.0,18922,63335,2016年01月01日至2016年03月31日,92711,98160,92711,98160,121208,-9575,850699,1072204,221505,221505,100297,9207,,,1.04,1.04,27755,92711,111633,,,1116.0,1900,1876.0,,1075601.0,1072204,1521.0
2016-08-05,2,2016,,666,-352,122,-5334,122,-7093,1.03,1.03,-5334.0,26754,68303,2016年第2季,97751,92417,97751,92417,125486,-981,1000540,1233207,232667,232667,107181,10115,,,1.02,1.02,28763,97751,124505,,,-1093.0,751,,,,1233207,
2016-11-04,3,2016,,22231,1852,131,7120,131,-15454,0.8,0.8,7120.0,17270,70138,2016年第3季,76070,83190,76070,83190,92678,662,940368,1141360,200992,200992,108314,10968,,,0.8,0.8,27208,76070,93340,,,-343.0,1321,,,,1141360,
