date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,利息收入合計,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分不動產、廠房及設備損失,處分投資利益,處分投資性不動產利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-30,1,2013,,0.0,-4134,2373,1969,,,-219.0,,-4134,,0.02,0.02,2412.0,0.0,,421,18405,2013年01月01日至2013年03月31日,2053,-2081,2053,-2081,-1441,3915,463336,491900,28564,28564,29786,1181,,,,0.02,0.02,10200,2053,2474,,,,,0.0,,427,0.0,39.0,154,492600,491900,546,,
2013-08-09,2,2013,,0.0,4934,2276,93,86.0,,60.0,,4934,7.0,0.14,0.14,2337.0,0.0,,2661,23632,2013年04月01日至2013年06月30日,18458,23392,18458,23392,19260,1859,516343,574398,58055,58055,38855,1119,,,,0.14,0.14,14104,18458,21119,,,,,0.0,,510,,61.0,109,574598,574398,91,,
2013-11-01,3,2013,,0.0,25559,-1588,8023,1182.0,,6.0,,25559,6.0,0.1,0.1,0.0,1624.0,,1413,22199,2013年07月01日至2013年09月30日,13518,39077,13518,39077,8924,6007,500033,543583,43550,43550,34632,1512,,,,0.1,0.1,10921,13518,14931,6835.0,,,,0.0,,428,,-36.0,278,548926,543583,5065,0.0,0.0
2014-03-19,4,2013,,90.0,75861,4489,11764,4890.0,,-375.0,,74639,39.0,0.28,0.28,6060.0,0.0,,5312,84166,2013年01月01日至2013年12月31日,36636,111275,36635,111274,27034,14914,1914139,2076865,162726,162726,135317,5465,,-1472.0,,0.28,0.28,45686,36636,41948,6835.0,,-250.0,,860.0,,1339,,2341.0,878,2084241,2076865,6498,1.0,1.0
2014-05-13,1,2014,,,-11605,9632,293,293.0,77.0,77.0,,-11605,,0.05,0.05,4724.0,,,99,17470,2014年01月01日至2014年03月31日,6688,-4917,6687,-4918,-2947,9734,430383,456116,25733,25733,28757,1160,,,,0.05,0.05,10127,6688,6787,,,,92.0,1665.0,3335.0,191,,0.0,253,458416,456116,2047,1.0,1.0
2014-08-12,2,2014,,,-7447,-2467,284,263.0,,65.0,,-7447,21.0,0.11,0.11,-2467.0,,,2092,20735,2014年第2季,14279,6832,14279,6832,19010,-2639,503252,554262,51010,51010,32065,1011,,,,0.11,0.11,10319,14279,16371,,,,,0.0,0.0,456,,0.0,193,555040,554262,585,0.0,0.0
2014-11-13,3,2014,,,-18001,2598,11678,685.0,,10.0,,-18001,0.0,0.22,0.22,2598.0,0.0,,1953,22239,2014年第3季,28842,10841,28842,10841,17171,13624,512209,561524,49315,49315,32154,876,,,,0.22,0.22,9039,28842,30795,10993.0,,,,0.0,0.0,652,,0.0,6,563300,561524,1770,0.0,0.0
2015-03-20,4,2014,,0.0,-40888,13547,12568,1531.0,33.0,33.0,3003.0,-55553,44.0,0.52,0.52,8547.0,,,5460,80371,2014年度,68544,12991,68543,12990,49498,24506,1930468,2108199,177731,177731,128266,4125,,-17668.0,,0.52,0.52,43770,68544,74004,10993.0,,,,1665.0,3335.0,1609,,0.0,2469,2116766,2108199,6098,1.0,1.0
2015-05-07,1,2015,,,548,-470,25,25.0,63.0,63.0,,548,,0.2,0.2,0.0,470.0,548.0,4336,21083,2015年01月01日至2015年03月31日,25870,26418,25870,26418,31103,-897,464367,529892,65525,65525,34485,1251,,,,0.2,0.2,12151,25870,30206,,,,,0.0,0.0,452,,,233,532270,529892,2145,0.0,0.0
2015-08-05,2,2015,,,37304,2228,1328,1303.0,-180.0,-180.0,,37304,25.0,0.29,0.29,0.0,1807.0,37304.0,9357,22334,2015年第2季,37739,75043,37736,75040,44076,3020,493444,557040,63596,63596,19340,1633,,,,0.29,0.29,-4627,37739,47096,,,,,4035.0,0.0,536,,,1535,559276,557040,701,3.0,3.0
2015-11-09,3,2015,,,-24124,9368,7330,53.0,-122.0,-122.0,,-24124,0.0,0.19,0.19,7094.0,-2277.0,-24124.0,3495,21300,2015年第3季,25441,1317,25443,1319,12440,16496,469081,520105,51024,51024,38462,1726,,,,0.19,0.19,15436,25441,28936,7277.0,,,,-3.0,0.0,202,,,65,520476,520105,306,-2.0,-2.0
2016-03-15,4,2015,-17219.0,,-329,11384,11562,4018.0,,,,-17548,48.0,0.79,0.79,7908.0,,-329.0,22080,84830,2015年度,104844,87296,104842,87294,105431,21493,1838314,2069544,231230,231230,125799,6087,-20746.0,,219.0,0.79,0.79,34882,104844,126924,7277.0,-3527.0,,529.0,4005.0,0.0,1453,,,2039,2074897,2069544,3314,2.0,2.0
2016-05-03,1,2016,,,9023,-1509,101,89.0,,,,9023,,0.06,0.06,,1364.0,9023.0,2464,18700,2016年01月01日至2016年03月31日,7976,16999,7976,16999,12301,-1861,372670,416455,43785,43785,31484,1157,,,12.0,0.06,0.06,11627,7976,10440,,,,145.0,,,453,,,174,419027,416455,2398,,
2016-08-02,2,2016,,,1224,1173,262,209.0,,,,1224,41.0,0.21,0.21,,-1193.0,1224.0,12080,26590,2016年第2季,27994,29218,27994,29218,39416,658,432703,513564,80861,80861,41445,1636,,,12.0,0.21,0.21,13219,27994,40074,,,,20.0,0.0,,777,,,83,516808,513564,3161,0.0,0.0
