date,season,year,不動產重估增值,不重分類至損益之項目總額(稅後),以成本衡量之金融負債淨損益,以成本衡量之金融資產利益,以成本衡量之金融資產損失,以成本衡量之金融資產淨損益,保證手續費收入,保證責任準備提存,保費收入淨額,信用卡循環利息收入,信託投資淨損益,信託業務收入,信託業務收入(屬國內外基金部分),信託附屬業務手續費收入,信託附屬業務手續費收入(屬保管業務),停業單位損益合計,備供出售金融資產之已實現利益合計,備供出售金融資產之已實現損失合計,備供出售金融資產之已實現損益,備供出售金融資產未實現評價損益,備供出售金融資產減損損失,備供出售金融資產股利收入,備供出售金融資產處分利益,備供出售金融資產處分損失,儲運業務淨損益,兌換利益,兌換利益合計,兌換損失,兌換損失合計,兌換損益,其他不重分類至損益之項目,其他什項損益,其他什項支出,其他什項收入,其他利息以外損失,其他利息以外收益,其他利息以外淨損益,其他利息收入,其他利息費用,其他待出售資產減損迴轉利益,其他應收款呆帳費用,其他手續費收入,其他手續費費用,其他業務及管理費用,其他業務及管理費用合計,其他營業準備提存,其他營業準備提存合計,其他綜合損益（稅後）淨額,其他資產減損損失,其他金融資產減損損失,其他金融資產減損迴轉利益,出售不良債權收入,出售不良債權淨損益,出售承受擔保品損失,出售承受擔保品淨損益,利息以外淨損益,利息收入合計,利息淨收益,利息費用合計,匯費支出,呆帳費用及保證責任準備提存（各項提存）合計,員工福利費用合計,員工訓練費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,央行及同業存款利息費用,央行及同業融資利息費用,存放及拆放同業利息收入（銀行存款利息收入）,存款利息費用,存款管理費收入合計,後續可能重分類至損益之項目總額(稅後),應收信用卡帳款呆帳費用,應收承兌票款呆帳費用,應收承購帳款利息收入,所得稅（費用）利益,手續費收入合計,手續費淨收益,手續費費用合計,承受擔保品減損迴轉利益,投資性不動產損益,投資有價證券利息收入（持有票債券利息收入）,折舊及攤銷費用合計,折舊費用,持有至到期日金融資產之已實現利益合計,持有至到期日金融資產之已實現損失合計,持有至到期日金融資產之已實現損益,持有至到期日金融資產減損損失,持有至到期日金融資產減損迴轉利益,指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,採用權益法之投資處分利益,採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資其他綜合損益之份額,採用權益法認列之關聯企業及合資其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資利益之份額合計,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損失之份額合計,採用權益法認列之關聯企業及合資損益之份額,提存意外損失準備,提存意外損失準備合計,攤銷費用,收益,放款呆帳費用,放款手續費收入,放款手續費收入(企金),放款手續費收入(消金),會計項目,本期其他綜合損益,本期稅前淨利（淨損）,本期稅後淨利（損）歸屬於母公司業主,本期稅後淨利（淨損）,本期稅後綜合損益總額歸屬於母公司業主,本期綜合損益總額（稅前）,本期綜合損益總額（稅後）,歸因於所規避風險之被避險項目之淨損益－公允價值避險,淨收益,災害損失,災害損失合計,無活絡市場之債務商品淨投資損益,無活絡市場之債務工具淨投資損益合計,營業費用合計,營業資產出租淨損益,營業資產租金收入,現金運送費,發行債券利息費用,短期員工福利,確定福利計畫之再衡量數,確定福利計畫精算損益,租賃收入合計,租金,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,經紀手續費收入,綜合損益總額,繼續營業單位本期稅後淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與本期損益組成部分相關之所得稅(費用)利益,與本期綜合損益組成部分相關之所得稅,證券承銷收入淨額,證券經紀收入淨額,證券自營費用合計,財產交易利益,財產交易損失,財產交易淨損益,財產交易淨損益－資產證券化,費損,貼現及放款利息收入,資產報廢損失,資產報廢損失合計,資產減損損失合計,資產減損迴轉利益合計,資產減損（損失）迴轉利益淨額,賠償收入,賠償收入合計,跨行手續費,退職後福利,透過損益按公允價值衡量之金融負債處分利益,透過損益按公允價值衡量之金融負債處分損失,透過損益按公允價值衡量之金融負債評價利益,透過損益按公允價值衡量之金融負債評價損失,透過損益按公允價值衡量之金融資產利息收入,透過損益按公允價值衡量之金融資產及負債利益合計,透過損益按公允價值衡量之金融資產及負債損失合計,透過損益按公允價值衡量之金融資產及負債損益,透過損益按公允價值衡量之金融資產股利收入,透過損益按公允價值衡量之金融資產處分利益,透過損益按公允價值衡量之金融資產處分損失,透過損益按公允價值衡量之金融資產評價利益,透過損益按公允價值衡量之金融資產評價損失,避險工具之淨損益－公允價值避險,銷貨收入,銷貨淨損益,附買回票債券負債利息費用,附賣回票債券投資利息收入,顧問服務收入合計,（提存）收回保費準備淨額,（提存）收回未決賠款準備淨額,（提存）收回特別準備淨額,（提存）收回輸出保險準備淨額
2013-05-08,1,2013,,,0.0,,,0,,12592,0.0,9299,0.0,109787,,,,0.0,683,5892,-5209,-20824,,,683,5892,0.0,243031,243031,170119,170119,72912,,179,0,179,15104,1145,-13959,20748,14,,38037,174658,63881,302942,333641,0.0,0.0,-5713.0,0.0,4382,,,0.0,15104,-15104,718553,2317260,1457578,859682,313.0,282075,611238,2107.0,15111,0.34,0.34,10115,12247,121542,757254,0.0,,0.0,-103.0,3032.0,-110219,478859,408785,70074,34619,0.0,89688,44986,39084,0.0,0.0,0.0,,195420,,224.0,,,,,224,,0,224,,0.0,5902,3470029,231549,43813.0,,,2013年01月01日至2013年03月31日,,,793972,793972,788259,788259,,0.0,2176131,,0.0,0.0,,989865,666,666,2261.0,79650,583698,,,0.0,26331,0.32,0.32,150601,788259.0,793972,904191,,,,-110219,,0.0,0.0,0.0,300,0,300,0.0,2565838,2066884,,0.0,4382,230039,225657,,0.0,5880.0,27540,956,157540,16521,160,9985,198788,168645,30143,,110427,7022,60899,3923,0.0,,0.0,402,6067.0,0.0,0.0,0.0,0.0,0.0
2013-08-14,2,2013,,,0.0,1375.0,0.0,1375,,840,,10367,,138140,,,,0.0,363,0,363,10086,,,363,0,,175590,175590,131071,131071,44519,,-7428,8510,1082,9083,5060,-4023,31774,10,,7761,168754,70021,294704,324825,0.0,0.0,22953.0,,7228,,,,0,0,952672,2445198,1553364,891834,,505129,622997,,12867,0.37,0.37,3385,23802,125448,784387,,,0.0,103.0,2915.0,-88497,548518,478497,70021,0,,116775,47758,43286,0.0,0.0,0.0,0.0,480941,,-761.0,,,,,-761,,0,-761,,,4472,3847663,496425,89333.0,,,2013年04月01日至2013年06月30日,,,916830,916830,939783,1028280,,,2506036,560.0,-560.0,,,995580,666,666,,79722,595796,,,,30121,0.34,0.34,152291,939783.0,916830,1005327,,,,-88497,-88497.0,,,,267,13,254,,2842336,2150676,,,7228,480941,473713,,,,27201,5731,132460,11301,8803,16279,192754,232390,-39636,,129408,76085,30035,15042,,1670.0,1670.0,528,7243.0,,,,,
2013-11-07,3,2013,,,0.0,18092.0,0.0,18092,,1010,,11020,,92696,,,,0.0,0,0,0,-130585,0.0,,0,0,,136930,136930,104827,104827,32103,,76,1100,1176,3010,26740,23730,42981,19,0.0,12802,166283,68958,302774,334289,0.0,0.0,-147547.0,,0,,,,1910,-1910,528542,2537489,1624229,913260,,231539,570451,,-16962,0.32,0.32,6850,28551,130667,797724,,,0.0,0.0,2526.0,-183014,450434,381476,68958,2388,,87417,46421,39245,0.0,0.0,0.0,0.0,27147,,,,,,1013.0,1013,,0,1013,,,7176,3336749,217727,54112.0,,,2013年07月01日至2013年09月30日,,970071.0,787057,787057,639510,822524,,,2152771,0.0,0.0,,,951161,666,666,,79781,531118,,,,31515,0.29,0.29,137343,639510.0,787057,970071,,,,-183014,-183014.0,,,,-46,0,-46,,2366678,2256993,0.0,0.0,0,29535,29535,2355.0,2355.0,,39333,10401,83172,1254,-4408,25797,154608,93923,60685,27167.0,124892,27318,-34903,-12159,,4497.0,4497.0,335,5885.0,,,,,
2014-03-12,4,2013,,,,19467.0,,19467,,55652,,41269,,468775,,,,,1046,5892,-4846,-142309,0.0,,1046,5892,,707682,707682,511885,511885,195797,,-6120,10611,4491,94604,29566,-65038,165638,439,0.0,65812,714999,243848,1203400,1327229,1900.0,-1900.0,-175831.0,,34666,,,,80660,-80660,2953985,9917145,6310267,3606878,,1864173,2350543,,24265,1.23,1.23,27000,94915,521392,3162427,,,,,11021.0,-476708,2018751,1774903,243848,182941,,385033,185328,160602,,,,0.0,744460,,,,177.0,,9708.0,9708,0.0,0,9708,,,24726,14401722,1742709,248175.0,,,2013年01月01日至2013年12月31日,,3536979.0,3060271,3060271,2884440,3359485,,,9264252,,,,,3863100,2664,2664,,320475,2241118,,-59627.0,,123829,1.14,1.14,586802,2884440.0,3060271,3536979,,1663.0,,-476708,-475045.0,,,,521,0,521,,10864743,8764863,1433.0,-1433.0,34666,927401,892735,2423.0,2423.0,,109425,30507,483424,42360,9311,72036,790423,639697,150726,27167.0,487319,130644,131034,16318,,,,1622,27929.0,,,,,
2014-05-07,1,2014,,,,,43.0,-43,,18112,,9240,,139180,,,,0.0,0,0,0,37117,,,0,0,,201624,201624,71271,71271,130353,,-373,180,-193,1773,69290,67517,70033,8,,21717,143137,105660,392765,427383,,,38478.0,,0,,68712.0,68712.0,0,0,1156656,2663227,1688633,974594,,608509,630832,,598,0.4,0.4,8576,32785,158342,842232,,,,,2081.0,-94918,624158,518498,105660,0,,94940,46808,38861,,,,,464080,,,,,,515.0,515,,0,515,1300.0,-1300.0,7947,4279460,568680,57131.0,,,2014年01月01日至2014年03月31日,,1131757.0,1036839,1036839,1075317,1169472,,,2845289,,,,,1105023,666,666,,90634,602999,,,,34618,0.39,0.39,284710,1075317.0,1036839,1131757,,763.0,,-94918,-94155.0,,,,0,250,-250,,3147703,2321891,,,0,464080,464080,105.0,105.0,,27833,7340,148005,35942,33356,19846,256566,280873,-24307,,113010,45297,80428,54215,,,,359,6700.0,,,,,
2014-08-12,2,2014,,,0.0,357.0,0.0,357,18082.0,2629,0.0,9581,0.0,156416,,,,,0,0,0,60738,,,0,0,0.0,70444,70444,111588,111588,-41144,,648,1688,2336,3815,3359,-456,77895,9,,50490,129322,108076,331757,370862,1179.0,-1179.0,40372.0,,0,,0.0,0.0,1435,-1435,629966,2733098,1740353,992745,,155643,612049,,-20692,0.36,0.36,8368,37719,173204,859443,0.0,,,,1749.0,-176300,610852,502776,108076,2243,0.0,88770,46603,37721,0.0,0.0,0.0,,-9124,,,,,,1037.0,1037,,0,1037,-500.0,500.0,8882,3697310,102524,74722.0,,,2014年第2季,,1185162.0,1008862,1008862,1049234,1225208,,0.0,2370319,0.0,0.0,0.0,,1029514,666,666,,86875,583894,,,0.0,39105,0.36,0.36,232310,1049234.0,1008862,1185162,,326.0,,-176300,-175974.0,0.0,0.0,0.0,0,0,0,0.0,2512148,2377102,13.0,-13.0,0,-6881,-6881,0.0,0.0,,28155,10490,51346,-3298,-3527,31318,285401,110767,174634,,245092,24316,1799,38632,0.0,0.0,0.0,331,4797.0,0.0,0.0,0.0,0.0,0.0
2014-11-05,3,2014,,,0.0,19080.0,0.0,19080,18213.0,5000,0.0,10022,0.0,154715,,,,,0,0,0,-37572,,,0,0,0.0,198882,198882,92674,92674,106208,,16756,-93,16663,-198,36465,36663,87249,6,,20542,129233,146989,431503,473215,0.0,0.0,-8445.0,,0,44337.0,0.0,0.0,0,0,599941,2839942,1854260,985682,,69264,647934,,29404,0.36,0.36,5577,39077,182836,853401,0.0,,,,1457.0,-190763,629018,482029,146989,0,0.0,93516,45885,36751,0.0,0.0,0.0,,8454,,,,,,-1121.0,-1121,,0,-1121,0.0,0.0,9134,3848209,43722,69009.0,,,2014年第3季,,1217903.0,1027140,1027140,1018695,1209735,,0.0,2454201,0.0,0.0,0.0,,1167034,666,666,,87262,618114,,,0.0,41712,0.36,0.36,257848,1018695.0,1027140,1217903,,-277.0,,-190763,-191040.0,0.0,0.0,0.0,0,-97,97,0.0,2630306,2461211,-8.0,8.0,0,52791,52791,56.0,56.0,,29820,21890,72589,8145,-4682,24789,92232,168861,-76629,23258.0,68747,-459,-54597,101413,0.0,0.0,0.0,359,3651.0,0.0,0.0,0.0,0.0,0.0
2015-03-11,4,2014,,,0.0,19437.0,43.0,19394,71564.0,26785,0.0,39650,0.0,603692,,,,0.0,0,0,0,102721,,,0,0,0.0,686637,686637,425601,425601,261036,,1543,4437,5980,8052,97219,89167,317877,59,,127991,318150,406849,1494595,1655827,1179.0,-1179.0,48863.0,,0,43098.0,68712.0,68712.0,1435,-1435,3553022,11116277,7161977,3954300,,1982816,2689795,,88781,1.32,1.32,26177,147601,705347,3426914,0.0,,,,6174.0,-480987,2484033,2077184,406849,2243,0.0,373346,186318,151034,0.0,0.0,0.0,,982923,,,,205.0,,423.0,423,,0,423,800.0,-800.0,35284,16259504,1828040,268031.0,,,2014年度,,4200243.0,3719256,3719256,3768119,4222819,,0.0,10714999,,0.0,0.0,,4531940,2664,2664,,352030,2576431,,-169131.0,0.0,161232,1.31,1.31,1222596,3768119.0,3719256,4200243,,26287.0,,-480987,-454700.0,0.0,0.0,0.0,0,158,-158,0.0,12059261,9654646,0.0,0.0,0,1028264,1028264,426.0,426.0,,113364,67214,412792,33816,37542,98321,846651,749703,96948,24653.0,581728,153698,40919,145671,0.0,,0.0,1519,19237.0,0.0,0.0,0.0,0.0,0.0
2015-05-06,1,2015,0.0,0.0,0.0,0.0,0.0,0,18736.0,173,0.0,9566,0.0,139976,,,,0.0,0,0,0,43663,,,0,0,0.0,127307,127307,65259,65259,62048,0.0,-4024,4926,902,4926,4880,-46,88330,161,,23021,70747,186613,473525,517954,0.0,0.0,,,0,21603.0,2742.0,2742.0,0,0,677148,2864420,1847355,1017065,,68014,684715,,-66099,0.36,0.36,3555,37359,182464,890079,0.0,-22301.0,,,198.0,-181591,667973,474131,193842,0,0.0,96780,47861,38140,0.0,0.0,0.0,,0,0.0,,0.0,,0.0,234.0,234,,0,234,0.0,0.0,9721,4144497,44820,,56961.0,,2015年第1季,-22301.0,1205959.0,1024368,1024368,1002067,1183523,1002067.0,0.0,2524503,,0.0,,0.0,1250530,696,696,,85364,661127,0.0,,0.0,44429,0.36,0.36,381553,,1024368,1205959,0.0,,135.0,-181591,-181456.0,0.0,0.0,0.0,540,0,540,0.0,2938538,2481010,0.0,0.0,0,21603,21603,0.0,0.0,7229.0,23588,28541,137283,68320,104772,30958,458080,338902,119178,,164919,33525,165342,63322,0.0,,0.0,547,6072.0,0.0,0.0,0.0,0.0,0.0
2015-08-07,2,2015,0.0,0.0,0.0,346.0,0.0,346,17631.0,2981,0.0,9903,0.0,149703,,,,,7948,0,7948,28787,,,7948,0,0.0,34756,34756,97683,97683,-62927,0.0,2129,295,2424,611,3726,3115,77563,20,,9254,73062,123123,447028,491444,0.0,0.0,,,0,0.0,0.0,0.0,0,0,596342,2868665,1838302,1030363,,1682,716667,,-15591,0.33,0.33,3534,38982,186682,900221,0.0,12844.0,,,27.0,-171298,605414,475088,130326,0,0.0,103102,49636,38866,0.0,0.0,0.0,,0,0.0,,0.0,,0.0,0.0,0,814.0,814,-814,0.0,0.0,10770,3939490,-10553,,64951.0,,2015年第2季,12844.0,1175215.0,1003917,1003917,1016761,1188411,1016761.0,0.0,2434644,0.0,0.0,,0.0,1257747,756,756,,86315,692636,0.0,,0.0,44416,0.33,0.33,300067,,1003917,1175215,0.0,,-352.0,-171298,-171650.0,0.0,0.0,0.0,0,0,0,0.0,2764275,2485493,316.0,-316.0,0,0,0,200.0,200.0,7203.0,24031,43800,92631,-19472,73085,35657,419215,245283,173932,580.0,290104,93289,68546,-13722,0.0,0.0,0.0,1291,5895.0,0.0,0.0,0.0,0.0,0.0
