date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,處分不動產、廠房及設備利益,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）損失,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,-15925.0,7785,,,15326,5603,,145371,2506.0,5103.0,137586,0.06,0.06,60.0,,387,60381,2013年01月01日至2013年03月31日,19169,164540,19169,164540,3730,15826,1602488,1809779,207291,207291,203561,41744,,,3097.0,0.06,0.06,101436,19169,19556,1592.0,14.0,5103,2145.0,1602488.0,1602488.0,11595,1835542.0,1835542,1809779,14168,0.0,0.0
2013-08-06,2,2013,,,-2514,,,-2950,9248,9248.0,76998,,,79512,0.42,0.42,,,47562,71667,2013年04月01日至2013年06月30日,138712,215710,138712,215710,185551,723,2071626,2469403,397777,397777,212226,40937,,,,0.42,0.42,99622,138712,186274,,,5575,,,,7006,,2491493,2469403,15084,,
2013-11-06,3,2013,,,1551,,,-14451,9635,9635.0,-53086,,,-54637,0.22,0.22,,,30344,51521,2013年07月01日至2013年09月30日,73696,20610,73696,20610,113555,-9515,2231631,2566922,335291,335291,221736,55922,,,,0.22,0.22,114293,73696,104040,,,4699,,,,19017,,2632952,2566922,47013,,
2014-03-25,4,2013,,,7763,,,-20858,34866,34866.0,226032,,,214096,1.11,1.11,,,75199,247006,2013年01月01日至2013年12月31日,367476,593508,367476,593508,449265,-6590,8298418,9588304,1289886,1289886,840621,173699,,4173.0,,1.1,1.1,419916,367476,442675,,,20598,,,,53613,,9758932,9588304,117015,,
2014-04-29,1,2014,,,2535,,,-19497,13832,13832.0,81651,,,79116,0.62,0.62,,,58978,42083,2014年01月01日至2014年03月31日,205976,287627,205976,287627,277309,-12355,2346213,2782333,436120,436120,158811,26385,,,,0.62,0.62,90343,205976,264954,,,6690,,,,13882,,2836132,2782333,39917,,
2014-08-07,2,2014,,,2719,,,84411,17895,17895.0,-210910,,,-213629,1.28,1.28,,,98104,53234,2014年第2季,426429,215519,426429,215519,429929,94604,2548832,3164544,615712,615712,185783,8679,,,,1.28,1.28,123870,426429,524533,,,7702,,,,23146,,3229983,3164544,42293,,
2014-11-10,3,2014,,,-4350,,,46418,16212,16212.0,100116,,,104466,0.71,0.71,,,72681,119998,2014年第3季,236284,336400,236284,336400,254187,54778,2255615,2768104,512489,512489,258302,13358,,,,0.68,0.68,124946,236284,308965,,,7852,,,,22107,,2838437,2768104,48226,,
2015-03-12,4,2014,,,3035,,,177688,76299,76299.0,232390,,,226497,3.22,3.22,,,263876,243282,2014年度,1069672,1302062,1069672,1302062,1114441,219107,9321999,11226318,1904319,1904319,789878,61272,,2858.0,,3.07,3.07,485324,1069672,1333548,,,34880,,,,104378,,11498428,11226318,167732,,
2015-05-11,1,2015,,,-1458,,,-11820,37900,37900.0,-87620,,,-86162,-0.24,-0.24,,-87620.0,-6093,49544,2015年01月01日至2015年03月31日,-79885,-167505,-79885,-167505,-98422,12444,1804920,1881422,76502,76502,174924,14967,,,,-0.24,-0.24,110413,-79885,-85978,,,13636,,,,28083,,1926631,1881422,17126,,
2015-08-12,2,2015,,,-703,,,15745,45727,45727.0,-62259,,,-61556,0.16,0.16,,-62259.0,34045,47004,2015年第2季,53544,-8715,53544,-8715,40342,47247,1768197,1940804,172607,172607,132265,13202,,,,0.14,0.14,72059,53544,87589,,,14225,,,,15534,,1973836,1940804,17498,,
