date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益,其他收益及費損淨額,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,廉價購買利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,處分不動產、廠房及設備利益,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,14189,1124937,191185,103354,,11063,11063,1285170,1708206,1804463,,654201,0.07,0.07,63887.0,0.0,,,114227,,52447.0,-46991,,1178129,2013年01月01日至2013年03月31日,171833,1976296,124014,1754442,,200220,85840,11569263,13653077,2083814,2083814,1894657,-27122.0,,23716,,,,0.07,0.07,692812,171833,286060,,18321,124288,,161708,0.0,1122,10284093,11944871,47819,221854
2013-08-14,2,2013,,30738,273493,134025,182410,,23215,23215,924863,1362805,733253,,386395,-0.03,-0.03,182111.0,0.0,,,117679,,76336.0,-84267,,1168909,2013年04月01日至2013年06月30日,-25697,707556,-57607,599327,,4425,87557,12128998,14026163,1897165,1897165,1915955,-2971.0,,24432,,,,-0.03,-0.03,722614,-25697,91982,,3905,21373,,144611,0.0,42626,11204135,12663358,31910,108229
2013-11-13,3,2013,,40601,550336,29487,455847,82155.0,3243,3243,1078211,1590586,228742,39086.0,-336399,0.14,0.14,47680.0,0.0,,,118133,,4246.0,101186,,1282402,2013年07月01日至2013年09月30日,190055,418797,233714,499944,,-105699,413887,12501808,14434741,1932933,1932933,2041875,10559.0,,30116,,,,0.14,0.14,729357,190055,308188,334606.0,18324,1087,,172633,0.0,-2997,11423597,12844155,-43659,-81147
2014-03-26,4,2013,,108533,2712889,731955,863562,360917.0,14321,14321,4353120,6194185,4108973,150778.0,1045590,0.37,0.37,428001.0,,0.0,,482767,,253303.0,185089,,4969703,2013年01月01日至2013年12月31日,568019,4676992,610546,4432951,0.0,-69586,1120372,48759266,56733425,7974159,7974159,8058066,-17416.0,,109119,,114607.0,,0.37,0.37,2979244,568019,1050786,351867.0,62096,380558,0.0,660234,0.0,30167,44406146,50539240,-42527,244041
2014-05-14,1,2014,,21744,6050693,-136485,163337,109781.0,32022,32022,1106714,1508561,7615292,53556.0,465067,-0.2,-0.2,0.0,145008.0,,,72019,,1096553.0,-122022,,1202841,2014年01月01日至2014年03月31日,-319683,7295609,-333763,6909640,,48112,-295776,12031700,14076403,2044703,2044703,2028613,2979.0,,27272,,,,-0.2,-0.2,798500,-319683,-247664,,9492,30751,,200606,,9976,10924986,12567842,14080,385969
2014-08-13,2,2014,,12360,-1230637,-55818,154708,90756.0,1584,1584,1153264,1648891,-1883049,63952.0,-605756,-0.01,-0.01,0.0,45541.0,,,120250,,-33905.0,141964,,1279941,2014年第2季,-22313,-1905362,-15792,-1795640,,73205,24732,12739095,14947536,2208441,2208441,2136820,-12751.0,,29246,,,,-0.01,-0.01,827633,-22313,97937,,-21177,22432,,216122,,-828,11585831,13298645,-6521,-109722
2014-11-13,3,2014,,25524,-607870,124850,621971,149332.0,-969,-969,1350095,1867166,-318198,74470.0,558637,0.31,0.31,81719.0,0.0,,,133337,,-270703.0,55033,,1255683,2014年第3季,570273,252075,512577,188711,,142647,560963,13073803,15401315,2327512,2327512,2183896,1738.0,,31709,,,,0.31,0.31,896504,570273,703610,398169.0,-18828,97750,,240891,,10267,11723708,13534149,57696,63364
2015-03-24,4,2014,,104623,3955972,119760,1134132,463607.0,33001,33001,4983261,7061614,6407429,234261.0,1742460,0.36,0.36,145734.0,,,,384643,,832326.0,235851,,5180565,2014年度,869764,7277193,602624,6685733,,636475,617932,51504502,60896397,9391895,9391895,8788421,-2999.0,,123225,,-120330.0,,0.36,0.36,3484631,869764,1254407,436264.0,-37698,158133,,871811,,41786,46521241,53834783,267140,591460
2015-05-13,1,2015,,16681,-20001,23884,155180,72769.0,186,186,1118294,1658974,-743491,63800.0,-435179,-0.1,-0.1,,-10499.0,,-743491.0,90756,,,-184472,-239970.0,1245884,2015年01月01日至2015年03月31日,-52835,-796326,-166480,-838585,,269215,-231294,12488067,14962191,2474124,2474124,2205095,,-48341.0,34031,,,18611.0,-0.1,-0.1,925180,-52835,37921,,533,44342,,225886,,14809,11369773,13303217,113645,42259
2015-08-13,2,2015,,10712,-959407,60239,186875,124184.0,-663,-663,1348795,2016801,-1526888,62691.0,-351065,0.17,0.17,,-33873.0,,-1526888.0,112065,,,30658,-220678.0,1306717,2015年第2季,464611,-1062277,281024,-1193409,,514529,62147,13211030,15969764,2758734,2758734,2243542,,4262.0,31125,,,,0.17,0.17,905700,464611,576676,,14124,4983,,215625,,-17971,11862235,13952963,183587,131132
