date,season,year,不重分類至損益之項目總額（稅後）,以成本衡量之金融負債淨利益（損失）,以成本衡量之金融資產利益,以成本衡量之金融資產淨利益（損失）,停業單位損益合計,備供出售金融資產之已實現損益,備供出售金融資產未實現評價利益（損失）,備供出售金融資產未實現評價損益,兌換損益,其他什項支出,其他什項收入,其他什項淨利益（損失）,其他利息以外淨損失,其他利息以外淨損益,其他利息以外淨收益,其他業務及管理費用,出售不良債權淨利益（損失）,出售不良資產損失,出售承受擔保品利益,出售承受擔保品損失,出售承受擔保品淨利益（損失）,利息以外淨收益,利息收入,利息淨收益,利息費用,呆帳費用及保證責任準備提存合計,員工福利費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額（稅後）,所得稅（費用）利益,手續費及佣金收入合計,手續費及佣金淨收益,手續費費用及佣金支出合計,折舊及攤銷費用,持有至到期日金融資產之已實現損益,採用權益法認列之關聯企業及合資其他綜合損益之份額,採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,採用權益法認列關聯企業及合資損益之份額,採用權益法認列關聯企業及合資損益之份額合計,會計項目,本期其他綜合損益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期綜合損益總額,淨收益,營業費用合計,營業資產租金淨利益（損失）,現金流量避險中屬有效避險部分之避險工具利益（損失）,發行認購（售）權證費用,發行認購（售）權證費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃收入,租賃收入合計,稀釋每股盈餘合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前損益,繼續營業單位稅前淨利（淨損）,股務代理收入,股務代理收入合計,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財產交易利益淨利益（損失）,資產報廢損失合計,資產減損損失（迴轉利益）,資產減損（損失）迴轉利益,賠償收入合計,透過損益按公允價值衡量之金融資產及負債損益,非控制權益,非控制股權,顧問服務收入,顧問服務收入合計
2013-05-24,1,2013,,,3650.0,3650.0,,146359,766235.0,,423213,30870.0,41959.0,11089,58052.0,46480,104532.0,1331014,0.0,0.0,0.0,7184.0,-7184.0,4023152,6381438,3843535,2537903,-113858,2864709,149660,0.38,,-674849,2506320,2187284,319036,236802,,653.0,,1115.0,1115,2013年01月01日至2013年03月31日,,912960.0,2873171,3786131,7866687,4432525,,5342.0,19998.0,-19998,,,31888.0,31888,0.38,2873171,3548020.0,,23124.0,23124,,-8930.0,,,,-57455.0,,,1276156,0,,3911.0,3911.0
2013-08-23,2,2013,,,,73616.0,,109055,-323275.0,,689694,,,46334,,210546,,1555551,711.0,,,,2558.0,4207857,6588029,3927268,2660761,24729,2921667,64021,0.37,,-401524,2507084,2159953,347131,234073,,-2829.0,,1069.0,1069,2013年04月01日至2013年06月30日,,-214206.0,2997581,2783375,8135125,4711291,,5706.0,,-19081,,,,33904,0.36,2997581,3399105.0,,,22896,,42171.0,,1781.0,,-61086.0,,46453.0,1098626,0,0.0,,1374.0
2013-11-22,3,2013,,,,-16117.0,0.0,84541,1190713.0,,186162,,,619,,20610,,1410510,2.0,,,,-11.0,4131401,6774153,4078812,2695341,837859,2858902,-198133,0.3,,-406867,2431180,2101793,329387,233663,,-726.0,,,2280,2013年07月01日至2013年09月30日,,1046663.0,2462412,3509075,8210213,4503075,,4492.0,,-19666,,,,31251,0.3,2462412,2869279.0,,,21803,,50317.0,,613.0,,66358.0,,0.0,1669657,1,1.0,,2116.0
2014-03-21,4,2013,,,,87311.0,,535721,2200422.0,,1383995,,,52412,,535937,,6074826,711.0,,,,-4989.0,16832592,26819932,16099250,10720682,1974507,11439206,180463,1.32,,-1710535,10037847,8707101,1330746,941900,,1168.0,,,6091,2013年01月01日至2013年12月31日,,2401182.0,10790868,13192050,32931842,18455932,,18787.0,,-79388,,-71955.0,,128924,1.31,10790868,12501403.0,,,90060,,72297.0,,205711.0,,-181632.0,,46453.0,5845379,-101,-101.0,,8732.0
2014-05-23,1,2014,,,,10707.0,,27885,-277962.0,,-94003,,,22924,,56608,,1399921,,,,,0.0,4948924,7514929,4395995,3118934,353675,3072789,266293,0.36,,-1328176,2848906,2487261,361645,235092,,,,,-56051,2014年01月01日至2014年03月31日,,-72294.0,2955266,2882972,9344919,4707802,,3789.0,,-28469,,,,30104,0.36,2955266,4283442.0,,,21342,,-64414.0,,,,,123345.0,,2403879,-77,-77.0,,
2014-08-22,2,2014,,,,114067.0,,133806,139158.0,,151759,,,4170796,,4311858,,1565769,,,,,,7772493,7895633,4548374,3347259,2288305,3361291,-352270,0.52,,-623372,2744765,2379398,365367,237154,,,,-14679.0,-14679,2014年第2季,,-167653.0,4244976,4077323,12320867,5164214,,0.0,,-28927,,,,33720,0.52,4244976,4868348.0,,,22202,,45459.0,,,,,-35049.0,0.0,845400,-83,-83.0,,
2014-11-21,3,2014,,149989.0,,,0.0,217991,-406151.0,,362527,,,9053,,258596,,1659799,,,,,,4072650,7872712,4675014,3197698,-800105,3144736,327638,0.46,,-416497,3126981,2714793,412188,236885,-11619.0,,,,-15473,2014年第3季,,-131985.0,4089852,3957867,8747664,5041420,,0.0,,-28805,,,,34805,0.46,4089852,4506349.0,,,22330,,-53472.0,,71224.0,,,82497.0,0.0,463338,-90,-90.0,,
2015-03-20,4,2014,,,,289414.0,,421421,-739272.0,,786779,,,4205434,,4689951,,6406898,,,,,-6842.0,20355115,30981428,18140698,12840730,4037666,12246047,1092452,1.45,,-1860674,11431120,9880878,1550242,955270,-11568.0,,,,-106842,2014年度,,159371.0,12989258,13148629,38495813,19608215,,3789.0,,-112892,,23507.0,,138766,1.45,12989258,14849932.0,,,88263,,-221105.0,,73709.0,,,-100871.0,0.0,4795367,-348,-348.0,,14099.0
2015-05-28,1,2015,,,,1162.0,,178204,,-305158.0,732420,,,37307,,64549,,1526262,,,,,,3943749,7648229,4411173,3237056,-811360,3058906,-256833,0.38,-523352.0,-708361,2790821,2403091,387730,242305,,,597.0,,-15162,2015年第1季,-523352.0,,3630448,3107096,8354922,4827473,25060.0,0.0,,-27916,,,,8396,0.38,3630448,,4338809.0,,20540,,,38042.0,,,,51041.0,,529606,-120,-120.0,,
2015-08-21,2,2015,,,,232409.0,,40390,,-325048.0,473741,,,48573,,459320,,1627452,,,,,,3980837,7573677,4278003,3295674,22433,3020133,-263893,0.29,-530852.0,-429312,3099832,2656391,443441,244950,,,2794.0,-8980.0,-8980,2015年第2季,-530852.0,,2914560,2383708,8258840,4892535,25027.0,0.0,,-32069,,,,15396,0.29,2914560,,3343872.0,,24034,,,55295.0,145950.0,,,-19999.0,,379974,26,26.0,,
