date,season,year,不重分類至損益之項目總額,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,其他利益及損失淨額,其他收入合計,其他營業收入淨額,其他綜合損益（淨額）,分期付款銷貨收入,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,天然氣銷貨收入（天然氣業）,專櫃銷貨收入（百貨業適用）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,金融資產減損損失,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-02,1,2013,,6454,,62327,,31356,10585,1538.0,64914,,1264,0.99,0.99,35086,,,,,,75107,1323.0,2835.0,-2835,,,75450,2013年01月01日至2013年03月31日,877.0,376127,441041,393974,458821,,,412315,38919,974927,1866397,891470,890593,478278,,296134,,0.96,0.96,106694,376127,451234,,,,,,,187,2724,,,,,12083.0,,1876942.0,1864859,,-17847,-17780
2013-08-06,2,2013,,6440,,-18370,,1151,13325,,-18057,,-310,1.18,1.18,6569,,,,,,89835,623.0,6373.0,-6373,,,90665,2013年04月01日至2013年06月30日,-21.0,468985,450928,487355,469278,0.0,,550830,7990,1134622,2160439,1025817,1025838,475008,,278495,,1.16,1.16,105848,468985,558820,,,,15.0,,,113,1037,,0.0,,,,,,2160439,,-18370,-18350
2013-11-01,3,2013,,9644,,-49747,,-20167,12949,,-51320,,200,0.72,0.72,0,21589.0,,,,,37915,-1773.0,3435.0,-3435,,,118172,2013年07月01日至2013年09月30日,847.0,275785,224465,294350,243163,,,324439,-10739,1064641,1895439,830798,829951,505512,,288820,,0.71,0.71,98520,275785,313700,,,,18.0,8396.0,,86,2688,,,,,87606.0,,1983045.0,1895439,,-18565,-18698
2014-03-20,4,2013,,24016,,7071,,13072,61550,,9874,0.0,2273,3.8,3.8,29180,,0.0,0.0,,,252840,530.0,15711.0,-15711,,,371395,2013年01月01日至2013年12月31日,2320.0,1466939,1476813,1545693,1555593,11348.0,0.0,1661426,58353,4217956,7794533,3576577,3574257,1912831,252840.0,1172753,,3.74,3.74,368683,1466939,1719779,,,,34.0,8396.0,,558,10894,,11348.0,4217956.0,4217956.0,171117.0,7965650.0,7965650.0,7794533,0.0,-78754,-78780
2014-05-12,1,2014,,58,,110353,,38111,15215,493.0,112471,,713,0.78,0.78,31343,,,,671.0,,64483,1405.0,2357.0,-2357,,,98979,2014年01月01日至2014年03月31日,,294770,407241,319607,431940,,,308295,50958,922675,1705586,782911,783582,475287,,296053,,0.78,0.78,80255,294770,359253,0.0,,,,,,11,6826,,,,,10076.0,,1715169.0,1705093,,-24837,-24699
2014-08-13,2,2014,,22,,-24993,,74604,33530,1542.0,-24393,,-978,1.12,1.12,-23677,,,,1683.0,,95082,1578.0,1521.0,-1521,,,162391,2014年第2季,,439406,415013,461439,437175,,,427953,106535,1130154,2113340,983186,984869,556916,,309186,,1.1,1.1,85339,439406,534488,0.0,,,0.0,95151.0,,78,3152,,,,,13179.0,,2124977.0,2111798,,-22033,-22162
2014-11-06,3,2014,,21,,-53904,,37195,15605,9813.0,-55762,,791,0.95,0.95,21817,0.0,,,,,73992,-2649.0,2128.0,-2128,,,115051,2014年第3季,97.0,366998,311236,391350,335455,4251.0,,390507,50483,1083117,2001539,918422,918325,527818,,330928,,0.94,0.94,81839,366998,440990,,,572.0,0.0,17439.0,,189,1639,,4251.0,,,8600.0,,2000326.0,1991726,,-24352,-24219
2015-03-03,4,2014,,2514,0.0,61153,,170975,97772,,64891,,2257,3.61,3.61,68885,,,,,,283537,1481.0,,-13470,,,499673,2014年度,-2054.0,1402910,1467801,1490052,1554461,14963.0,0.0,1431705,254742,4164452,7686322,3521870,3523924,2092219,283537.0,1264189,,3.55,3.55,328357,1402910,1686447,,,537.0,0.0,112590.0,,535,6440,,14963.0,4164452.0,4164452.0,42717.0,7729039.0,7729039.0,7686322,,-87142,-86660
2015-05-11,1,2015,,2398,,-6502,,-25584,18863,9824.0,-2709,,-470,0.59,0.59,0,10787.0,,,-1350.0,-2709.0,56209,,2809.0,-2809,,4263.0,98989,2015年第1季,,221746,219037,245649,243036,11184.0,,287498,-9543,900812,1684408,783596,782246,494748,,314672,,0.58,0.58,81087,221746,277955,,,,2454.0,,,13,1239,,11184.0,,,,,,1674584,,-23903,-23999
2015-08-03,2,2015,,15,,-22146,,-50847,45670,23434.0,-22535,,-389,0.38,0.38,0,14949.0,,,702.0,-22535.0,35191,,-3607.0,3607,,0.0,78338,2015年第2季,,144668,122133,160184,137720,11378.0,,181665,-1806,876559,1518842,642283,642985,461320,,303183,,0.38,0.38,79799,144668,179859,,0.0,,97.0,8306.0,26101.0,236,-6613,,11378.0,,,,,,1495408,,-15516,-15587
2015-11-06,3,2015,,3513,,-48937,,43342,20018,7664.0,-46684,,2253,0.57,0.57,49250,,,,-58.0,-46684.0,49079,,-4622.0,4622,0.0,0.0,78185,2015年第3季,,215295,168611,236317,189153,12336.0,,196794,67580,999274,1682834,683560,683502,486708,,331417,,0.56,0.56,77106,215295,264374,,,0.0,97.0,888.0,2972.0,402,12122,,12336.0,,,,,,1675170,,-21022,-20542
2016-03-10,4,2015,-5963.0,7839,0.0,-37829,0.0,-52652,105635,,-15316,,759,1.98,1.98,24095,,,,,-9353.0,172764,,,11046,,27717.0,348288,2015年度,1804.0,738946,723630,824777,809409,52796.0,,848884,62826,3789609,6605099,2815490,2813686,1964802,,1303143,-5963.0,1.95,1.95,313371,738946,911710,,,0.0,2713.0,9194.0,29073.0,1203,6480,,52796.0,,,,,,6605099,,-85831,-85779
2016-05-06,1,2016,,38,,76395,,-32273,13125,,60231,,-984,0.26,0.26,0,8027.0,,,0.0,60231.0,22077,,-13104.0,13104,,-15180.0,66552,2016年01月01日至2016年03月31日,-632.0,90159,150390,109652,170201,22023.0,,118679,-6443,834138,1399790,565652,566284,447605,,308893,,0.26,0.26,72160,90159,112236,,,,97.0,,,399,-2088,,22023.0,,,,,,1399790,,-19493,-19811
2016-08-05,2,2016,,3325,,-109336,,-28092,22608,,-117770,,-160,0.33,0.33,470,0.0,,,-1190.0,-117770.0,29362,,-3631.0,3631,,-8274.0,72580,2016年第2季,,120342,2572,138212,20418,23961.0,,151979,-2275,919070,1551786,632716,631526,479547,,332021,,0.33,0.33,74946,120342,149704,,0.0,,97.0,0.0,0.0,422,-1179,,23961.0,,,,,,1551786,,-17870,-17846
2016-11-04,3,2016,,783,,57713,,-50192,21072,,56686,,-1027,0.58,0.58,0,26786.0,,,2236.0,56686.0,53600,,2137.0,-2137,,0.0,91207,2016年第3季,,228021,284707,243429,300292,19768.0,,313474,-31853,1148105,1959788,811683,813919,500445,,338650,,0.58,0.58,70588,228021,281621,,,,97.0,1531.0,0.0,596,0,4289.0,19768.0,,,,,,1959788,,-15408,-15585
