date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,46391,7117,230.0,89640,,1.92,1.92,,,177858,108000.0,-10860,,242080,2013年01月01日至2013年03月31日,,1477200,1566840,1482427,1572067,1676548,-21490,2867567,4923362,2055795,2055795,379477,,,1.85,1.85,137397,1477200,1655058,,18360.0,,64138,-5227,-5227
2013-08-14,2,2013,,,-18079,8075,-31258.0,53120,,2.98,2.98,,,383438,64000.0,-65229,,400790,2013年04月01日至2013年06月30日,,2293645,2346765,2297034,2350154,2816380,-139297,4438081,7817063,3378982,3378982,531344,,,2.88,2.88,130554,2293645,2677083,,10880.0,,64064,-3389,-3389
2013-11-12,3,2013,,,-22494,12742,0.0,-35690,,1.3,1.3,,,88824,-43000.0,-36883,,201168,2013年07月01日至2013年09月30日,,995760,960070,1001272,965582,1144914,-60330,2204787,3704585,1499798,1499798,354884,,,1.25,1.25,153716,995760,1084584,,-7310.0,,13695,-5512,-5512
2014-03-28,4,2013,,,-109099,37897,-31028.0,179280,15000.0,8.66,8.66,,,1038419,201000.0,11497,,1252308,2013年01月01日至2013年12月31日,,6675629,6854909,6694437,6873717,7906527,-192479,15255847,25117622,9861775,9861775,1924220,,0.0,8.38,8.38,671912,6675629,7714048,,36720.0,,132774,-18808,-18808
2014-05-13,1,2014,,,14443,10897,0.0,-33034,-23000.0,1.42,1.42,,,234924,-16800.0,-88971,,233074,2014年01月01日至2014年03月31日,,1181539,1148505,1185914,1152880,1489349,-72886,2728362,4623567,1895205,1895205,405856,,,1.35,1.35,172782,1181539,1416463,,-6766.0,,9255,-4375,-4375
2014-08-14,2,2014,,,-224465,19361,0.0,-94745,-46150.0,0.19,0.19,,,637615,-68000.0,-19893,,195818,2014年第2季,,155181,60436,159722,64977,1037889,-245093,2208640,3568653,1360013,1360013,322124,,,0.19,0.19,126306,155181,792796,,-19405.0,,20096,-4541,-4541
2014-11-13,3,2014,,,-15543,19092,483027.0,128533,63860.0,0.97,0.97,,,267544,91000.0,-65278,,115321,2014年第3季,,797907,926440,808495,937028,1144708,-79257,1607066,2514936,907870,907870,246189,,,0.95,0.95,130868,797907,1065451,,26327.0,,17528,-10588,-10588
2015-03-30,4,2014,,,-257319,117914,523476.0,188877,76714.0,5.99,5.99,59704.0,,1124439,145800.0,479152,,854100,2014年度,,4977083,5165960,5006639,5195524,5860163,241359,11028415,17824201,6795786,6855490,1518803,,5049.0,5.86,5.86,664703,4977083,6101522,,38686.0,,98388,-29556,-29564
2015-05-14,1,2015,,,-22493,18237,,-55215,-24884.0,1.74,1.74,,-55215.0,380573,,114971,-41640.0,313958,2015年01月01日至2015年03月31日,,1455646,1400431,1455325,1400110,1790242,45977,4343112,6590083,2246971,2246971,456729,,,1.69,1.69,142771,1455646,1836219,,,-11309.0,64738,321,321
2015-08-13,2,2015,,,-15485,47758,,-84280,-36846.0,2.46,2.46,,-84280.0,563157,,374283,-64696.0,403466,2015年第2季,,2051914,1967634,2051352,1967072,2265952,349119,5502947,8442274,2939327,2939327,673375,,,2.35,2.35,269909,2051914,2615071,,,-17262.0,57437,562,562
