date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,財務成本淨額,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,1729.0,6322,15297,7639.0,131171.0,131171,7658.0,3445.0,,0.72,,,16145,1426,,79470,2013年01月01日至2013年03月31日,,51008,182179,51015,181368,47553,19600,1127837,1430571,302734,302734,255181,51751,0.72,123960,51008,67153,,,0.0,,8051.0,3445,1127837.0,4098,,1456697,1430571,22028,-7,811
2013-08-08,2,2013,,,-11310.0,19699,17902,0.0,73624.0,73624,8312.0,3943.0,,1.14,1537.0,,17170,2464,,88158,2013年04月01日至2013年06月30日,,90916,164540,89140,162289,71964,36122,1322542,1656499,333957,333957,261993,67296,1.14,106539,90916,108086,9590.0,,0.0,,6852.0,3943,1322542.0,10221,,1683398,1656499,16678,1776,2251
2013-11-08,3,2013,,,-201.0,534,5985,,-49211.0,-49211,5985.0,6620.0,,1.6,286.0,,36605,180,,91650,2013年07月01日至2013年09月30日,,124680,75469,124680,75774,161206,79,1486783,1946565,459782,459782,298576,84862,1.59,122064,124680,161285,0.0,,0.0,,47.0,6620,1486783.0,294,,1977540,1946565,30681,0,-305
2014-03-24,4,2013,,,,78039,37285,0.0,249249.0,249249,27625.0,22360.0,,5.87,,,152777,7231,,352168,2013年01月01日至2013年12月31日,,460142,709391,458391,706124,512724,100195,5702739,7313090,1610351,1610351,1097627,269847,5.86,475612,460142,612919,9660.0,,0.0,,,22360,5702739.0,21006,,7424384,7313090,90288,1751,3267
2014-05-08,1,2014,,,,1186,4798,0.0,-26287.0,-26287,4798.0,8884.0,,1.62,,,42954,-3701,,81647,2014年01月01日至2014年03月31日,,126583,100296,126565,100417,176138,-6601,1495845,1924954,429109,429109,252971,45442,1.62,125882,126583,169537,,,0.0,,,8884,1495845.0,4789,1947420.0,1947420,1924954,17677,18,-121
2014-08-08,2,2014,,,,-2751,8611,,-87936.0,-87936,,,,2.14,,,64543,9,,77212,2014年第2季,,167836,79900,167230,79784,234883,-2504,1699465,2177667,478202,478202,243319,50797,2.14,115310,167836,232379,,,0.0,,,8373,,-3493,,2212931,2177667,38757,606,116
2014-11-06,3,2014,,,,-8240,3543,,170652.0,170652,,,,1.75,,,56005,-519,,69428,2014年第3季,,148005,318657,148012,317838,215783,-11773,1523379,1991398,468019,468019,252236,58531,1.75,124277,148005,204010,,,0.0,,,6557,,-4641,,2011278,1991398,24521,-7,819
2015-03-20,4,2014,,,,-9809,22339,0.0,225284.0,225284,19042.0,26303.0,,7.78,,,256154,-3454,,319394,2014年度,,633344,858628,632734,857024,906725,-17227,6489038,8404236,1915198,1915198,1008473,202017,7.76,487062,633344,889498,3297.0,,0.0,,,26303,6489038.0,-1403,,8506444,8404236,103611,610,1604
2015-05-08,1,2015,-61669.0,-61669.0,,13589,5372,,,-61669,,,,2.18,,,54741,-161,,67012,2015年01月01日至2015年03月31日,,182322,120653,182373,121017,223282,13781,1459718,1928365,468647,468647,245365,44819,2.17,133534,182322,237063,,0.0,,,,5019,,3575,,1959783,1928365,27843,-51,-364
2015-08-07,2,2015,-89312.0,-89312.0,,26050,6061,,,-94488,,5342.0,-5176.0,2.28,,-5176.0,49097,-5310,,88844,2015年第2季,,191051,96563,191095,99573,218689,21459,1559144,2027966,468822,468822,250133,48159,2.27,113130,191051,240148,,0.0,,0.0,,5342,,-1907,,2057786,2027966,31727,-44,-3010
2015-11-06,3,2015,249008.0,249008.0,,11586,8051,,,237277,,5656.0,-11731.0,2.14,,-11731.0,53620,2099,,65263,2015年第3季,,180366,417643,179241,415824,217906,16080,1590233,2076250,486017,486017,268111,59400,2.13,143448,180366,233986,,0.0,,0.0,,5656,,3014,,2101583,2076250,22319,1125,1819
2016-03-21,4,2015,-40547.0,-40547.0,,68207,25748,,,-55328,25079.0,21324.0,-14781.0,9.04,,-14781.0,243335,1219,,306450,2015年度,243335.0,753334,698006,757974,707834,922819,73850,6293923,8269248,1975325,1975325,1052506,203673,9.02,542383,753334,996669,669.0,0.0,,0.0,,21324,6293923.0,20136,,8386950,8269248,97566,-4640,-9828
2016-05-09,1,2016,-100386.0,-100386.0,,-14539,6253,,,-98246,,6692.0,2140.0,2.25,,2140.0,54493,3031,,89002,2016年01月01日至2016年03月31日,,180001,81755,188327,91509,246441,-11947,1346351,1881133,534782,534782,288341,49827,2.24,149512,180001,234494,,0.0,,0.0,,6692,,15815,,1911843,1881133,14895,-8326,-9754
2016-08-11,2,2016,-184972.0,-184972.0,,-16308,7615,,,-204529,,7143.0,-20579.0,1.71,,-19557.0,34124,-5069,1022.0,79908,2016年第2季,,132772,-71757,143473,-47369,187801,-20905,1325625,1798574,472949,472949,285148,50110,1.71,155130,132772,166896,,0.0,,0.0,,7143,,829,,1821117,1798574,21714,-10701,-24388
2016-11-07,3,2016,-206601.0,-206601.0,,-17529,5639,,,-216954,,7768.0,-11452.0,1.76,,-10353.0,59477,-1646,1099.0,84164,2016年第3季,,134362,-82592,147282,-59346,215143,-21304,1338435,1848677,510242,510242,295099,50981,1.75,159954,134362,193839,,0.0,,0.0,,7768,,10329,,1902068,1848677,43062,-12920,-23246
