date,season,year,不重分類至損益之項目總額,什項支出,停業單位損益合計,停業單位稅後損益,備供出售金融資產未實現評價損益,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他營業收入,其他營業收入淨額,其他綜合損益（淨額）,利息費用,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,客房收入,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,旅遊服務收入合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,育樂收入淨額,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,財務成本淨額,遊樂收入,遞延所得稅費用（利益）,重估增值,銷貨成本合計,銷貨收入合計,銷貨收入淨額,非控制權益（綜合損益）,餐旅服務收入淨額,餐飲收入
2013-05-08,1,2013,,,,,,,-532,4302,,,-12.0,,,-12.0,-0.13,,,,,,0,,579,,,,,2013年01月01日至2013年03月31日,,-42352,-42364,-42352,-42364,-26651,-15701,443355,667080,223725,223725,250376,,,,,-42352,-42352,,0.0,,,,,20050,,,,,,,,,
2013-08-13,2,2013,,,,,,,-4498,18609,,,-3.0,,,-3.0,-0.22,,,,,,-8,,877,,,,,2013年04月01日至2013年06月30日,,-71574,-71577,-71574,-71577,-66946,-4636,335579,555556,219977,219977,286923,,,,,-71574,-71582,,0.0,,,,,19624,,,,,,,,,
2013-11-13,3,2013,,,,,,,-3536,22869,,,8.0,,,8.0,-0.18,,,,,,-4,,2928,,,257418.0,,2013年07月01日至2013年09月30日,,-59179,-59171,-59179,-59171,-59293,110,425268,623393,198125,198125,257418,,,,,-59179,-59183,,0.0,,,,,22151,,,,,,,,,
2014-03-27,4,2013,,,,,-8.0,,42594,42333,,,214.0,,,222.0,-0.42,,,,,,140,,6205,,,0.0,,2013年01月01日至2013年12月31日,,-138945,-138731,-138945,-138731,-151086,12281,1575108,2480924,905816,905816,1056902,,,,1056902.0,-138945,-138805,,0.0,,,,,78851,,,,,,,,,
2014-05-09,1,2014,,,,,,,-1420,2798,,,0.0,,,0.0,-0.11,,,,,,-398,,2048,,,282902.0,,2014年01月01日至2014年03月31日,,-35096,-35096,-35096,-35096,-20018,-15476,351591,614475,262884,262884,282902,,,,,-35096,-35494,,0.0,,,,,18902,,,,,,,,,
2014-08-08,2,2014,,,,,,,-10187,3202,,,0.0,,,0.0,-0.2,,,,,,482,,1063,,,198149.0,,2014年第2季,,-67435,-67435,-67435,-67435,-42393,-24560,521032,676788,155756,155756,198149,,,,,-67435,-66953,,0.0,,,,,18638,,,,,,,,,
2014-11-11,3,2014,,,,,,,4266,-307,,,0.0,,,0.0,0.13,,,,,,-92,,1970,,,261854.0,,2014年第3季,,42231,42231,42231,42231,54542,-12403,494434,810830,316396,316396,261854,,,,,42231,42139,,0.0,,,,,18332,,,,,,,,,
2015-03-26,4,2014,,,,,0.0,,88553,31301,,,0.0,,,0.0,0.19,,,,,,-114,,6310,,,934015.0,,2014年度,,64016,64016,64016,64016,13618,50284,1913916,2861549,947633,947633,934015,,,,,64016,63902,,0.0,,,,,75880,,,,,,,,,
2015-05-12,1,2015,,48576.0,232875.0,,,,-41037,7260,,,,18972.0,,,0.67,-0.03,10.0,10.0,,,2584,,2861,,,207057.0,,2015年01月01日至2015年03月31日,2584.0,222496,222496,222496,222496,42093,-49888,491373,740523,249150,249150,207057,,0.67,-0.03,,-10379,-7795,,,,,7539.0,0.0,18972,,,,491373.0,,,,,
2015-08-11,2,2015,,,0.0,,,,-1756,7807,,,,19061.0,,,-0.03,-0.03,,,,,-106,,2517,,,247400.0,,2015年第2季,0.0,-9620,-9620,-9620,-9620,767,-10493,409830,657997,248167,248167,247400,,-0.03,-0.03,,-9620,-9726,,,,,,,19061,,-106.0,,409830.0,,,,,
2015-11-11,3,2015,,,0.0,,,0.0,-1684,7740,,,,,,,0.07,0.07,,,,,-109,,3845,,,259664.0,,2015年第3季,,23451,23451,23451,23451,31924,-8582,461804,753392,291588,291588,259664,,0.07,0.07,,23451,23342,,,,,,,18483,,,,,,,0.0,,
2016-03-29,4,2015,-4053.0,,232875.0,232875.0,,,-50617,32914,195868.0,195868.0,-3076.0,,0.0,,0.35,-0.35,,,955793.0,977.0,4278,11704.0,11704,977.0,977.0,1141259.0,2736262.0,2015年度,0.0,115777,112701,115777,112701,-35719,-77101,1826590,2932130,1105540,1105540,1141259,-4053.0,0.35,-0.35,,-117098,-112820,542408.0,,0.0,0.0,,,71102,542408.0,4278.0,0.0,,0.0,0.0,,2193854.0,1238061.0
2016-05-12,1,2016,,,0.0,0.0,,,-480,5610,54810.0,54810.0,-925.0,,,,-0.21,-0.21,,,283422.0,-925.0,-130,3133.0,3133,-925.0,-925.0,259275.0,714060.0,2016年01月01日至2016年03月31日,,-68874,-69799,-68874,-69799,-55914,-13090,565509,768870,203361,203361,259275,,0.0,0.0,,-68874,-69004,103330.0,,,,,,21353,103330.0,-130.0,,,,,,610730.0,327308.0
2016-08-11,2,2016,,,0.0,0.0,,,-98,5364,60698.0,60698.0,871.0,,,,-0.39,-0.39,,,284292.0,871.0,-58,1305.0,1305,871.0,871.0,257890.0,674238.0,2016年第2季,,-128794,-127923,-128794,-127923,-114026,-14826,591072,734936,143864,143864,257890,,0.0,0.0,,-128794,-128852,105580.0,,0.0,,,,21397,105580.0,-58.0,,,0.0,0.0,,568658.0,284366.0
2016-11-10,3,2016,,,0.0,0.0,,,-4197,5012,78713.0,78713.0,0.0,,,,-0.29,-0.29,,,289107.0,0.0,188,2589.0,2589,0.0,0.0,281237.0,769562.0,2016年第3季,,-98238,-98238,-98238,-98238,-80427,-17623,647465,848275,200810,200810,281237,,0.0,0.0,,-98238,-98050,173696.0,,0.0,,,,21027,173696.0,188.0,,,0.0,0.0,,595866.0,306759.0
