date,season,year,不動產、廠房及設備減損損失,不動產、廠房及設備減損迴轉利益,不動產、廠房及設備重估價利益,不動產、廠房及設備重估價損失,不重分類至損益之項目總額,什項支出,代理業收入（海陸運輸業適用）,佣金支出,佣金收入,保全費,保證合約損失,倉儲成本,倉儲收入,停工損失,停業單位損益合計,停業單位稅後損益,停業單位資產或處分群組按公允價值減出售成本衡量損益（稅後）,停業單位資產或處分群組處分損益（稅後）,備供出售金融資產未實現評價損益,債息收入,公允價值調整利益－投資性不動產,公允價值調整損失－投資性不動產,共同控制下前手權益（綜合損益）,其他利息收入,其他利益及損失淨額,其他勞務成本,其他勞務收入,其他勞務收入折讓,其他勞務收入淨額,其他手續費收入,其他收入合計,其他收入－其他,其他收益,其他收益及費損淨額,其他減損損失,其他減損迴轉利益,其他營業成本,其他營業收入,其他營業收入折讓,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,其他費損,其他餐旅服務成本,其他餐旅服務收入,出售門票成本,分期付款銷貨收入,利息收入,利息收入合計,加工成本,加工收入,加工收入折讓,加工收入淨額,勞務成本,勞務收入,勞務收入合計,勞務收入折讓,勞務收入淨額,呆帳損失,商品成本,商品收入,國外營運機構淨投資避險,國外營運機構淨投資避險無效而認列於損益之利益,國外營運機構淨投資避險無效而認列於損益之損失,國外營運機構財務報表換算之兌換差額,地產出售成本,地產出售收入（開發投資公司適用）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,場站及運務成本,壞帳轉回利益,外幣兌換利益,外幣兌換損失,天然氣銷貨成本（天然氣業）,天然氣銷貨收入（天然氣業）,委託研究費,客房成本,客房收入,專櫃銷貨成本（百貨業適用）,專櫃銷貨收入（百貨業適用）,工程成本,工程收入,工程收入淨額,工程收入退回及折讓,已實現銷貨（損）益,廉價購買利益,待出售非流動資產減損損失,待出售非流動資產減損迴轉利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,手續費支出合計,手續費收入合計,技術服務收入,技術服務收入折讓,技術服務收入淨額,技術服務費用,投資性不動產減損損失,投資性不動產減損迴轉利益,投資損失,投資損失合計,投資支出（投資公司適用）合計,投資收入合計,投資收入（投資公司適用）合計,折舊及折耗,拆併櫃收入（海陸運輸業適用）,持有至到期日金融資產利息收入,按攤銷後成本衡量之金融負債利益,按攤銷後成本衡量之金融負債損失,按攤銷後成本衡量之金融資產利息收入,採用權益法之關聯企業及合資利益之份額,採用權益法之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,採用權益法認列之關聯企業及合資之其他綜合損益之份額－其他,採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）,採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,採用權益法認列之關聯企業及合資之其他綜合損益之份額－現金流量避險中屬有效避險部分之避險工具利益（損失）,採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,採用權益法認列之關聯企業及合資之其他綜合損益之份額－與待出售非流動資產直接相關之權益,採用權益法認列之關聯企業及合資之其他綜合損益之份額－透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）,採用權益法認列之關聯企業及合資之其他綜合損益之份額－重估增值,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,探勘及評估資產減損損失,探勘及評估資產減損迴轉利益,推銷費用合計,旅客服務成本,旅遊服務成本（觀光飯店業適用）合計,旅遊服務收入合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,標準成本差異合計,權利金收入,權益工具投資之利益（損失）,歸因於所規避風險之被避險項目之利益－公允價值避險,歸因於所規避風險之被避險項目之損失－公允價值避險,歸墊收入,母公司業主（淨利／損）,母公司業主（綜合損益）,沖銷逾期應付款利益,海運成本,海運收入（海陸運輸業適用）,減損損失合計,減損迴轉利益合計,漁業作業費用,漁貨銷售費用,無形資產減損損失,無形資產減損迴轉利益,無形資產重估價利益,無形資產重估價損失,無活絡市場債券投資利息收入,營建工程成本合計,營建工程收入合計,營建成本,營建收入,營建收入退回及折讓,營建收入（營建業適用）淨額,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險有效而自權益轉列之利益,現金流量避險有效自權益轉列之損失,現金流量避險無效而認列於損益之利益,現金流量避險無效而認列於損益之損失,生物資產減損損失,生物資產減損迴轉利益,生物資產當期公允價值減出售成本之變動之利益,生物資產當期公允價值減出售成本之變動之損失,由信託及受託活動產生之手續費收益,由信託及受託活動產生之手續費費損,由按攤銷後成本衡量之金融資產產生之手續費收益,由攤銷後成本衡量之金融資產產生之手續費費損,當期原始認列生物資產之利益,當期原始認列生物資產之損失,當期所得稅費用（利益）,直接人工差異合計,直接人工效率差異,直接人工費率差異,直接原料價格差異,直接原料差異合計,直接原料數量差異,研究發展費用,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本,租賃成本合計,租賃收入,租賃收入合計,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,空中營業成本,空中營業收入,空運成本,空運收入（航空業適用）,管理費收入（證券投資信託業適用）,管理費用合計,維修成本,維修收入,維修收入折讓,維修收入淨額,網路服務費,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,育樂成本合計,育樂收入折讓,育樂收入淨額,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資性不動產利益,處分投資性不動產損失,處分投資損失,處分無形資產利益,處分無形資產損失,虧損性合約損失,裝置成本,裝置收入,裝置收入折讓,裝置收入淨額,製造費用差異合計,製造費用效率差異,製造費用數量差異,製造費用用款差異,設計成本,設計收入,負債性特別股股息,財務成本淨額,貨櫃場作業收入,賠償損失,進出口費用,遊樂成本,遊樂收入,運輸成本（海陸運輸業、航空業適用）合計,運輸收入折讓,運輸收入淨額,違約金收入,遞延所得稅費用（利益）,避險工具之利益－公允價值避險,避險工具之損失－公允價值避險,酬勞收入,重估價之利益（損失）,金融資產減損損失,金融資產減損迴轉利益,金融資產重分類利益,金融資產重分類損失,金融資產重分類淨損益,金融資產（負債）出售淨利益,金融資產（負債）出售淨損失,銀行存款利息,銷售費收入（證券投資信託業適用）,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,門票收入,除列按攤銷後成本衡量之金融資產之利益,除列按攤銷後成本衡量之金融資產之損失,除列按攤銷後成本衡量金融資產淨損益,陸運成本,陸運收入（海陸運輸業適用）,電信成本（電訊網路業）,電話及電報成本,電話及電報收入,非以透過損益按公允價值衡量之金融負債所產生之手續費收益,非以透過損益按公允價值衡量之金融負債所產生之手續費費損,非控制權益（淨利／損）,非控制權益（綜合損益）,餐旅服務成本合計,餐旅服務收入折讓,餐旅服務收入淨額,餐飲成本,餐飲收入
2013-11-11,3,2013,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1847,0,301,0,301,0,33402,28772,0,0,0,0,0,29413,0,29413,0,-8600,0,0,0,0,0,0,4630,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,-8600,0,0,2.99,2.99,0,0,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210575,0,0,0,2013年07月01日至2013年09月30日,0,199428,190828,0,0,0,0,0,0,199428,190828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188876,31661,112809,622249,509440,509440,320564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54984,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,109989,0,0,0,0,0,199428,220537,0,0,0,,0,,0,0,96,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3588,0,0,0,0,0,0,0,0,0,-33875,0,0,0,0,0,0,0,0,0,0,0,4630,0,112809,112809,0,592535,592535,592535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-12,4,2013,,,,,,,,,,,,,,,,,,,,,,,,,15337,,,,,,53192,,,,,,,,,,,60780,,,,,,,,,,,,,,,,,,,,,,,64152,,,10.25,,,,,,,,,,,,,,,,,,,,,,173729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839423,,,,2013年01月01日至2013年12月31日,,693228,754008,,,,,,,693228,754008,,,,,,,,,,,,,,,,,,,811426,55531,583234,2701472,2118238,2118238,1306812,,,,,,,,,,,,,,,,,,,,,,,,,,-3372,,,,,,10.24,,,,,,,467389,,,,,,693228,866957,,,,,0,,,,,,,,,,,,,,,,,,,,,,,12998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-09,1,2014,,,,,,,,,,,,,,,,,,,,,,,,,-11600,,,,,,31058,,,,,,,,,,,-20631,,,,,,,,,,,,,,,,,,,,,,,-20631,,,2.41,2.41,,,,,,,,,,,,,,,,,,,,,67596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232962,,,,2014年01月01日至2014年03月31日,,182700,162069,,,,,,,182700,162069,,,,,,,,,,,,,,,,,,,237367,12929,130826,721126,590300,590300,352933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41,2.41,,,,,,119971,,,,,,182700,250296,,,,,,,,,,,,,,,,,,,,,,,,,,,,6529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-11,3,2014,,,,,,,,,,,,,,,,,,,,,,,,,10843,,,,,,11238,,,,,,,,,,,71793,,,,,,,,,,,,,,,,,,,,,,,71793,,,2.21,2.21,,,,,,,,,,,,,,,,0,,,,,56124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251149,,,,2014年第3季,0,175551,247344,,,,,,,175551,247344,,,,,,,,,,,,,,,,,,,213269,18406,126342,719995,593653,593653,380384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,2.21,,,,,,129235,,,,,,175551,231675,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-12,4,2014,,,,,,,,,,,,,,,,,,,,,,,,,4925,,,,,,130489,,,,,,,,,,,76529,,,,,,,,,,,,,,,,,,,,,,,74622,,,9.51,9.51,,,,,,,,,,,,,,,,0,,,,,241444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083978,,,,2014年度,0,755837,832366,,,,,,,755837,832366,,,,,,,,,,,,,,,,,,,877892,119389,591535,3071369,2479834,2479834,1601942,,,,,,,,,,,,,,,,,,,,,,,,,,1907,,,,,,9.50,9.50,,,,,,517964,,,,,,755837,997281,,,,,0,,,,,,,,,,,,,,,,,,,,,,,16025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-11,2,2015,,,,,,,,,,,,,,,,,,,,,,,,,3934,,,,,,9251,,,,,,,,,,,-45077,,,,,,,,,,,,,,,,,,,,,,,-45077,,,2.98,2.98,,,,,,,,,,,,,,,,,,,,-45077,56059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,,,342825,,,,2015年第2季,,236758,191681,,,,,,,236758,191681,,,,,,,,,,,,,,,,,,,279346,13471,234258,991833,757575,757575,478229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98,2.98,,,,,,135404,,,,,,236758,292817,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-12,3,2015,,,,,,,,,,,,,,,,,,,,,,,,,17013,,,,,,40408,,,,,,,,,,,132667,,,,,,,,,,,,,,,,,,,,,,,132667,,,4.11,4.11,,,,,,,,,,,,,,,,,,,,132667,86576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-833,,,362667,,,,2015年第3季,,326584,459251,,,,,,,326584,459251,,,,,,,,,,,,,,,,,,,356572,56588,296658,1137258,840600,840600,484028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.10,4.10,,,,,,121361,,,,,,326584,413160,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-04,4,2015,,,,,-245,,,,,,,,,,,,,,,,,,,,2520,,,,,,73348,,,,,,,,,,,-30516,,,,,,,,,,,,,,,,,,,,,,,-30271,,,14.68,14.68,,,,,,,,,,,,,,,,,,,,-30271,274562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3981,,-3981,,,1376950,,,,2015年度,,1167087,1136571,,,,,,,1167087,1136571,,,,,,,,,,,,,,,,,,,1371183,70466,1055728,4394264,3338536,3338536,1967353,,,,,,,,,,,,,,,,,,,,,,,,,-245,,,,,,,14.63,14.63,,,,,,590403,,,,,,1167087,1441649,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,1421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-12,1,2016,,,,,,,,,,,,,,,,,,,,,,,,,-1570,,,,,,7605,,,,,,,,,,,-36597,,,,,,,,,,,,,,,,,,,,,,,-36597,,,4.07,4.07,,,,,,,,,,,,,,,,,,,,-36597,105423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1090,,,274504,,,,2016年01月01日至2016年03月31日,,323889,287292,,,,,,,323889,287292,,,,,,,,,,,,,,,,,,,428646,666,269696,1102806,833110,833110,404464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07,4.07,,,,,,129960,,,,,,323889,429312,,,,,,0,,,,,,,,,,,,,,,,,,,,,,4279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-12,2,2016,,,,,,,,,,,,,,,,,,,,,,,,,-5598,,,,,,37727,,,,,,,,,,,-81677,,,,,,,,,,,,,,,,,,,,,,,-81677,,,1.93,1.93,,,,,,,,,,,,,,,,,,,,-81677,56049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-874,,,318519,,,,2016年第2季,,153591,71914,,,,,,,153591,71914,,,,,,,,,,,,,,,,,,,182684,26956,109025,729769,620744,620744,438060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.93,,,,,,119541,,,,,,153591,209640,,,,,,0,,,,,,,,,,,,,,,,,,,,,,4299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
