date,season,year,不重分類至損益之項目總額,停業單位損益合計,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他營業收入淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,金融資產重分類淨損益,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,0.0,,,5455,4247,,0.0,4705.0,3462.0,3462.0,0.37,,,,35391,,-1138,,2013年01月01日至2013年03月31日,,181412,184874,177295,180906,210917,5886,1449024,1759805,310781,310781,99864,,,0.37,,99864.0,181412,216803,,,,2678,,1449024.0,,,1755100,,4117,3968
2013-08-12,2,2013,,0.0,,,55480,16744,16744.0,,4764.0,400.0,400.0,0.48,,,,74114,,-1543,,2013年04月01日至2013年06月30日,,235315,235715,230891,233871,241218,68211,1442684,1801727,359043,359043,117825,,,0.48,,,235315,309429,,,,2470,,1442684.0,1796963.0,1796963.0,1796963,,4424,1844
2013-11-06,3,2013,,0.0,,,-11170,15379,,,4715.0,-2208.0,-2208.0,0.55,,,,51940,,2832,,2013年07月01日至2013年09月30日,,267028,264820,263604,261372,314748,4220,1552846,1973665,420819,420819,106071,,,0.55,,,267028,318968,,,,2821,,1552846.0,,,1968950,,3424,3448
2014-03-24,4,2013,,,,,-11733,55995,,,18864.0,19353.0,32271.0,1.83,,,,219789,7411.0,-328,,2013年01月01日至2013年12月31日,,902691,922044,882936,917481,1089333,33147,6005761,7548614,1542853,1542853,453520,,-13295.0,1.82,,,902691,1122480,,7034.0,,10787,,6005761.0,,,7529750,,19755,4563
2014-05-12,1,2014,,,,,1332,3394,,0.0,,-624.0,-624.0,0.43,,,,43144,0.0,-158,,2014年01月01日至2014年03月31日,,212900,212276,208856,208856,253969,2075,1526241,1890572,364331,364331,110362,,,0.43,,110362.0,212900,256044,,,,2493,,,,,1890572,,4044,3420
2014-08-14,2,2014,,0.0,,,-793,10483,10483.0,,,0.0,0.0,0.49,,0.0,,62576,0.0,512,,2014年第2季,0.0,238779,238779,235095,235095,293126,8229,1606537,2005741,399204,399204,106078,,,0.49,,,238779,301355,,,,1973,0.0,1606537.0,,,2005741,0.0,3684,3684
2014-11-06,3,2014,,0.0,,,414,11398,11398.0,,,896.0,896.0,0.59,,0.0,,59886,0.0,661,,2014年第3季,0.0,289879,290775,285840,286736,339814,9951,1697883,2150988,453105,453105,113291,,,0.59,,,289879,349765,,,,2522,,1697883.0,,,2150988,,4039,4039
2015-03-12,4,2014,,,,,13485,31446,,,23566.0,-666.0,1955.0,2.05,2.05,0.0,,218002,5242.0,1537,,2014年度,0.0,1002174,1001508,990119,990077,1183398,36778,6559232,8207929,1648697,1648697,465299,,-8515.0,2.04,2.04,465299.0,1002174,1220176,,-652.0,,9690,,6559232.0,,,8184363,,12055,11431
2015-05-13,1,2015,,,,,57,4054,,,,0.0,0.0,0.55,,,0.0,55729,,-141,,2015年01月01日至2015年03月31日,,266124,266124,265881,265881,320502,1351,1591556,2021865,430309,430309,109807,,,0.55,,109807.0,266124,321853,,,,2619,,,,,2021865,,243,243
2015-08-13,2,2015,,,549.0,549.0,246390,6494,,,3840.0,0.0,0.0,0.89,,,0.0,159493,,61,,2015年第2季,,433745,433745,432246,432246,342433,250805,1740705,2206825,466120,466120,123687,,,0.89,,,433745,593238,,,,2140,,1740705.0,,,2202985,,950,950
2015-11-12,3,2015,,,0.0,0.0,160,14486,14486.0,,10280.0,0.0,0.0,0.66,,0.0,0.0,64146,,-701,0.0,2015年第3季,0.0,321431,321431,321125,321125,373642,11935,1840085,2332651,492566,492566,118924,,,0.66,,,321431,385577,,,,2010,,1840085.0,,,2322371,,306,306
2016-03-25,4,2015,-51120.0,,2934.0,2934.0,249252,30102,30102.0,,23868.0,-52718.0,0.0,2.75,,0.0,-1598.0,343499,,-661,-1598.0,2015年度,0.0,1334321,1281603,1326821,1274269,1408880,268940,7134091,9047344,1913253,1913253,504373,-61590.0,,2.74,,,1334321,1677820,-10470.0,,0.0,9753,,7134091.0,,,9023476,,4566,4400
2016-05-12,1,2016,,,0.0,0.0,41146,7400,7400.0,,3689.0,,,0.71,,0.0,,77265,,-149,,2016年01月01日至2016年03月31日,0.0,341727,341727,341262,341262,372813,46179,1798515,2277398,478883,478883,106070,,,0.7,,,341727,418992,,,,2218,,1798515.0,,,2273709,,465,465
2016-08-11,2,2016,,,0.0,0.0,59290,17684,17684.0,,3214.0,,,0.85,,0.0,,89659,,901,,2016年第2季,0.0,412844,412844,412033,412033,427886,74617,1809873,2318985,509112,509112,81226,,,0.85,,,412844,502503,,,,3258,,1809873.0,,,2315771,,811,811
2016-11-10,3,2016,,,0.0,0.0,-700,5540,5540.0,,2550.0,,,0.54,,0.0,,60596,,-150,,2016年第3季,0.0,263737,263737,263396,263396,324340,-7,1931659,2354243,422584,422584,98244,,,0.54,,,263737,324333,,,,4697,,1931659.0,,,2351693,,341,341
