date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,676299,273181,78371,1291932,611049,1.49,1.49,,265092,,4584.0,-20205,,568508,2013年01月01日至2013年03月31日,993442,2285374,954472,2185379,952761,305773,14630320,17209440,2579120,2579120,1626359,461368,,,1.47,1.47,596483,993442,1258534,25574,38970,99995
2013-08-12,2,2013,,-4762,21862,176996,117605,118794,1.37,1.37,,188289,,3573.0,-2194,,693782,2013年04月01日至2013年06月30日,975655,1093260,886369,1125002,988770,175174,15376631,17968046,2591415,2591415,1602645,511440,,,1.35,1.35,397423,975655,1163944,21490,89286,-31742
2013-11-13,3,2013,,22017,237656,73056,-121616,-143938,1.43,1.43,,220279,,305.0,17349,,701595,2013年07月01日至2013年09月30日,1079900,958284,933012,704877,983266,316913,15475202,18332492,2857290,2857290,1874024,581740,,,1.42,1.42,590689,1079900,1300179,11148,146888,253407
2014-03-12,4,2013,,1013546,338907,440860,1864384,849270,5.83,5.83,,853279,,11825.0,35994,,2725831,2013年01月01日至2013年12月31日,4129741,5994125,3782029,5577272,4252729,730291,63100209,74539148,11438939,11438939,7186210,2060193,,-10257.0,5.73,5.73,2400186,4129741,4983020,85470,347712,416853
2014-05-12,1,2014,,-388127,115592,47893,-225647,158667,1.04,1.04,,166965,,3813.0,1662,,680738,2014年01月01日至2014年03月31日,745766,520119,676933,405337,758005,154726,14434551,16956523,2521972,2521972,1763967,476430,,,1.02,1.02,606799,745766,912731,10421,68833,114782
2014-08-13,2,2014,,-337111,205338,304583,-762943,-417289,1.53,1.53,,325944,,-8543.0,-18833,,890941,2014年第2季,1161036,398093,1003429,239575,1005974,481006,16013915,18981372,2967457,2967457,1961483,516753,,,1.52,1.52,553789,1161036,1486980,10082,157607,158518
2014-11-13,3,2014,,-385846,116027,61302,123173,501737,1.53,1.53,,172771,,7282.0,-36977,,880773,2014年第3季,1200780,1323953,1010211,1178926,1245438,128113,16719465,19996569,3277104,3277104,2031666,560842,,,1.52,1.52,590051,1200780,1373551,12239,190569,145027
2015-03-25,4,2014,,-1472903,544979,517712,-378189,1107967,6.22,6.22,,950027,,10942.0,-91916,,3265651,2014年度,4655830,4277641,4080939,3699702,4681669,924188,67564442,80110692,12546250,12546250,7864581,2182395,,-24195.0,6.13,6.13,2416535,4655830,5605857,46587,574891,577939
2015-05-05,1,2015,,-168444,96032,82130,-435105,-262844,0.91,0.91,-435105.0,186082,,,-51260,-3817.0,698417,2015年01月01日至2015年03月31日,687421,252316,602243,203862,759480,114023,15421234,18003350,2582116,2582116,1822636,530634,,,0.9,0.9,593585,687421,873503,12879,85178,48454
2015-08-12,2,2015,,-1377165,165060,317214,-1860421,-478644,1.57,1.57,-1860421.0,185893,,,-47122,-4612.0,737637,2015年第2季,1198330,-662091,1034743,-593659,966424,417799,17368068,20260552,2892484,2892484,1926060,560723,,,1.55,1.55,627700,1198330,1384223,17353,163587,-68432
2015-11-12,3,2015,,-224583,-111825,156867,1341976,1563231,1.25,1.25,1341976.0,231526,,,-38272,3328.0,818720,2015年第3季,984110,2326086,830530,2061136,1230866,-15230,17724717,21031726,3307009,3307009,2076143,618267,,,1.24,1.24,639156,984110,1215636,22000,153580,264950
2016-03-21,4,2015,-28477.0,-1078453,233881,735082,-966993,148153,5.79,5.79,-938516.0,849615,-344.0,,-168666,-8216.0,3026581,2015年度,4479733,3512740,3847991,2926669,4605263,724085,68411552,80663369,12251817,12251817,7646554,2225418,-28133.0,,5.7,5.7,2394555,4479733,5329348,76212,631742,586071
2016-04-27,1,2016,,-218009,-7824,247148,-457224,-231230,0.78,0.78,-457224.0,187974,,,-38425,-7985.0,787220,2016年01月01日至2016年03月31日,629156,171932,522934,109816,635938,181192,14134034,16628810,2494776,2494776,1858838,543394,,,0.77,0.77,528224,629156,817130,19707,106222,62116
2016-08-10,2,2016,,81363,-58459,288696,-241851,-316534,1.23,1.23,-241851.0,170194,,,-37005,-6680.0,872158,2016年第2季,978897,737046,828387,585609,979387,169704,15329828,18259020,2929192,2929192,1949805,560063,,,1.22,1.22,517584,978897,1149091,23528,150510,151437
2016-11-07,3,2016,,1983592,-1219187,134112,1097366,-879404,1.15,1.15,1097366.0,-38597,,,-37508,-6822.0,816938,2016年第3季,850002,1947368,773188,1586533,1956926,-1145521,17000588,20973216,3972628,3972628,2015702,568324,,,1.14,1.14,630440,850002,811405,22938,76814,360835
