date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,59505,250628,113620,77346,257758,167624,-0.27,-0.27,,,-16591,,62128.0,-61856,,79158,2013年01月01日至2013年03月31日,,-248181,9577,-248427,-36430,-305719,40947,4054116,4324811,270695,270695,653760,261846,,,-0.27,-0.27,312756,-248181,-264772,,31499.0,,261445,246,46007
2013-08-07,2,2013,,-63766,66156,69718,114399,47455,105195,0.38,0.38,,,46371,,25076.0,-3011,,57236,2013年04月01日至2013年06月30日,,361675,409130,346267,373098,386980,21066,5103915,6067860,963945,963945,691364,293626,,,0.38,0.38,340502,361675,408046,,19050.0,,111797,15408,36032
2013-10-29,3,2013,,21409,-374276,11103,67215,-41900,-66536,-0.09,-0.09,,,-11772,,-6635.0,3762,,55825,2013年07月01日至2013年09月30日,,-65302,-107202,-83422,-104952,204410,-281484,4828339,5753930,925591,925591,788396,358568,,,-0.09,-0.09,374003,-65302,-77074,,-9862.0,,-77927,18120,-2250
2014-03-19,4,2013,,-27289,-62058,351203,342297,321885,307483,0.04,0.04,,,-5928,,119667.0,-131001,,249139,2013年01月01日至2013年12月31日,1520.0,74555,396440,38349,300985,440853,-372226,19281999,22241387,2959388,2957868,2859312,1216112,,-22521.0,0.04,0.04,1394061,74555,68627,,55455.0,,530370,36206,95455
2014-05-07,1,2014,,377329,-1023676,125252,58194,508218,127404,-0.91,-0.91,1520.0,,-94629,,28542.0,-24184,,56328,2014年01月01日至2014年03月31日,2147.0,-852505,-344287,-841691,-366310,319010,-1266144,5290015,6240741,950726,950099,689283,267340,,,-0.91,-0.91,365615,-852505,-947134,,25057.0,,343536,-10814,22023
2014-08-07,2,2014,,-71566,-289176,35407,48576,-252947,-208229,0.81,0.81,-1546.0,,127911,,-14966.0,-10876,,58744,2014年第2季,-1940.0,746805,493858,744536,542348,1045769,-171053,6385146,8126349,1741203,1741597,744404,294668,,0.0,0.8,0.8,390992,746805,874716,,-41814.0,,-93592,2269,-48490
2014-11-12,3,2014,,-136186,1463559,86531,49799,19734,158822,1.98,1.98,0.0,,355153,,25836.0,8675,,62345,2014年第3季,585.0,1822440,1842174,1816353,1800351,854932,1322661,5910506,7629113,1718607,1718022,912889,330922,,0.0,0.78,0.78,519622,1822440,2177593,,28738.0,,236104,6087,41823
2015-03-13,4,2014,,162627,368534,441738,211565,701761,498863,1.98,1.98,1520.0,,393135,,105922.0,-115800,,219694,2014年度,4756.0,1802947,2504708,1810334,2412184,2388586,-192504,22433791,27713156,5279365,5276129,3099108,1216310,,12653.0,1.83,1.83,1663104,1802947,2196082,,78304.0,,886976,-7387,92524
2015-05-06,1,2015,,-52739,1008549,-42805,64703,-223138,-169472,0.74,0.74,4756.0,-223138.0,191302,,,-47506,-36304.0,102028,2015年01月01日至2015年03月31日,860.0,714117,490979,799045,619379,21039,884380,5863720,6645576,781856,785752,829416,303270,,,0.23,0.23,424118,714117,905419,,,-35377.0,33858,-84928,-128400
2015-08-06,2,2015,0.0,-228681,157311,61157,55225,-370541,-132890,-0.11,-0.11,0.0,-370541.0,-60958,,,-60895,-41225.0,212329,2015年第2季,791.0,-99066,-469607,-122445,-464436,-322523,162499,6144287,6769878,625591,624800,1002548,356288,0.0,,-0.28,-0.28,433931,-99066,-160024,,,-32255.0,-4926,23379,-5171
2015-11-09,3,2015,,-306792,635292,250249,76079,22890,334303,-0.96,-0.96,0.0,22890.0,-159117,,,-99056,43163.0,103761,2015年第3季,2.0,-1191972,-1169082,-1035700,-1090615,-1244484,-106605,6497223,6177301,-319922,-319924,1000639,411951,,,-0.96,-0.96,484927,-1191972,-1351089,,,47784.0,893090,-156272,-78467
2016-03-10,4,2015,-34076.0,-137261,1223878,321562,261779,-590541,-376377,-2.81,-2.81,4756.0,-556465.0,-303290,-193.0,,-500727,-69786.0,453426,2015年度,563.0,-3317582,-3908123,-3018757,-3400444,-3510547,-110325,25390483,25509789,119306,123499,3895825,1538714,-40823.0,,-3.09,-3.09,1903685,-3317582,-3620872,-6940.0,,-26959.0,1155038,-298825,-507679
2016-05-05,1,2016,,-36755,-459433,-27945,59382,-132756,-152792,-1.54,-1.54,563.0,-132756.0,-282835,,,-64750,35153.0,159852,2016年01月01日至2016年03月31日,519.0,-1664335,-1797091,-1639806,-1755368,-1437705,-509465,6502012,6057610,-444402,-444358,1052729,429519,,,-1.54,-1.54,463358,-1664335,-1947170,,,-21638.0,-42663,-24529,-41723
2016-08-09,2,2016,0.0,-34166,-485631,102341,57328,-325465,-265858,-1.64,-1.64,0.0,-325465.0,352538,0.0,,-479413,-54322.0,24947,2016年第2季,-164.0,-1876959,-2202424,-1749854,-2015661,-432292,-1092129,6262646,6555077,292431,292595,782215,367634,0.0,,-1.64,-1.64,389634,-1876959,-1524421,0.0,,-28881.0,229426,-127105,-186763
2016-11-04,3,2016,,28625,-384141,381567,77300,-353124,-364693,0.0,0.0,0.0,-353124.0,105807,,,-23270,-72377.0,37683,2016年第3季,12.0,-52917,-406041,3054,-300879,189614,-136724,5690121,6592377,902256,902244,789930,370243,,,0.0,0.0,382004,-52917,52890,,,-55321.0,110880,-55971,-105162
