date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,其他費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,0.0,,,2046,834,,,10817,,13032,-0.34,-0.34,,-5249,,15726,2013年01月01日至2013年03月31日,-70693,-59876,-70693,-59876,-60047,-15895,1037682,976081,-61601,-61601,-1554,12399,,,-0.34,-0.34,-29679,-70693,-75942,,2215.0,,18775,,,,,,0.0,0.0
2013-08-06,2,2013,,,0.0,,,14000,1774,,,4449,,5361,0.72,0.72,,-759,,26358,2013年04月01日至2013年06月30日,149529,153978,149529,153978,153780,-5010,1269080,1460658,191578,191578,37798,14804,,,0.72,0.72,-3364,149529,148770,,912.0,,20784,,,,,,0.0,0.0
2013-11-08,3,2013,,,,,,2831,4388,,,-2983,,-3594,0.29,0.29,,-7247,,26468,2013年07月01日至2013年09月30日,60545,57562,60545,57562,66246,-12948,1092869,1231910,139041,139041,72795,18060,,,0.29,0.29,28267,60545,53298,,-611.0,,20167,,,,,,,0.0
2014-02-24,4,2013,,0.0,,,,28947,15182,0.0,0.0,17043,0.0,20535,1.04,1.04,,-8675,0.0,89851,2013年01月01日至2013年12月31日,218534,235577,218534,235577,243904,-34045,4716670,5147861,431191,431191,187287,63042,,,1.04,1.04,34394,218534,209859,,3492.0,,78174,,4716670.0,,,5147861.0,0.0,0.0
2014-05-08,1,2014,,,,,,6764,4186,0.0,,-1083,0.0,-1305,0.5,0.5,,-761,,30901,2014年01月01日至2014年03月31日,114887,113804,114887,113804,122521,-8395,1311016,1521985,210969,210969,88448,16324,,,0.49,0.49,41223,114887,114126,,-222.0,,19345,,1311016.0,,,1521985.0,,
2014-08-08,2,2014,,,274.0,,,-10305,4721,,,-4819,,-6136,0.24,0.24,,-938,,33599,2014年第2季,67606,62787,67606,62787,90295,-23627,1653201,1834466,181265,181265,90970,18609,,,0.24,0.24,38762,67606,66668,,-1043.0,,18043,,1653201.0,,,1834466.0,0.0,0.0
2014-11-07,3,2014,,,162.0,,,15167,40897,,,8744,,10340,-0.04,-0.04,,-2797,,18526,2014年第3季,-11547,-2803,-11547,-2803,-57060,42716,1280652,1289644,8992,8992,66052,18622,,,-0.04,-0.04,28904,-11547,-14344,,1758.0,,13348,1280652.0,1280652.0,1289644.0,1289644.0,1289644.0,0.0,0.0
2015-03-17,4,2014,,0.0,96.0,,,54757,61964,0.0,0.0,17292,0.0,20860,0.66,0.66,,-7234,0.0,110481,2014年度,175184,192476,175184,192476,113593,54357,6105085,6553928,448843,448843,335250,71520,,-142.0,0.66,0.66,153249,175184,167950,,3522.0,,62364,,6105085.0,,,6553928.0,0.0,0.0
2015-04-27,1,2015,,0.0,-81.0,0.0,0.0,19295,24434,0.0,,-15512,0.0,-18592,0.1,0.1,-15512.0,-10074,,18696,2015年01月01日至2015年03月31日,26742,11230,26742,11230,-14174,30842,1447541,1516052,68511,68511,82685,17410,,,0.1,0.1,46579,26742,16668,,,-3161.0,12887,,1447541.0,,,1516052.0,0.0,0.0
2015-08-05,2,2015,,,98.0,,,-18682,7138,,,-17788,,-21549,-0.11,-0.11,-17788.0,1004,,17452,2015年第2季,-32832,-50620,-32832,-50620,-5598,-26230,1511975,1576386,64411,64411,70009,18573,,,-0.11,-0.11,33984,-32832,-31828,,,-3663.0,14686,,1511975.0,,,1576386.0,0.0,0.0
