date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列關聯企業及合資之權益工具投資利益(損失),採用權益法認列關聯企業及合資之確定福利計畫再衡量數,採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,採用權益法認列關聯企業及合資之重估增值,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,6103,17080,499,8997,,0.26,0.26,,28171,,4719.0,702,,,,,,,147018,2013年01月01日至2013年03月31日,117709,126706,112569,121566,135468,10412,2724334,3036995,312661,312661,177193,5184,,,0.26,0.26,24991,117709,145880,,1825.0,,7869,2724334.0,2724334.0,3036995.0,3036995.0,5140,5140
2013-08-09,2,2013,,,2083,23960,8396,1323,,0.16,0.16,,52411,,-503.0,434,,,,,,,144884,2013年04月01日至2013年06月30日,60504,61827,66510,67833,87997,24918,2817570,3091225,273655,273655,185658,6378,,,0.16,0.16,34396,60504,112915,,257.0,,7872,2817570.0,2817570.0,3091225.0,3091225.0,-6006,-6006
2013-11-08,3,2013,,,-1159,-2969,533,-2159,-106.0,0.13,0.13,,18668,,-1408.0,-194,,,,,,,125229,2013年07月01日至2013年09月30日,58713,56554,53991,51832,87665,-10284,2342443,2598269,255826,255826,168161,5072,,,0.13,0.13,37860,58713,77381,,-514.0,,7654,2342443.0,2342443.0,2598269.0,2598269.0,4722,4722
2014-03-27,4,2013,,,34732,43956,28123,40826,7.0,0.69,0.69,,101672,,2380.0,1431,,,,,,,561206,2013年01月01日至2013年12月31日,303613,344439,296779,335095,361967,43318,10240673,11321970,1081297,1081297,719330,21110,,8741.0,0.69,0.69,137014,303613,405285,,5034.0,,30192,,,,,6834,9344
2014-05-13,1,2014,,,-243,20820,1724,3872,834.0,0.23,0.23,,26124,,4015.0,-691,,,,,,,144498,2014年01月01日至2014年03月31日,104549,108421,97865,101737,117073,13600,2742482,3048187,305705,305705,188632,4380,,,0.23,0.23,39754,104549,130673,,734.0,,8253,2742482.0,2742482.0,3048187.0,3048187.0,6684,6684
2014-08-13,2,2014,,,-2615,-13691,10005,-6677,-657.0,0.11,0.11,,14205,,-4618.0,-346,,,,,,,139121,2014年第2季,48943,42266,46209,39532,76821,-13673,2453907,2712849,258942,258942,182121,6376,,,0.11,0.11,36624,48943,63148,,-1213.0,,9641,2453907.0,2453907.0,2712849.0,2712849.0,2734,2734
2014-11-12,3,2014,,,3953,15790,1086,6479,775.0,0.05,0.05,,6475,,3070.0,846,,,,,,,148795,2014年第3季,24970,31449,20727,27206,23175,8270,2724947,2946736,221789,221789,198614,5178,,,0.05,0.05,44641,24970,31445,,1319.0,,9452,2724947.0,2724947.0,2946736.0,2946736.0,4243,4243
2015-03-23,4,2014,,,-16339,62618,27309,13226,2761.0,0.43,0.43,,52003,,11187.0,-8584,,,,,,,538570,2014年度,202309,215535,186745,200114,210185,44127,10145686,11074650,928964,928964,718779,20590,,17240.0,0.42,0.42,159619,202309,254312,,1623.0,,37216,,,,,15564,15421
2015-05-15,1,2015,0.0,0.0,-1170,-6766,5336,-4554,-508.0,0.16,0.16,-4554.0,16362,0.0,,-1095,-3797.0,0.0,0.0,0.0,0.0,0.0,131589,2015年01月01日至2015年03月31日,80607,76053,69929,65375,108172,-11203,2417103,2704047,286944,286944,178772,5845,,,0.15,0.15,41338,80607,96969,0.0,,-921.0,8678,2417103.0,2417103.0,2704047.0,2704047.0,10678,10678
2015-08-12,2,2015,,,-631,-13829,9339,-5985,-676.0,0.51,0.51,-5985.0,48817,,,-904,-5878.0,,,,,,128471,2015年第2季,241856,235871,221028,215043,302931,-12258,2185052,2674199,489147,489147,186216,5257,,,0.47,0.47,52488,241856,290673,,,-1200.0,6864,2185052.0,2185052.0,2674199.0,2674199.0,20828,20828
