date,season,year,不重分類至損益之項目總額,停業單位損益合計,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,,67,-13705,40772,97035,96968,0.58,0.58,,104543,5702,1487685,2013年01月01日至2013年03月31日,247114,344149,293183,390218,376786,-25129,4526429,6700847,2174418,2174418,1797632,55303,,,254644,247114,351657,,,57898,-46069,-46069
2013-08-14,2,2013,,,,133,28196,45481,82506,82373,0.51,0.51,,157936,6127,1739379,2013年04月01日至2013年06月30日,209671,292177,256911,324922,347603,20004,5166785,7577631,2410846,2410846,2063243,63817,,,260047,209671,367607,,,59800,-47240,-32745
2013-11-12,3,2013,,,,915,-37895,57869,-48474,-49016,0.56,0.56,,113448,3244,2021824,2013年07月01日至2013年09月30日,247111,198637,281954,236893,399718,-39159,5565045,8261655,2696610,2696610,2296892,58222,,,216846,247111,360559,373.0,,62377,-34843,-38256
2014-03-27,4,2013,,,,2525,-210605,244348,123608,219379,1.72,1.72,,402662,16891,6618369,2013年01月01日至2013年12月31日,703950,827558,872887,972832,1297168,-190556,19976484,29200402,9223918,9223918,7926750,239724,,-86539.0,1068657,703950,1106612,11757.0,,241190,-168937,-145274
2014-05-13,1,2014,,,,4662,-42542,28170,-14544,-19206,0.51,0.51,,84384,3640,1325988,2014年01月01日至2014年03月31日,238221,223677,256386,243315,397020,-74415,4551910,6611781,2059871,2059871,1662851,68050,,,268813,238221,322605,,,63683,-18165,-19638
2014-08-12,2,2014,,,,282,-60534,55294,-45654,-45936,0.35,0.35,,156726,2669,1508393,2014年第2季,139438,93784,175492,133891,363021,-66857,5164112,7384987,2220875,2220875,1857854,66943,,,282518,139438,296164,,,64286,-36054,-40107
2014-11-14,3,2014,,,,128,-259417,48988,85031,84903,-0.11,-0.11,,43946,2001,1617157,2014年第3季,-89470,-4439,-56595,21959,227248,-272772,5561508,7767524,2206016,2206016,1978768,81009,,,280602,-89470,-45524,0.0,,64344,-32875,-26398
2015-03-27,4,2014,,-59561.0,-0.06,4377,-533327,177402,81064,247883,-0.48,-0.42,,147686,3808,5723501,2014年度,-377922,-296858,-244138,-180185,430424,-601099,18931673,26469174,7537501,7537501,7107077,283160,,-159953.0,1100416,-318361,-170675,11243.0,,248982,-133784,-116673
2015-05-13,1,2015,,-11978.0,-0.01,6635,-9856,27582,-70076,-72042,-0.58,-0.57,-70076.0,-45329,1284,1235638,2015年第1季,-329252,-399328,-293436,-358480,-305420,-57183,3481869,4742993,1261124,1261124,1566544,62092,,,268814,-317274,-362603,,4669.0,76193,-35816,-40848
2015-08-12,2,2015,,104961.0,0.11,-1559,24643,33140,-42314,-39397,-0.61,-0.72,-42314.0,-43124,-886,1452941,2015年第2季,-276725,-319039,-308397,-347725,-399231,-25579,4071811,5500106,1428295,1428295,1827526,52475,,,322110,-381686,-424810,,1358.0,82476,31672,28686
2015-11-12,3,2015,,-433831.0,-0.44,-900,-295613,69622,97207,95723,-1.15,-0.71,97207.0,-76015,6333,1549469,2015年第3季,-804019,-706812,-581499,-491113,-149097,-297106,4138711,5851037,1712326,1712326,1861423,48364,,,263590,-370188,-446203,,-2384.0,77448,-222520,-215699
2016-03-29,4,2015,-48908.0,-504597.0,-0.52,-3436,-289600,131672,-135041,-88378,-3.78,-3.26,-86133.0,-209136,-52751,5505055,2015年度,-2193589,-2328630,-1913684,-2048681,-1395054,-503074,14550795,20051241,5500446,5500446,6895500,204652,-48908.0,,1185793,-1688992,-1898128,,-5681.0,292395,-279905,-279949
2016-05-12,1,2016,,50362.0,0.05,0,469052,29770,-57598,-59171,-0.21,-0.26,-57598.0,-26606,-45595,955456,2016年01月01日至2016年03月31日,-82461,-140059,-108469,-165965,-531354,371925,2674670,3518095,843425,843425,1374779,60529,,,358794,-132823,-159429,,-1573.0,81302,26008,25906
2016-08-11,2,2016,,-74817.0,-0.07,-2634,57114,31586,-68619,-68610,-0.65,-0.58,-68619.0,21598,-14225,1301980,2016年第2季,-360367,-428986,-324307,-392757,-250206,-13746,3130744,4477982,1347238,1347238,1597444,58155,,,237309,-285550,-263952,,-2625.0,88221,-36060,-36229
2016-11-11,3,2016,,101120.0,0.1,-199,44456,78216,-129066,-132613,-0.03,-0.13,-129066.0,-6325,-9292,1411939,2016年第3季,33100,-95966,-16754,-145577,-103758,29413,3403176,5017922,1614746,1614746,1718504,62655,,,243910,-68020,-74345,,-3746.0,83967,49854,49611
