date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,-16695,29335,170981,170981,0.04,,,17976,-1109,,366355,2013年01月01日至2013年03月31日,1777,172758,12371,97624,31533,-11780,3379366,4577255,1197889,1197889,1166356,17976.0,70786,,,0.04,,729215,1777,19753,,0.0,,23311,3379366.0,4577255.0,4577255.0,-10594,75134
2013-08-09,2,2013,,,-39965,32233,104624,104624,0.11,0.11,,6002,-629,,454042,2013年04月01日至2013年06月30日,50846,155470,32771,100896,91534,-34686,3414772,4689381,1274609,1274609,1183075,,56110,,,0.1,0.1,672923,50846,56848,,,,26325,3414772.0,4689381.0,4689381.0,18075,54574
2013-08-09,3,2013,,,-2257,28121,23101,23101,0.11,0.11,,16368,-2507,,452147,2013年07月01日至2013年09月30日,44824,67925,33240,75688,60151,1041,3375230,4656482,1281252,1281252,1221101,,75878,,,0.1,0.1,693076,44824,61192,,,,22316,3375230.0,4656482.0,4656482.0,11584,-7763
2014-03-28,4,2013,,-103595.0,1924256,115719,376537,484171,6.37,,,111737,-6736,,1798690,2013年01月01日至2013年12月31日,1942959,2319496,1921609,2197831,114376,1940320,13808323,18814071,5005748,5005748,4891372,,269954,,-1356.0,5.07,,2822728,1942959,2054696,,2683.0,,92919,,,,21350,121665
2014-05-09,1,2014,,-98873.0,-24661,20967,-14951,73687,0.08,,,12206,-12775,,329723,2014年01月01日至2014年03月31日,24333,9382,27007,12285,74976,-38437,3608375,4891651,1283276,1283276,1208300,,63269,,,0.08,,815308,24333,36539,,-10235.0,,21968,,,,-2674,-2903
2014-08-08,2,2014,,-154419.0,-41696,46240,-253458,-114901,0.11,,,114660,28,,463929,2014年第2季,35635,-217823,34735,-218593,165559,-15264,3794972,5195527,1400555,1400555,1234996,,69836,,,0.1,,701231,35635,150295,,-15862.0,,19836,,,,900,770
2014-11-11,3,2014,,81724.0,1527,21643,140654,68060,0.23,,,8870,-176,,422038,2014年第3季,81310,221964,80173,220815,89047,1133,3584016,4889242,1305226,1305226,1216179,,66751,,,0.2,,727390,81310,90180,,9130.0,,21861,,,,1137,1149
2015-03-27,4,2014,,-61283.0,-89210,112214,176277,230446,0.44,,,145463,-21786,,1706113,2014年度,157137,333414,154471,330490,395900,-93300,14691041,19987526,5296485,5296485,4900585,,265025,,7495.0,0.44,,2929447,157137,302600,,381.0,,94518,,,,2666,2924
2015-05-08,1,2015,,225266.0,76675,24052,-12658,-226873,0.24,,-12658.0,67644,-171,,454176,2015年01月01日至2015年03月31日,85784,73126,86368,74511,76449,76979,3299622,4612894,1313272,1313272,1236823,,61565,,,0.24,,721082,85784,153428,,,11051.0,23577,,,,-584,-1385
2015-08-07,2,2015,,-24119.0,93254,24042,-18525,6033,0.57,,-18525.0,61855,-526,-439.0,450056,2015年第2季,205207,186682,201872,183453,173227,93835,3597420,4959926,1362506,1362506,1189279,,53139,,,0.55,,686084,205207,267062,,,0.0,22935,,,,3335,3229
2015-11-06,3,2015,,-22067.0,91943,34769,351920,372847,0.36,,351920.0,85456,-365,1140.0,455420,2015年第3季,129209,481129,128692,480220,110080,104585,3710877,5079989,1369112,1369112,1259032,,62617,,,0.35,,740995,129209,214665,,,0.0,21762,,,,517,909
2016-03-25,4,2015,-29241.0,176388.0,188786,134080,75675,-59801,1.42,,104916.0,240467,-1271,-620.0,1807417,2015年度,506788,582463,502913,580055,542259,204996,14435844,19949545,5513701,5513701,4971442,,246769,-30914.0,,1.38,,2917256,506788,747255,-1673.0,,11051.0,116599,,,,3875,2408
2016-05-06,1,2016,,0.0,-21593,34130,-125842,-125765,0.18,,-125842.0,56032,-378,-77.0,404650,2016年01月01日至2016年03月31日,62569,-63273,62795,-63343,124741,-6140,3448145,4846297,1398152,1398152,1273411,,55674,,,0.17,,813087,62569,118601,,,0.0,18299,,,,-226,70
2016-08-05,2,2016,,0.0,31650,25249,-221371,-220548,0.57,,-221371.0,55851,-356,-823.0,480073,2016年第2季,203453,-17918,203500,-17676,219248,40056,3831665,5337871,1506206,1506206,1286958,,61694,,,0.56,,745191,203453,259304,,,0.0,16487,,,,-47,-242
2016-11-04,3,2016,,0.0,-1083962,98511,-243576,-242779,-2.41,,-243576.0,77274,-359,-797.0,380258,2016年第3季,-874782,-1118358,-852111,-1095148,202520,-1000028,3204524,4560470,1355946,1355946,1153426,,65041,,,-2.41,,708127,-874782,-797508,,,0.0,14218,,,,-22671,-23210
