date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,停業單位損益合計,其他利益及損失淨額,其他收入合計,其他收入－其他,其他減損損失,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,重估增值,銀行存款利息,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益
2013-05-07,1,2013,,,2.0,,2003,3918,1092.0,,4693,,62164,2826,62164,0.71,,1783.0,,,5974,,,54893,,1071,2013年01月01日至2013年03月31日,49001,111165,,49001,111165,,-5838,60813,227375,243004,15629,15629,21467,4317,,,0.71,,16079,49001,54975,,,,,267.0,1,,45.0,,,238311,
2013-08-01,2,2013,,,,,1201,287,214.0,,3101,,36205,73,36205,0.94,,1014.0,,,20518,,,72847,,988,2013年04月01日至2013年06月30日,65081,101286,,65081,101286,,11265,74334,251687,284837,33150,33150,21885,4827,,,0.94,,16070,65081,85599,,,,,68.0,1,119.0,,,,281736,
2013-11-06,3,2013,,,,,169,2287,-75.0,,2378,,-24708,2362,-24708,1.41,,3.0,,,5651,,,87641,,1062,2013年07月01日至2013年09月30日,97943,73235,,97943,73235,,13498,90096,297256,333540,36284,36284,22786,5946,,,1.41,,15778,97943,103594,,,,,91.0,1,75.0,,,,331162,
2014-03-20,4,2013,,,,,4824,7433,,,22571,-917.0,112130,7433,107654,4.3,,2129.0,,,67019,,,321458,,4006,2013年01月01日至2013年12月31日,297441,409571,,297441,409571,,30750,333710,1098329,1226363,128034,128034,97284,19438,,5393.0,4.29,,73840,297441,364460,,,,2040.0,454.0,5,201.0,,,,1203792,
2014-05-08,1,2014,,,,,1765,6499,,,7872,,-10678,2042,-10678,1.05,,-131.0,,,7573,,,79651,,948,2014年01月01日至2014年03月31日,72957,62279,,72957,62279,,-7385,87915,228041,244487,16446,16446,23831,4608,,,1.05,,18275,72957,80530,4457.0,,,1802.0,,0,94.0,,,,236615,
2014-08-07,2,2014,,,,,-746,2293,346.0,,665,,-40484,2007,-40484,1.1,,-813.0,,,17737,,,84969,,681,2014年第2季,76321,35837,,76321,35837,,7602,86456,265575,297384,31809,31809,24207,5656,,,1.1,,17870,76321,94058,-60.0,,,,,60,67.0,,,,296719,
2014-11-06,3,2014,,,,,1111,1186,110.0,,7997,,60668,1088,60668,1.21,,1060.0,,,2219,,,76378,,783,2014年第3季,83745,144413,,83745,144413,,7332,78632,259186,297703,38517,38517,31185,4492,,,1.21,,25910,83745,85964,-12.0,,,,,43,51.0,,,,289706,
2015-03-19,4,2014,,,,0.0,4823,11806,,,24754,25.0,98779,7394,98903,4.62,4.62,1807.0,,,36714,,,317308,,3128,2014年度,319590,418369,,319590,418369,,22665,333639,1052469,1185714,133245,133245,110580,19708,,-149.0,4.61,4.61,87744,319590,356304,4412.0,,,2789.0,0.0,298,227.0,,,,1160960,0.0
2015-05-06,1,2015,0.0,0.0,,,-685,2420,,,80,,-33786,2420,-33786,1.31,,-777.0,,-33786.0,2513,0.0,0.0,86340,,981,2015年01月01日至2015年03月31日,90863,57077,0.0,90863,57077,,5476,87900,257140,286592,29452,29452,23976,5071,0.0,,1.31,,17924,90863,93376,0.0,0.0,0.0,69.0,,175,23.0,,0.0,,286512,
2015-08-06,2,2015,,,,,-1055,2726,159.0,,2775,,-41428,2567,-41428,1.24,,-1081.0,,-41428.0,24839,,,94502,,645,2015年第2季,85993,44565,,85993,44565,,14839,95993,284680,322684,38004,38004,23165,4041,,,1.24,,18479,85993,110832,0.0,,,,,180,26.0,,,,319909,
2015-11-05,3,2015,,,,,4048,3154,767.0,,6132,,132359,2387,132359,1.36,,4032.0,,132359.0,5839,,,87735,,721,2015年第3季,94519,226878,,94519,226878,,5674,94684,271457,300601,29144,29144,23470,4042,,,1.36,,18707,94519,100358,0.0,,,,,253,16.0,,,,294469,
