date,season,year,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資性不動產利益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,,-1394,6166,0,611,6166,580,2.33,2.33,,,,36946,2013年01月01日至2013年03月31日,253590,254201,253590,254201,285764,4772,173137,517652,344515,344515,58751,2957,,,2.33,2.33,55794,253590,290536,,-31.0,,1394,,,
2013-08-12,2,2013,,,-458,4813,69,311,4744,311,2.45,2.45,,,,40147,2013年04月01日至2013年06月30日,266333,266644,266333,266644,302125,4355,185350,551381,366031,366031,63906,2889,,,2.44,2.44,61017,266333,306480,,0.0,,458,,,
2013-11-07,3,2013,,,0,6147,75,-195,6072,-195,3.63,3.63,,,,58132,2013年07月01日至2013年09月30日,394932,394737,394932,394737,446917,6147,167186,677408,510222,510222,63305,2669,,,3.63,3.63,60636,394932,453064,,0.0,,0,,,
2014-03-20,4,2013,,,131,20399,219,2122,20180,873,11.46,11.46,1992.0,,,183067,2013年01月01日至2013年12月31日,1248221,1250343,1248221,1250343,1410758,20530,683232,2343057,1659825,1659825,249067,11123,,1385.0,11.45,11.45,237944,1248221,1431288,,136.0,,1861,,,
2014-05-08,1,2014,,,-1182,5837,184,-146,5653,-146,2.56,2.56,,1182.0,,40553,2014年01月01日至2014年03月31日,278489,278343,278489,278343,314387,4655,160059,535097,375038,375038,60651,2776,,,2.56,2.56,57875,278489,319042,,0.0,,0,,,
2014-08-07,2,2014,,,-3881,6613,618,-512,5995,-512,2.14,2.14,,3835.0,,68038,2014年第2季,232933,232421,232933,232421,298239,2732,175807,549624,373817,373817,75578,2851,,,2.14,2.14,72727,232933,300971,,0.0,,46,,,
2014-11-06,3,2014,,,5528,5541,84,762,5457,762,2.13,2.13,5502.0,,,34971,2014年第3季,231949,232711,232156,232858,255851,11069,170271,499756,329485,329485,73634,2503,,,2.13,2.13,71131,231949,266920,,0.0,26.0,0,,-207.0,-147.0
2015-03-30,4,2014,,,6730,22660,1122,-1809,21538,626,9.43,9.43,7610.0,,,190695,2014年度,1026075,1024266,1026494,1024552,1187380,29390,661769,2128475,1466706,1466706,279326,17298,,-2768.0,9.41,9.41,262028,1026075,1216770,,-333.0,,880,,-419.0,-286.0
2015-05-14,1,2015,,,-2193,5851,764,-93,5087,-93,2.74,2.74,,2183.0,-93.0,48974,2015年01月01日至2015年03月31日,297762,297669,298009,297887,343078,3658,137932,550406,412474,412474,69396,2289,,,2.73,2.73,67107,297762,346736,,,,10,,-247.0,-218.0
2015-08-07,2,2015,,,-3340,7067,240,-331,6827,-331,2.58,2.58,,3340.0,-331.0,52973,2015年第2季,280591,280260,280769,280526,329837,3727,253938,652676,398738,398738,68901,2254,,,2.58,2.58,66647,280591,333564,,,,0,,-178.0,-266.0
2015-11-06,3,2015,,45.0,9624,7718,372,1201,7346,1201,2.99,2.99,9669.0,,1201.0,46626,2015年第3季,325123,326324,325198,326336,354407,17342,328753,752608,423855,423855,69448,1365,,,2.98,2.98,68083,325123,371749,,,0.0,0,,-75.0,-12.0
2016-03-25,4,2015,-948.0,45.0,-4579,28450,3564,-1314,24886,-366,11.32,11.32,0.0,4524.0,-366.0,210145,2015年度,1231474,1230160,1232121,1230850,1417748,23871,1054535,2750470,1695935,1695935,278187,9380,-1076.0,,11.29,11.29,268807,1231474,1441619,-128.0,,,10,,-647.0,-690.0
2016-05-06,1,2016,,,-1142,8259,1634,-299,6625,-299,3.55,3.55,,1142.0,-299.0,60384,2016年01月01日至2016年03月31日,386740,386441,386798,386552,440007,7117,300387,811916,511529,511529,71522,2506,,,3.55,3.55,69016,386740,447124,,,,0,,-58.0,-111.0
2016-08-08,2,2016,,,-6210,8053,265,-733,7788,-733,3.4,3.4,,6200.0,-733.0,63371,2016年第2季,369872,369139,370026,369297,431400,1843,337119,833654,496535,496535,65135,2437,,,3.4,3.4,62698,369872,433243,,,,10,,-154.0,-158.0
2016-11-11,3,2016,,1566.0,-4419,5079,4,-822,5075,-822,3.43,3.43,0.0,7450.0,-822.0,64708,2016年第3季,373489,372667,373671,372873,437537,660,279935,806552,526617,526617,89080,3587,,,3.43,3.43,85493,373489,438197,,,52.0,0,4545.0,-182.0,-206.0
