date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業收入淨額,其他綜合損益（淨額）,利息收入合計,利息費用,勞務成本合計,可能重分類至損益之其他項目,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,工程成本,工程收入淨額,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,無形資產減損損失,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分投資利益,財務成本淨額,銀行存款利息,銷貨成本,銷貨成本合計,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）
2013-08-13,2,2013,,0,,,4103,9439,,3583,5449,,,,,5449,0.57,,4103,,,,,29508,,,12121,,21109,2013年04月01日至2013年06月30日,45871,51320,45871,51320,0,0,,,50974,24405,736809,835507,98698,98698,47724,4890,,,0.56,,21725,45871,75379,,,,,0,0,1258,,,,,831924,
2013-11-08,3,2013,,0,,,-540,7962,7836,,-4112,126,,,,-4112,0.31,,0,540,,,,5549,,,2458,,41093,2013年07月01日至2013年09月30日,24943,20831,24943,20831,0,0,,,21771,8721,676210,767243,91033,91033,69262,4327,,,0.30,,23842,24943,30492,,,,,0,0,1159,,,,,767243,
2014-03-27,4,2013,,857,,,7851,23860,23357,,12907,503,5160,,,13342,1.62,,10495,0,,,,46388,31044,,31044,,144789,2013年01月01日至2013年12月31日,131016,143923,131016,143923,1787,1787,,,119809,57595,2844839,3221961,377122,377122,257313,18558,,-435,1.58,,93966,131016,177404,,,,,0,0,5160,,,,,3221961,
2014-05-12,1,2014,,-33,,,7372,5012,4829,,6240,183,1240,,,6240,0.11,0.11,7339,,,,,3256,997,,997,,41047,2014年01月01日至2014年03月31日,9651,15891,9651,15891,0,0,,,766,12141,752903,816268,63365,63365,62599,4416,,,0.11,0.11,17136,9651,12907,,,,,,,1240,,,,,816268,
2014-08-12,2,2014,,625,,,29480,4610,4319,,-7605,291,1096,,,-7605,0.64,0.64,0,2238,,,,7311,13673,,13673,,39399,2014年第2季,56742,49137,56742,49137,0,0,,,17386,46667,914065,1002741,88676,88676,71290,5159,,,0.63,0.63,26732,56742,64053,,,,,124,32219,1096,,,,,1002741,
2014-11-10,3,2014,,1,,,11976,6852,6666,,7163,186,,,,7163,0.45,,3255,0,,20840,,3159,,,12175,,38229,2014年第3季,39704,46867,39704,46867,0,0,20840,20840,12805,30058,752635,828551,75916,75916,63111,5265,,,0.44,,19617,39704,42863,,,,,0,8722,945,,731795,731795,,807711,
2015-03-24,4,2014,,626,,,60849,57832,55325,,18680,902,4179,,,23273,1.63,,19323,0,,,,27360,0,5901,-5901,,158754,2014年度,144613,163293,144613,163293,0,0,173578,173578,63372,108601,3156607,3483929,327322,327322,263950,19854,,-5534,1.61,,85342,144613,171973,1605,,-941,,108,42044,4179,,,2983029,,3310351,
2015-05-11,1,2015,,0,,,2567,5335,5159,,-5648,176,848,,,-5648,0.40,,2295,0,,,-5648,4701,12279,,12279,,39881,2015年01月01日至2015年03月31日,35634,29986,35634,29986,,,61484,59861,21002,19333,793737,880138,86401,86401,65399,4613,,,0.39,,20905,35634,40335,0,,,,0,272,848,,,732253,,820277,
2015-08-10,2,2015,,0,,0,-3500,6374,6117,,-4712,257,,,,-4712,0.51,,0,3511,,,-4712,14425,,,6815,,36994,2015年第2季,45884,41172,45884,41172,,,1190,1615,51026,9283,720337,838785,118448,118448,67422,5688,,,0.51,,24740,45884,60309,,,,,11,0,406,257,,719147,,837170,0
2015-11-09,3,2015,,0,42536,0,19814,7362,5602,,52096,155,,,,16791,0.68,,16570,,,,52096,12323,,,-1578,,39951,2015年第3季,60593,112689,60593,112689,,,69387,69565,47686,25230,786197,905496,119299,119299,71613,4987,,,0.67,,26675,60593,72916,1605,,,7231,0,3244,368,155,,716810,,835931,0
2016-03-29,4,2015,-7141,0,26509,,31908,25824,23369,,19404,850,,,,36,2.27,,23330,,134755,135736,26545,42728,,,22151,,163539,2015年度,203212,222616,203212,222616,,,134755,135736,167890,78050,3061789,3507392,445603,445603,277713,19954,-8604,,,,94220,203212,245940,1605,-1463,,,11,8567,1833,,,2927034,,3371656,
2016-05-05,1,2016,,425,-8278,,-3635,7073,6935,,-16202,138,,772107,,-7924,0.49,,0,3210,,,-16202,10042,,,-8379,,40113,2016年01月01日至2016年03月31日,43920,27718,43920,27718,,,,,58903,-4941,772107,900382,128275,128275,69372,4278,,,,,24981,43920,53962,,,,,,0,0,,,,,,
