date,season,year,不重分類至損益之項目總額,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－其他,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-30,1,2013,,,,60,,,10153,3372,171.0,,,24138,3187,300.0,24078,0.03,0.03,,-20474.0,,,-2648,,,,,2894.0,,14299,2013年01月01日至2013年03月31日,,3389,27527,3389,27527,-15378,16119,626861,725510,98649,98649,114027,43305,,,14.0,0.03,0.03,56423,3389,741,,,80.0,,0.0,,300.0,0.0,10401.0,0.0,0.0
2013-08-01,2,2013,,5035.0,,574,,,-53858,3160,,,,17149,3160,19.0,16575,0.28,0.28,,-5149.0,,,-4768,,,,,-1512.0,,27637,2013年04月01日至2013年06月30日,,29198,46347,29198,46347,76659,-52229,661259,860089,198830,198830,122171,44641,,,,0.27,0.27,49893,29198,24430,,,95.0,,0.0,,19.0,-54067.0,,,
2013-11-01,3,2013,,-786.0,,404,,,10743,2202,,,,-7014,2202,0.0,-7418,1.43,1.43,,10594.0,,,23339,,,,,-3544.0,,24621,2013年07月01日至2013年09月30日,,151038,144024,151038,144024,164976,9401,709126,1006245,297119,297119,132143,47759,,,,1.42,1.42,59763,151038,174377,,,-4.0,,0.0,,0.0,20555.0,,,
2014-03-05,4,2013,,6307.0,,1675,,,-28627,13332,1906.0,,2761.0,39711,10711,321.0,45998,2.73,,,-23468.0,,,51955,,,,,-6201.0,,95216,2013年01月01日至2013年12月31日,,289314,329025,289314,329025,363086,-21817,2679528,3552253,872725,872725,509639,187619,,-10723.0,224.0,2.71,,226804,289314,341269,491.0,,187.0,849.0,0.0,,321.0,-45126.0,,,
2014-04-23,1,2014,,355.0,,1820,0.0,0.0,24606,2498,0.0,,,12219,2498,0.0,10399,0.79,,25047.0,,0.0,,8668,,,0.0,3553.0,-3553.0,,22416,2014年01月01日至2014年03月31日,0.0,83451,95670,83451,95670,68568,23551,666059,872757,206698,206698,138130,51630,,,,0.78,,64084,83451,92119,,,,,,,0.0,,86.0,0.0,0.0
2014-08-11,2,2014,,0.0,,1981,0.0,0.0,-20868,9627,6526.0,,,-13828,3101,,-15809,1.23,1.23,0.0,18419.0,,,20312,,,0.0,3784.0,-3784.0,,25290,2014年第2季,,130920,117092,130920,117092,166257,-15025,691192,999087,307895,307895,141638,54924,,,,1.23,1.23,61424,130920,151232,,,,,,2449.0,0.0,,0.0,0.0,0.0
2014-11-07,3,2014,,,,5681,0.0,0.0,25417,9958,7123.0,0.0,,20188,2835,0.0,14499,1.07,1.07,,-22400.0,,,23697,8.0,8.0,,4010.0,-4010.0,,28720,2014年第3季,,113636,133824,113636,133824,105968,31365,717537,968704,251167,251167,145199,55615,,,,1.06,1.06,60864,113636,137333,,,,,,-3017.0,0.0,,0.0,0.0,0.0
2015-03-16,4,2014,,489.0,,9939,,,70072,24458,13030.0,,1035.0,50649,11078,0.0,45761,3.83,3.83,,-63896.0,,,66297,,,,,-14183.0,,97253,2014年度,,406531,457180,406531,457180,392481,80347,2759892,3713612,953720,953720,561239,217676,,-6086.0,0.0,3.8,3.8,246310,406531,472828,350.0,,79.0,290.0,6962.0,,0.0,-86.0,,,
2015-05-08,1,2015,,0.0,,153,,,-7755,3589,661.0,,,-12245,2928,,-12398,0.47,0.47,0.0,7755.0,,-12245.0,3064,,,,0.0,0.0,,26892,2015年01月01日至2015年03月31日,,49826,37581,49826,37581,57056,-4166,626399,824946,198547,198547,141491,54284,,,,0.47,0.47,60315,49826,52890,,,,,,,,,0.0,,
2015-08-12,2,2015,,,,-736,,,-12900,4694,1413.0,,,-8402,3281,,-7666,0.55,0.55,0.0,13796.0,,-8402.0,12133,,,,0.0,0.0,,29351,2015年第2季,,58453,50051,58453,50051,78792,-8206,659047,881852,222805,222805,144013,61816,,,,0.55,0.55,52846,58453,70586,,,,,896.0,0.0,,,0.0,,
